Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Variety,,,2024,2025,,% Change   compared to:1st week of May 2025,, ,,,,,,,,,
Sinhala Name,,Common Name,1ST week of May,4th week of April,1ST week of May,Last week ,Last Year,, , ,,,,, ,, 
1,තෝරා,Seer,3760,3805,3476,-0.08646517739816031,-0.07553191489361702,, , ,, ,,,,,
2,පරව් (ලොකු),Trevally (L),2445,2580,2493.33,-0.03359302325581398,0.019766871165644143, , , , ,,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2160,2320,2290,-0.01293103448275862,0.06018518518518518,, ,,,,,,,,
4,තලපත්,Sail fish,2796.67,2906,2846.67,-0.0204163799036476,0.017878405389266522,,, ,, ,,,,,
5,බලයා,Skipjack tuna,1350,1870,1596,-0.146524064171123,0.18222222222222223,,,, ,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2230,2688.33,2685,-0.001238687214739235,0.2040358744394619,,, ,, ,, ,,,
7,සාලයා (මට්ට),Sardinella,616.67,780,762.5,-0.022435897435897436,0.23647980281187678,,, , ,, ,,,,
8,මෝරා,Shark,1990,1980,1990,0.005050505050505051,0,,,,,,,,,,
9,හුරුල්ලා,Herrings,883.33,1360,1162.5,-0.14522058823529413,0.3160427020479322,, ,,,,,,,,
10,කුම්බලා,Indian mackerel,1200,1304,1273.33,-0.023519938650306806,0.06110833333333327,,,,,,,,,,
11,කාරල්ලා,Pony fish,510,,,,,,, ,,,,,,,
12,කටුවල්ලා,Katuwalla,,,740,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,,620,,,,,,, ,,,,,,
14,ඉස්සා (M),Prawns (M),2175,2488,2492,0.001607717041800643,0.14574712643678162,, , ,,,,,,,
15, කොප්පරා,Marlins,3380,3240,3190,-0.015432098765432098,-0.05621301775147929,,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1060,1253.33,1210,-0.03457190045718201,0.14150943396226415,,, ,,,,,,,
17,ඇටවල්ලා,Kawakawa,1146.67,1295,1260,-0.02702702702702703,0.09883401501739814,,, ,,,,,,,
18,ඇටිස්සා,Red Bream(L),1733.33,1820,1760,-0.03296703296703297,0.015386568051092448,,,,, ,,,,,
19,බෝල්ලා,Big eye scade,1160,1293.33,1230,-0.04896662104799234,0.0603448275862069,,,,, ,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1615,1740,1706.67,-0.01915517241379306,0.056761609907120786,,, ,,, ,,,,
21,හබරලි,Needle fish,1280,1260,1260,0,-0.015625,,, ,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1546.67,,2133.33,,0.3793052170146184,,                                                                                                                                                                                                                                                                                                                                     ,,,,,,,,
23,ජීලාවා,Barracuda(L),2040,2490,2450,-0.01606425702811245,0.20098039215686275,,,,,,,,,,
24,ලින්නා,Indian Scade,896.67,1196.67,976,-0.18440338606299153,0.08847179006769497,,, ,,,,,,,
25,ලේන පරව්,Rainbow runner,1110,1310,1026.67,-0.21628244274809155,-0.075072072072072,,,,,,,,,,
26,සුද්දා,Threadfin bream,1390,1346.67,1320,-0.019804406424736624,-0.050359712230215826,,,,,,,,,,
27,සූඩයා,White Sardinella,410,510,505,-0.00980392156862745,0.23170731707317074,,,,, ,,,,,
28,දැල්ලා,Cuttle fish,1866.67,2200,2133.33,-0.030304545454545487,0.1428533163333636,,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2690,2580,2640,0.023255813953488372,-0.01858736059479554,,,,,,,,,,
30,තිලාපියා,Thilapia (M),,,1080,,,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,
,,,,,,,, ,,,, ,,,,,
