Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2021,2022,,"% Change 4th week of Sep. 2022, compared to:",,,
Sinhala Name,,Common Name,Average of Sep. 4th week,Average of Sep. 3rd week,Average of Sep. 4th week,Last week ,Last Year,,
1,තෝරා,Seer,2478,3770,3590,-0.04774535809018567,0.4487489911218725,,
2,පරව් (ලොකු),Trevally (L),1370,2695,2560,-0.05009276437847866,0.8686131386861314,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1221.25,2590,2426.66,-0.06306563706563713,0.9870296827021493,,
4,තලපත්,Sail fish,1582.5,3180,2960,-0.06918238993710692,0.8704581358609794,,
5,බලයා,Skipjack tuna,800,1360,1270,-0.0661764705882353,0.5875,,
6,කෙළවල්ලා,Yellowfin tuna,1305,2595,2575,-0.007707129094412331,0.9731800766283525,,
7,සාලයා (මට්ට),Sardinella,395,810,710,-0.12345679012345678,0.7974683544303798,,
8,මෝරා,Shark,1090,1980,1986.66,0.003363636363636405,0.8226238532110093,,
9,හුරුල්ලා,Herrings,564,1060,1015,-0.04245283018867924,0.799645390070922,,
10,කුම්බලා,Indian mackerel,735,1340,1040,-0.22388059701492538,0.41496598639455784,,
11,කාරල්ලා,Pony fish,,880,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,
13,හාල්මැස්සා,Anchovies,450,960,920,-0.041666666666666664,1.0444444444444445,,
14,ඉස්සා (M),Prawns (M),1226.67,1886.67,1886.67,0,0.5380420161901733,,
15, කොප්පරා,Marlins,1697.5,3686.66,3600,-0.023506371620925136,1.1207658321060383,,
16,අලගොඩුවා,Frigate tuna,,1040,980,-0.057692307692307696,,, 
17,ඇටවල්ලා,Kawakawa,550,1066.67,1000,-0.06250292967834482,0.8181818181818182,,
18,ඇටිස්සා,Red Bream,,,,,,,
19,බෝල්ලා,Big eye scade,600,1180,953.33,,0.5888833333333334,,
20,ගින්නටි පරව්,Ginnati paraw,825,,1133.33,-0.19209322033898302,,,
21,හබරලි,Needle fish,762.5,,1126.67,,,,
22,හැඩැල්ලා,Indian Anchovy,1139,1410,1380,-0.02127659574468085,0.2115891132572432,,
23,ජීලාවා,Barracuda,1280,2290,1893.33,-0.17321834061135374,0.47916406249999993,,
24,ලින්නා,Indian Scade,540,932,896.33,-0.038272532188841156,0.6598703703703704,,
25,ලේන පරව්,Rainbow runner,720,1260,1066.66,-0.15344444444444438,0.48147222222222236,,
26,සුද්දා,Threadfin bream,815,1220,1341.67,0.09972950819672137,0.6462208588957056,,
27,සූඩයා,White Sardinella,,620,580,-0.06451612903225806, ,,
28,දැල්ලා,Cuttle fish,1267,1880,1860,-0.010638297872340425,0.468034727703236,,
29,කකුළුවා,Sea Crabs(L),1743.33,3080,3030,-0.016233766233766232,0.7380530364302801,,
30,තිලාපියා,Thilapia (M),682.5,880,920,0.045454545454545456,0.34798534798534797,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,,,
**Retail Price collection done by over the phone,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,, ,,,,
