"Item","1995/1996","2002/2003","2006/2007","2009/2010","2012/2013"
"Fresh Fish","","","","",""
"Marine Large Fish","2.6","3.7","3.9","4.3","4.4"
"Marine Small Fish","3.5","3.3","3.3","4.4","4.3"
"Freshwater Fish","0.6","1.3","1.6","1.7","1.8"
"Other","0.1","0.2","0.2","0.4","0.4"
"Total","6.8","8.5","9.0","10.8","10.9"
"Dried Fish","","","","",""
"Marine Dried Fish","3.3","3.9","3.8","3.7","3.5"
"Freshwater Dried Fish","0.1","0.04","0.1","0.1","0.1"
"Total","3.4","3.9","3.9","3.8","3.6"
"Canned Fish","0.26","0.75","0.7","0.7","0.6"
"Kg/Year/Person","10.5","13.2","13.6","15.3","15.1"
"Grams/Day/Person","29.1","36.6","37.7","42.4","41.9"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","",""
