"","2012","","2013","","2014","","2015",""
"Addministrative 
Fisheries","","","","","","","",""
"","","Production","","Production","","Production","","Production"
"","Ice","","Ice","","Ice","","Ice",""
"District
District","","","","","","","",""
"","","Capacity","","Capacity","","Capacity","","Capacity"
"","plants","","plants","","plants","","plants",""
"","","(Mt/day)","","(Mt/day)","","(Mt/day)","","(Mt/day)"
"Colombo 
Colombo
1","3","40","3","40","3","40","2","15"
"Gampaha                 Negombo
2","12","623","12","657","12","657","13","709"
"Kalutara                Kalutara
3","6","220","5","230","5","230","8","368"
"Matale             
Matale
5","1","27","-","-","-","-","-","-"
"Galle
Galle
7","4","145","4","145","2","80","6","155"
"Matara             
Matara
8","9","280","10","415","11","425","11","449"
"Hambantota                Tangalle
9","11","188","11","193","12","190","15","245"
"Jaffna
Jaffna
10","11","67","11","73","8","64","8","91"
"Mannar
11 Mannar","6","62","7","65","7","67","4","50"
"Mullaitivu
13 Mullaitivu","1","6","1","6","2","41","4","64"
"Kilinochchi                 Kilinochchi
14","-","-","-","-","-","-","2","6"
"Batticaloa               Batticaloa
15","5","84","4","74","3","104","6","204"
"16
Ampara","2","20","2","20","4","111","4","121"
"Trincomalee          Trincomalee
17","4","313","4","326","4","313","6","963"
"Kurunegala                
18","-","-","1","23","1","20","-","-"
"Puttalam","6","170","6","150","6","150","5","50"
"19
Puttalam","","","","","","","",""
"Chilaw","6","140","7","249","8","281","8","281"
"Anuradhapura                
20","1","10","1","10","1","10","1","10"
"Polonnaruwa            
21","-","-","1","5","1","5","1","2"
"Total
Total","88","2,395","90","2,681","90","2,788","104","3,781"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","",""
