Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2021,2022,,"% Change 4th week of Apr. 2022, compared to:",, ,
Sinhala Name,,2nd,4th week of Apr.,3rd week of Apr.,4th week of Apr.,Last week ,Last Year,,
1,තෝරා,Seer (Nl),900,1450,1320.6,-0.08924137931034488,0.4673333333333332,,
2,පරව් (ලොකු),Trevally (L),691.67,1033.33,942.86,-0.08755189532869453,0.36316451486980794,  , 
3,ගල්මාළු (ලොකු),Rock fish (L),716.67,900,950,0.05555555555555555,0.3255752298826518, , 
4,ගල්මාළු (පොඩි),Rock fish (S),,,793.75,,,,
5,තලපත්,Sail fish,950,1310,1266.67,-0.03307633587786254,0.3333368421052632,,
6,බලයා,Skipjack tuna,557.5,665,650.71,-0.021488721804511224,0.1671928251121077,,
7,කෙළවල්ලා,Yellowfin tuna,933.33,1050,1112.5,0.05952380952380952,0.19196854274479547,, 
8,සාලයා (මට්ට),Sardinella,210,283.33,267.5,-0.05587124554406517,0.27380952380952384,,
9,මෝරා,Sharks,,,825,,,,
10,හුරුල්ලා,Herrings,585,625,600,-0.04,0.02564102564102564,,
11,කුම්බලා,Indian Mackerel,620.83,718.75,753.57,0.04844521739130442,0.21381054394922927,,
12,කාරල්ලා,Pony fish,256.25,260,233.33,-0.10257692307692302,-0.08944390243902434,,
13,කටුවල්ලා,Katuwalla,325,350,433.33,0.23808571428571423,0.3333230769230769,,
14,හාල්මැස්සා,Anchovy,366.25,450,380,-0.15555555555555556,0.03754266211604096,,
15,ඉස්සා (M),"Prawns (M) 3""",1020.83,1150,1046.43,-0.09006086956521733,0.02507763290655645,,
16, කොප්පරා,Marlins,981.25,,1415,,,,
17,අලගොඩුවා,Frigate tuna(L),541.25,430,649,0.5093023255813953,0.19907621247113164,,
18,ඇටවල්ලා,Atawalla,516.67,,691,,,,
19,ඇටිස්සා,Red Bream(L),720,800,960,0.2,0.3333333333333333,,
20,බෝල්ලා,Big eye scade,585,,737.5,,,,
21,ගින්නටි පරව්,Ginnati Paraw,758.33,650,920.83,0.4166615384615385,0.21428665620508222,,
22,හබරලි,Needle fish,633.33,875,690,-0.21142857142857144,0.08947941831272789,,
23,හැඩැල්ලා,Indian Anchovies,1125,1066.67,1033.33,-0.03125615232452412,-0.08148444444444451,,
24,ජීලාවා,Barracuda(L),681.25,825,920,0.11515151515151516,0.3504587155963303,,
25,ලින්නා,Indian Scad(L),517,571,644.17,0.12814360770577926,0.24597678916827845,,
26,ලින්නා,Indian Scad(S),,375,540,0.44,,, 
27,ලේන පරව්,Rainbow Runner,600,633.33,612.5,-0.03288964678761473,0.020833333333333332,,
28,සුද්දා,Threadfin  Bream,675,750,770,0.02666666666666667,0.14074074074074075,,
29,සූඩයා,White Sardinella,126.67,183.33,164.29,-0.10385643375334107,0.2969921844161995,,
30,දැල්ලා,Squids /Cuttle fish,893.75,1095.83,1114.27,0.01682742761194716,0.24673566433566432,,
31,කකුළුවා(L),Sea Crabs(L),866.67,1075,1850,0.7209302325581395,1.1346071745877901,,
32,තිලාපියා,Tilapia (M),320,,566.67,,0.7708437499999998,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,
