"","Summary Statistics at a Glance","","","",""
"Description","Unit","","Indicator","",""
"6. Social Information, cont…...","","2018","2019","2020","2021"
"6.5
Inland Fishers (Men & women)","Numbers","61,590","70,715","90,650","91,020"
"6.6
Marine Fishing Household Population","Numbers","795,190","804,760","804,980","803,820"
"6.7
Inland Fishing Household Population","Numbers","222,270","247,570","318,730","320,060"
"6.8
Direct and Indirect Employments (Marine & Inland)","Numbers","583,000","585,000","586,000","586,000"
"6.9
Fishing and Related Livelihoods","Million","2.7","2.7","2.7","2.7"
"6.10
Fisher Organizations (FO) - Marine","Numbers","977","1,000","1,000","1,025"
"6.11
Fisher Organizations (FO) - Inland","Numbers","434","445","445","463"
"6.12
No. of Memberships in FO - Marine","Numbers","83,518","84,321","84,321","84,933"
"6.13
No. of Memberships in FO - Inland","Numbers","21,852","21,550","21,550","21,884"
"7. Fish Trade and Processing","","2018","2019","2020","2021"
"7.1
Fish Processing Plants (EU Approved)","Numbers","34","34","31","39"
"7.2
Fish Packing Centers","Numbers","","","16","17"
"","","38","30","",""
"7.3
Fish Processing Plants (Other)","Numbers","","","14","16"
"","Rs.Mn","47,949","53,483","39,874","63,222"
"Annual Export Earnings
7.4","","","","",""
"","US$ (million)","295","299","215","318"
"7.5
Annual Export Volume","Mt","27,998","28,771","21,298","26,749"
"","Rs.Mn","32,726","38,952","35,504","25,080"
"7.6
Annual Import Expenditure","","","","",""
"","US$ (million)","201","218","191","126"
"7.7
Annual Import Volume","Mt","84,463","95,637","85,809","56,176"
"","Rs.Mn","15,222","14,531","4,370","38,142"
"7.8
Balance of Fish Trade (8)","","","","",""
"","US$ (million)","94","81","24","192"
"","Mt","13,448","14,252","8,992","9,936"
"7.9
Volume of Tuna Export","","","","",""
"","Percentage","48.0","49.5","42.2","37.1"
"","Rs.Mn.","22,277","24,309","17,003","24,816"
"7.10
Value of Tuna Export","","","","",""
"","Percentage","46.5","45.5","42.6","39.3"
"","Mt","7,597","8,980","6,750","8,527"
"7.11
Total Fish and Fishery Products Export to EU","","","","",""
"","Percentage","27.1","31.2","31.7","31.9"
"","Mt","4,936","5,200","3,576","4,601"
"7.12
Tuna Export to EU","","","","",""
"","Percentage","36.7","36.5","39.8","46.3"
"8.  Other Selected Imports","Unit","2018","2019","2020","2021"
"8.1
Imports of frozen mackerel For canned fish industry","Mt","1,401.2","3,391.0","3,948.0","5,408.7"
"Value of imported frozen mackerel","Rs.Mn.","222.0","645.2","898.3","1,378.3"
"8.2
Imports of baits for multiday fishery","Mt","4,597.8","5,097.3","3,604.9","2,199.0"
"Value of imported baits","Rs.Mn.","1,103.6","1,141.9","839.9","522.1"
"9.  Spply of Fishery Products","Unit","2018","2019","2020","2021"
"9.1
Supply of Dried fish","Mt","93,954","89,939","102,506","83,925"
"Imported volume","Mt","32,704","35,059","42,746","32,585"
"Domestically produced volume","Mt","61,250","54,880","59,760","51,340"
"9.2
Supply of Canned fish","Mt","31,701","39,937","30,073","18,009"
"Imported volume","Mt","28,068","36,806","26,044","8,758"
"Domestically produced volume","Mt","3,633","3,131","4,029","9,251"
"Domestically produced volume","Millions of cans","7.8","7.5","10.0","21.8"
"No of  local canned fish manufactureing companies","Numbers","7","8","9","10"
"Note:
(1). Coastal Resources Management Plan (CRMP), CCD-1997","","","","",""
