"","Table 4.12:  Shrimps Production (Aquaculture)","","","","","","","","","",""
"District","Description","2008","2010","2014","2015","2016","2017","2018","2019","2020","2021"
"","No. of Ponds","1,795","2,350","4,235","4,184","4,016","3,221","4,155","3,264","2,493","2,911"
"Puttalam","","","","","","","","","","",""
"","Area (Ha)","902","1,186","2,038","2,011","1,890","1,576","1,987","1,626","1,328","1,739"
"","Production (Mt)","2,230","3,319","4,850","6,702","5,825","4,307","7,776","5,437","6,240","12,440"
"","No. of Farms","","","","","65","","76","66","48","-"
"","No. of Ponds","-","18","224","","186","195","192","178","169","327"
"Batticaloa","","","","","","","","","","",""
"","Area (Ha)","-","38","205","","109","128","121","110","101","193"
"","Production (Mt)","-","161","300","388","205","323","404","421","375","1,040"
"","No. of Farms","","","","","","","","","2","2"
"","No. of Ponds","-","","","","","","","23","26","26"
"Mannar","","","","","","","","","","",""
"","Area (Ha)","-","","","","","","","22","24","24"
"","Production (Mt)","-","","","","","","","542","745","930"
