"Table 3.2 :  Operating Fishing Boats by District - 2020","","","","","","","",""
"","Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"1","Negombo","","58","","","","",""
"","","1,090","","1,969","2","1,418","37","4,574"
"2","Colombo","","15","","","","",""
"","","56","","423","1","280","23","798"
"3","Kalutara","","3","","","","",""
"","","480","","386","11","190","40","1,110"
"4","Galle","","18","","","","",""
"","","545","","424","197","241","42","1,467"
"5","Matara","","60","","","","",""
"","","1,013","","768","242","593","8","2,684"
"6","Tangalle","","11","","","","",""
"","","638","","733","75","675","92","2,224"
"7","Kalmunai","","65","","","","",""
"","","148","","958","165","817","186","2,339"
"8","Batticaloa","","11","","","","",""
"","","387","","1,449","15","4,349","130","6,341"
"9","Trincomalee","","19","","","","",""
"","","488","","3,224","61","1,904","160","5,856"
"10","Mullaitivu","","-","","","","",""
"","","1","","1,144","-","260","41","1,446"
"11","Kilinochchi","","1","","","","",""
"","","1","","861","124","235","-","1,222"
"12","Jaffna","","424","","","","",""
"","","111","","3,893","602","1,682","122","6,834"
"13","Mannar","","210","","","","",""
"","","43","","3,472","603","815","15","5,158"
"14","Puttalam","","-","","","","",""
"","","69","","2,642","202","1,168","79","4,160"
"15","Chilaw","","-","","","","",""
"","","85","","1,728","10","1,379","81","3,283"
"","Total","5,155","895","24,074","2,310","16,006","1,056","49,496"
