Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2020,2021,2021/2022,,"% Change 2nd week of January 2022, compared to:",,
Sinhala Name,,Common Name,January 2nd week average,January 2ndweek average,January 1st week average,January 2nd week average,Last week ,Last Year,2020.0
1,තෝරා,Seer,1705,1386.67,2346,2297.5,-0.020673486786018755,0.6568469787332241,0.34750733137829914
2,පරව් (ලොකු),Trevally (L),1005,1060,1627.5,1572.5,-0.03379416282642089,0.4834905660377358,0.5646766169154229
3,ගල්මාළු (ලොකු),Rock Fish (L),720,1120,1290,1376.67,0.06718604651162796,0.22916964285714292,0.9120416666666668
4,තලපත්,Sail fish,1127.5,1130,2004,1954,-0.0249500998003992,0.7292035398230089,0.7330376940133038
5,බලයා,Skipjack tuna,626.67,613.33,933.33,980,0.050003750013392856,0.5978347708411458,0.5638214690347393
6,කෙළවල්ලා,Yellowfin tuna,958,986.67,1520,1508,-0.007894736842105263,0.5283732149553549,0.5741127348643006
7,සාලයා (මට්ට),Sardinella,335,270,334,328.33,-0.016976047904191664,0.21603703703703697,-0.019910447761194078
8,මෝරා,Shark,920,,,1225,,,0.33152173913043476
9,හුරුල්ලා,Herrings,560,560,620,640,0.03225806451612903,0.14285714285714285,0.14285714285714285
10,කුම්බලා,Indian mackerel,613.33,480,729.17,687.5,-0.05714716732723502,0.4322916666666667,0.12093000505437522
11,කාරල්ලා,Pony fish,240,,420,400,-0.047619047619047616,,0.6666666666666666
12,කටුවල්ලා,Katuwalla,­,,600,,,,
13,හාල්මැස්සා,Anchovies,­,,,500,,,
14,ඉස්සා (M),Prawns (M),1258.33,950,1280,1270.83,-0.007164062500000057,0.33771578947368414,0.009933801149142118
15, කොප්පරා,Marlins,895,,2106,2133.33,0.012977207977207942,,1.383608938547486
16,අලගොඩුවා,Frigate tuna,460,400,610,630,0.03278688524590164,0.575,0.3695652173913043
17,ඇටවල්ලා,Kawakawa,540,400,640,653.33,0.020828125000000065,0.6333250000000001,0.20987037037037046
18,ඇටිස්සා,Red Bream,750,,,,,,-1.0
19,බෝල්ලා,Big eye scade,760,420,640,620,-0.03125,0.47619047619047616,-0.18421052631578946
20,ගින්නටි පරව්,Ginnati paraw,640,,802.5,960,0.19626168224299065,,0.5
21,හබරලි,Needle fish,390,,662.5,700,0.05660377358490566,,0.7948717948717948
22,හැඩැල්ලා,Indian Anchovy,1120,,1212.5,1253.33,0.03367422680412365,,0.1190446428571428
23,ජීලාවා,Barracuda,880,630,1160,1185,0.021551724137931036,0.8809523809523809,0.3465909090909091
24,ලින්නා,Indian Scade,420,385,602.5,585,-0.029045643153526972,0.5194805194805194,0.39285714285714285
25,ලේන පරව්,Rainbow runner,660,,704,730,0.036931818181818184,,0.10606060606060606
26,සුද්දා,Threadfin bream,700,,767.5,826.66,0.07708143322475566,,0.1809428571428571
27,සූඩයා,White Sardinella,230,,,,,,-1.0
28,දැල්ලා,Cuttle fish,893.33,,1306.25,1238.75,-0.05167464114832536,,0.38666562188664877
29,කකුළුවා,Sea Crabs(L),720,,1873.33,1810,-0.03380610997528462,,1.5138888888888888
30,තිලාපියා,Thilapia (M),485,,725,687.5,-0.05172413793103448,,0.4175257731958763
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
(price collection was done by over the phone due to prevailling covid pandemic ),,,,,,,,,
