Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,Compared to Average of 2nd week of  Nov. 2024,, ,,,,,,,,
Sinhala Name,,Common Name,Average of 2nd week of  Nov.,Average of 1st week of  Nov.,Average of 2nd week of  Nov.,Last week ,Last Year,, ,, ,,,,, 
1,තෝරා,Seer,3040,3595,3580,-0.004172461752433936,0.17763157894736842,, ,, ,, ,,,
2,පරව් (ලොකු),Trevally (L),2010,2296,2526.67,0.10046602787456449,0.25704975124378115, , , ,, ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1950,2120,2140,0.009433962264150943,0.09743589743589744,, ,,,,,,,
4,තලපත්,Sail fish,2573,2880,2888,0.002777777777777778,0.12242518460940537,,, , ,,,,,
5,බලයා,Skipjack tuna,1090,1104,1140,0.03260869565217391,0.045871559633027525,,, ,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2165,2196.67,2370,0.07890579832200555,0.09468822170900693,,, , ,,,, ,
7,සාලයා (මට්ට),Sardinella,457,640,650,0.015625,0.4223194748358862,,,, ,,, ,,
8,මෝරා,Shark,1800,1653.33,1740,0.05242147665620298,-0.03333333333333333,,,,,,,,,
9,හුරුල්ලා,Herrings,608,976,1026.67,0.05191598360655745,0.6886019736842106,,,,,,,,,
10,කුම්බලා,Indian mackerel,802,906.67,1006.67,0.11029371215547003,0.25519950124688273,,,,,,,,,
11,කාරල්ලා,Pony fish,520,513.33,,,,,,, ,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,,
13,හාල්මැස්සා,Anchovies,567,520,610,0.17307692307692307,0.07583774250440917,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1712,1952.5,1966.67,0.007257362355953942,0.14875584112149537,,,,,,,,,
15, කොප්පරා,Marlins,2967.5,3266.67,3390,0.03775404310811926,0.14237573715248525,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,820,946.67,970,0.024644279421551375,0.18292682926829268,,,,,,,,,
17,ඇටවල්ලා,Kawakawa,847,915,953.33,0.041890710382513706,0.1255371900826447,,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1700,1780,1795,0.008426966292134831,0.05588235294117647,,, ,,,,,,
19,බෝල්ලා,Big eye scade,563,955,940,-0.015706806282722512,0.6696269982238011,,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,920,952.5,985,0.03412073490813648,0.07065217391304347,,,, ,,, ,,
21,හබරලි,Needle fish,977,935,1020,0.09090909090909091,0.044012282497441144,,, ,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1310,1660,1745,0.05120481927710843,0.3320610687022901,,,,,,,,,
23,ජීලාවා,Barracuda,1560,1992.5,1840,-0.07653701380175659,0.1794871794871795,,,,,,,,,
24,ලින්නා,Indian Scade,657.5,706,796,0.1274787535410765,0.21064638783269962,,,,,,,,,
25,ලේන පරව්,Rainbow runner,909,793.33,893.33,0.12605094979390669,-0.017238723872387195,,,,,,,,,
26,සුද්දා,Threadfin bream,830,795,980,0.23270440251572327,0.18072289156626506,,,,,,,,,
27,සූඩයා,White Sardinella,265,416,400,-0.038461538461538464,0.5094339622641509,,,,,,,,,
28,දැල්ලා,Cuttle fish,1915,2110,2150,0.018957345971563982,0.1227154046997389,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2527,2530,2540,0.003952569169960474,0.0051444400474871385,,,,,,,,,
30,තිලාපියා,Thilapia (M),,940,990,0.05319148936170213,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
