Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,2021,,"% Change 2nd week of Nov. 2021, compared to:",,, 
Sinhala Name,,Common Name,2nd week of Nov.,2nd week of Nov.,1st week of Nov.,2nd week of Nov.,Last week ,Last Year,2019.0,
1,තෝරා,Seer (Nl),1333.33,1468,1300,1275,-0.019230769230769232,-0.13147138964577657,-0.04374760936902337,
2,පරව් (ලොකු),Trevally (L),505,498,706.25,858.35,0.2153628318584071,0.7235943775100402,0.6997029702970298,
3,ගල්මාළු (ලොකු),Rock fish (L),413.33,663,800,790,-0.0125,0.19155354449472098,, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,525,518.25,-0.012857142857142857,,,
5,තලපත්,Sail fish,685,550,1064,1320,0.24060150375939848,1.4,,
6,බලයා,Skipjack tuna,355,300,328.57,408.52,0.24332714490062998,0.3617333333333333,0.15076056338028163,
7,කෙළවල්ලා,Yellowfin tuna,625,392,712.86,745,0.04508599163931205,0.9005102040816326,0.192,
8,සාලයා (මට්ට),Sardinella,187.5,211,202.86,261.43,0.2887212856156955,0.2390047393364929,0.3942933333333334,
9,මෝරා,Sharks,578.75,626,650,650,0,0.038338658146964855,,
10,හුරුල්ලා,Herrings,340,360,407.5,463.33,0.13700613496932512,0.2870277777777777,0.362735294117647,
11,කුම්බලා,Indian Mackerel,333.33,288,350,438.33,0.2523714285714285,0.5219791666666667,0.3150031500315003,
12,කාරල්ලා,Pony fish,136.67,,175,187.5,0.07142857142857142,,0.371917758103461,
13,කටුවල්ලා,Katuwalla,225,300,258.363,325,0.2579200582126698,0.08333333333333333,0.4444444444444444,
14,හාල්මැස්සා,Anchovy,223.33,155,277.5,320,0.15315315315315314,1.064516129032258,0.4328572068239824,
15,ඉස්සා (M),"Prawns (M) 3""",1062.5,889,992.86,950,-0.043168221098644335,0.0686164229471316,-0.10588235294117647,
16, කොප්පරා,Marlins,852.5,600,1329.17,1425,0.07209762483354268,1.375,0.6715542521994134,
17,අලගොඩුවා,Frigate tuna(L),257.5,340,323.33,415,0.2835183867874927,0.22058823529411764,0.6116504854368932,
18,ඇටවල්ලා,Atawalla,374,347,345,416,0.20579710144927535,0.1988472622478386,0.11229946524064172,
19,ඇටිස්සා,Red Bream(L),581.25,550,733.33,737.5,0.005686389483588506,0.3409090909090909,0.26881720430107525,
20,බෝල්ලා,Big eye scade,286,318,331.67,376,0.1336569481713751,0.18238993710691823,0.3146853146853147,
21,ගින්නටි පරව්,Ginnati Paraw,600,400,500,542.86,0.08572000000000003,0.35715,-0.09523333333333331,
22,හබරලි,Needle fish,410,316,520.83,580,0.11360712708561325,0.8354430379746836,0.4146341463414634,
23,හැඩැල්ලා,Indian Anchovies,825,,883.33,883.33,0,,0.07070303030303035,
24,ජීලාවා,Barracuda(L),565,520,625,686.25,0.098,0.31971153846153844,0.21460176991150443,
25,ලින්නා,Indian Scad(L),245.83,232,402.14,464.17,0.1542497637638634,1.0007327586206898,0.888174754911931,
26,ලින්නා,Indian Scad(S),,,333.33,408.33,0.22500225002250024,,,
27,ලේන පරව්,Rainbow Runner,325.6,270,405.83,494,0.21725845797501422,0.8296296296296296,0.5171990171990171,
28,සුද්දා,Threadfin  Bream,326,370,485,557.14,0.14874226804123708,0.5057837837837837,0.7090184049079754,
29,සූඩයා,White Sardinella,162,106,89.29,142.5,0.5959233956770074,0.3443396226415094,-0.12037037037037036,
30,දැල්ලා,Squids /Cuttle fish,840,445,955,1015,0.06282722513089005,1.2808988764044944,0.20833333333333334,
31,කකුළුවා(L),Sea Crabs(L),450,,750,787.5,0.05,,0.75,
32,තිලාපියා,Tilapia (M),356.67,365,383.33,350,-0.08694858216158398,-0.0410958904109589,-0.018700759805983166,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
*Data not available due to Covid,,,,,,,,,,
