Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2025,2026,,% Change   compared to:4th week of Mar. 2026,, ,,
Sinhala Name,,Common Name,4th week of Mar.,3rd week of Mar.,4th week of Mar.,Last week ,Last Year,,, 
1,තෝරා,Seer,3016,3625,3645,0.005517241379310344,0.20855437665782495,,,
2,පරව් (ලොකු),Trevally (L),2005,2455,2430,-0.010183299389002037,0.2119700748129676, ,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2050,2025,2040,0.007407407407407408,-0.004878048780487805,,,
4,තලපත්,Sail fish,2446.67,2814.1666666666665,2692,-0.04341131181522056,0.10027098055724716,,,
5,බලයා,Skipjack tuna,1266.67,1530,1600,0.0457516339869281,0.26315457064586667,,,
6,කෙළවල්ලා,Yellowfin tuna,2016.67,2310,2376,0.02857142857142857,0.17817987077707306,,,
7,සාලයා (මට්ට),Sardinella,558,660,740,0.12121212121212122,0.32616487455197135,,,
8,මෝරා,Shark,1960,2075,2100,0.012048192771084338,0.07142857142857142,,,
9,හුරුල්ලා,Herrings,1096.67,1236,1226.6666666666667,-0.0075512405609492374,0.1185376336242139,,,
10,කුම්බලා,Indian mackerel,960,1320,1335,0.011363636363636364,0.390625,,,
11,කාරල්ලා,Pony fish,,420,,,,,,
12,කටුවල්ලා,Katuwalla,670,740,800,0.08108108108108109,0.19402985074626866,,,
13,හාල්මැස්සා,Anchovies,580,650,640,-0.015384615384615385,0.10344827586206896,,,
14,ඉස්සා (M),Prawns (M),2333.33,3040,2736,-0.1,0.17257310367586243,,,
15, කොප්පරා,Marlins,2893.33,2926.6666666666665,2826.6666666666665,-0.03416856492027335,-0.02304034912482621,,,
16,අලගොඩුවා,Frigate tuna,1093.33,1110,1230,0.10810810810810811,0.12500342988850582,,,
17,ඇටවල්ලා,Kawakawa,1110,1240,1333.3333333333333,0.07526881720430101,0.20120120120120114,,,
18,ඇටිස්සා,Red Bream(L),1690,1883.3333333333333,,,,,,
19,බෝල්ලා,Big eye scade,986.67,1292.5,1280,-0.009671179883945842,0.2972929145509644,,,
20,ගින්නටි පරව්,Ginnati paraw,1135,1373.3333333333333,1610,0.1723300970873787,0.4185022026431718,,,
21,හබරලි,Needle fish,1080,1326.6666666666667,1350,0.017587939698492403,0.25,,,
22,හැඩැල්ලා,Indian Anchovy,,1933.3333333333333,1910,-0.012068965517241341,,,,
23,ජීලාවා,Barracuda(L),2090,1900,2090,0.1,0,,,
24,ලින්නා,Indian Scade,863.33,978.3333333333334,1030,0.05281090289608173,0.19305479943938003,,,
25,ලේන පරව්,Rainbow runner,953.33,1243.3333333333333,1130,-0.09115281501340478,0.18531882978611808,,,
26,සුද්දා,Threadfin bream,970,1345,1340,-0.0037174721189591076,0.38144329896907214,,,
27,සූඩයා,White Sardinella,365,425,480,0.12941176470588237,0.3150684931506849,,,
28,දැල්ලා,Cuttle fish,2100,2150,2200,0.023255813953488372,0.047619047619047616,,,
29,කකුළුවා,Sea Crabs(L),2673.33,3150,3340,0.06031746031746032,0.24937811643156665,,,
30,තිලාපියා,Thilapia (M),,1050,1010,-0.0380952380952381,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,
,,,,,,, ,,,
,,,,,,, , ,,
