Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,2021,,"% Change 4th week Sept. 2021, compared to:",,, 
Sinhala Name,,Common Name,4th week of Sept.,4th week of Sept.,3rd week of Sept.,4th week of Sept.,Last week ,Last Year,2019.0,
1,තෝරා,Seer (Nl),1282.14,1391,1200,1130,-0.058333333333333334,-0.18763479511143064,-0.11866098865958483,
2,පරව් (ලොකු),Trevally (L),540,626,700,716.67,0.023814285714285656,0.14484025559105423,0.3271666666666666,
3,ගල්මාළු (ලොකු),Rock fish (L),425,475,633.33,630,-0.005257922410118012,0.3263157894736842,0.4823529411764706, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,600,556,-0.07333333333333333,,,
5,තලපත්,Sail fish,704,735,1100,1158.33,0.05302727272727266,0.5759591836734693,0.6453551136363636,
6,බලයා,Skipjack tuna,360,408.57,375,358.57,-0.04381333333333335,-0.12237805027290305,-0.0039722222222222416,
7,කෙළවල්ලා,Yellowfin tuna,682.86,670,762.5,705,-0.07540983606557378,0.05223880597014925,0.032422458483437284,
8,සාලයා (මට්ට),Sardinella,196.43,187.14,167,148.33,-0.11179640718562867,-0.20738484557016126,-0.2448709463931171,
9,මෝරා,Sharks,613,605,673,587.5,-0.12704309063893016,-0.028925619834710745,-0.041598694942903754,
10,හුරුල්ලා,Herrings,356.43,388,480,400,-0.16666666666666666,0.030927835051546393,0.12223999102208005,
11,කුම්බලා,Indian Mackerel,460,471,442.5,451.43,0.020180790960451993,-0.04154989384288746,-0.01863043478260868,
12,කාරල්ලා,Pony fish,163.33,152.5,240,164,-0.31666666666666665,,,
13,කටුවල්ලා,Katuwalla,­,,175,216.67,0.23811428571428564,,,
14,හාල්මැස්සා,Anchovy,282.5,412.5,400,380,-0.05,-0.07878787878787878,0.34513274336283184,
15,ඉස්සා (M),"Prawns (M) 3""",1028.57,1033.33,991.67,950,-0.04202002682343921,-0.08064219561998581,-0.07638760609389729,
16, කොප්පරා,Marlins,892,913,1250,1290,0.032,0.4129244249726177,0.4461883408071749,
17,අලගොඩුවා,Frigate tuna(L),360,415,375,438.33,0.16887999999999995,0.05621686746987948,0.2175833333333333,
18,ඇටවල්ලා,Atawalla,375,423,411.67,425,0.032380304612918076,0.004728132387706856,0.13333333333333333,
19,ඇටිස්සා,Red Bream(L),700,726,687.5,762.5,0.10909090909090909,0.05027548209366391,0.08928571428571429,
20,බෝල්ලා,Big eye scade,309.17,392,411.67,391.67,-0.04858260257001967,-0.0008418367346938369,0.2668434841672866,
21,ගින්නටි පරව්,Ginnati Paraw,630,697,516.67,538.33,0.04192231017864417,-0.22764705882352934,-0.14550793650793645,
22,හබරලි,Needle fish,486.43,591,579.17,620,0.07049743598598002,0.049069373942470386,0.274592438788726,
23,හැඩැල්ලා,Indian Anchovies,721.43,971,850,850,0,,0.17821548868220072,
24,ජීලාවා,Barracuda(L),700,,540,750,0.3888888888888889,,0.07142857142857142,
25,ලින්නා,Indian Scad(L),325.71,275,400.83,403.57,0.00683581568245892,0.4675272727272727,0.23904700500445186,
26,ලින්නා,Indian Scad(S),,,335,,,,,
27,ලේන පරව්,Rainbow Runner,375,350.83,387.17,482.5,0.24622258956014148,0.37530997919220144,0.2866666666666667,
28,සුද්දා,Threadfin  Bream,458.33,396.66,496.67,457.14,-0.07959006986530297,0.1524731508092572,-0.002596382519145589,
29,සූඩයා,White Sardinella,143.33,138.33,111.67,183,0.6387570520282977,0.32292344393840805,0.27677387846228974,
30,දැල්ලා,Squids /Cuttle fish,875,736.43,956.25,962.5,0.006535947712418301,0.30698097578860184,0.1,
31,කකුළුවා(L),Sea Crabs(L),600,705,1012.5,,,,,
32,තිලාපියා,Tilapia (M),362.5,426,437.5,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
