Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 2nd  week November 2019, compared to:",
Sinhala Name,,Common Name,2nd week November,1st week November,2nd week November,Last week ,Last Year
1,තෝරා,Seer (Nl),1267.86,1190,1333.33,0.12044537815126044,0.05163819349139497
2,පරව් (ලොකු),Trevally (L),470,400,505,0.2625,0.07446808510638298
3,ගල්මාළු (ලොකු),Rock fish (L),375,­,413.33,­,0.1022133333333333
4,තලපත්,Sail fish,620,­,685,­,0.10483870967741936
5,බලයා,Skipjack tuna,373.33,390,355,-0.08974358974358974,-0.04909865266654163
6,කෙළවල්ලා,Yellowfin tuna,452.86,620,625,0.008064516129032258,0.38011747559952297
7,සාලයා (මට්ට),Sardinella,127.86,160,187.5,0.171875,0.4664476771468794
8,මෝරා,Sharks,500,­,578.75,­,0.1575
9,හුරුල්ලා,Herrings,207.14,397.5,340,-0.14465408805031446,0.6414019503717294
10,කුම්බලා,Indian Mackerel,245.71,413.75,333.33,-0.194368580060423,0.3565992430100524
11,කාරල්ලා,Pony fish,150,133.33,136.67,0.02505062626565645,-0.08886666666666675
12,කටුවල්ලා,Katuwalla,220,220,225,0.022727272727272728,0.022727272727272728
13,හාල්මැස්සා,Anchovy,244.29,247.5,223.33,-0.09765656565656561,-0.08579966433337419
14,ඉස්සා (M),"Prawns (M) 3""",731.43,1100,1062.5,-0.03409090909090909,0.45263388157445017
15, කොප්පරා,Marlins,797.14,750,852.5,0.13666666666666666,0.06944827759239282
16,අලගොඩුවා,Frigate tuna,280,300,257.5,-0.14166666666666666,-0.08035714285714286
17,ඇටවල්ලා,Atawalla,310,350,374,0.06857142857142857,0.2064516129032258
18,ඇටිස්සා,Red Bream,564,437.5,581.25,0.32857142857142857,0.030585106382978722
19,බෝල්ලා,Big eye scade,191.43,282,286,0.014184397163120567,0.49401870135297493
20,ගින්නටි පරව්,Ginnati Paraw,403.75,423.75,600,0.415929203539823,0.48606811145510836
21,හබරලි,Needle fish,304.29,422,410,-0.02843601895734597,0.34739886292681316
22,හැඩැල්ලා,Indian Anchovies,570.83,­,825,­,0.44526391394986237
23,ජීලාවා,Barracuda,525,520,565,0.08653846153846154,0.0761904761904762
24,ලින්නා,Indian Scad,190,286,245.83,-0.14045454545454542,0.29384210526315796
25,ලේන පරව්,Rainbow Runner,238.57,350,325.6,-0.06971428571428565,0.3647985916083331
26,සුද්දා,Threadfin  Bream,338,361,326,-0.09695290858725762,-0.03550295857988166
27,සූඩයා,White Sardinella,81.25,137,162,0.18248175182481752,0.9938461538461538
28,දැල්ලා,Squids /Cuttle fish,792.86,­,840,­,0.059455641601291506
29,කකුළුවා,Sea Crabs,450,600,450,-0.25,0
30,තිලාපියා,Tilapia (M),293.33,310,356.67,0.15054838709677423,0.21593427198036352
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
