--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,% Change   compared to:3rd week of Oct.2023,, ,,,,,,
Sinhala Name,,Common Name,3rd week of Oct.,2nd week of Oct.,3rd week of Oct.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),1883.33,1607.14,1200,-0.25333200592356614,-0.36283073067385957,, ,,,,, 
2,පරව් (ලොකු),Trevally (L),960,1040,950,-0.08653846153846154,-0.010416666666666666,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1150,1116.67,940,-0.15821146802546865,-0.1826086956521739, , , , ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),933.33,837.5,700,-0.16417910447761194,-0.2499973214190051,, ,, , , ,
5,තලපත්,Sail fish,1760.71,1750,1592.86,-0.08979428571428577,-0.09533086084590883,,,,, ,,
6,බලයා,Skipjack tuna,666.67,721.43,596.43,-0.1732669836297354,-0.105359473202634,,, ,, , ,
7,කෙළවල්ලා,Yellowfin tuna,1200,987.5,925,-0.06329113924050633,-0.22916666666666666, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,485.71,235.71,217.57,-0.07695897501166694,-0.5520578122748142,,,,,,,
9,මෝරා,Sharks,915,850,850,0,-0.07103825136612021,,,,, , ,
10,හුරුල්ලා,Herrings,540.71,340,325,-0.04411764705882353,-0.3989384328013168,,,,,,,
11,කුම්බලා,Indian Mackerel,689.29,575,437.56,-0.23902608695652172,-0.3652018743924908,,,,,,,
,කාරල්ලා,Pony fish,362.5,220,325,0.4772727272727273,-0.10344827586206896,,,,,,,
,කටුවල්ලා,Katuwalla,533.33,350,500,0.42857142857142855,-0.06249414058837875,,, ,,,,
14,හාල්මැස්සා,Anchovy,516.67,396,366.67,-0.07406565656565653,-0.29032070760833795,,, ,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1391.67,1390,1264.29,-0.09043884892086333,-0.0915303196878571,,,,,,,
16, කොප්පරා,Marlins,2167.86,2103.57,1778.57,-0.15449925602665954,-0.1795734041866173,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),712,610,533.33,-0.12568852459016386,-0.250941011235955,,,,,,,
18,ඇටවල්ලා,Kawakawa,780,716.67,640,-0.10698089776326616,-0.1794871794871795,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1350,1166.67,1083.33,-0.07143408161690978,-0.1975333333333334,,,,,,,
20,බෝල්ලා,Big eye scade,675,415,363.33,-0.12450602409638559,-0.4617333333333334,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,900,935.71,800,-0.14503425206527668,-0.1111111111111111,, ,,, ,,
22,හබරලි,Needle fish,790,757.14,710.71,-0.06132287291650151,-0.10036708860759488,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,983.33,1064.29,950,-0.10738614475377949,-0.033895030152644626,, , ,,,,
24,ජීලාවා,Barracuda(L),1133.33,1140,975,-0.14473684210526316,-0.1397033520686825,,, ,,,,
25,ලින්නා,Indian Scad(L),748.57,446,415.71,-0.06791479820627808,-0.4446611539334999,,, ,,,,
26,ලින්නා,Indian Scad(S),600,380,320,-0.15789473684210525,-0.4666666666666667,,,,,,,
27,ලේන පරව්,Rainbow Runner,710.71,578.57,490.71,-0.15185716507942007,-0.3095496053242533,,,,,,,
28,සුද්දා,Threadfin  Bream,821.43,716.67,628.57,-0.12292966079227527,-0.23478567863360228,,, ,,,,
29,සූඩයා,White Sardinella,310,191.67,162.5,-0.15218865758856362,-0.47580645161290325,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1383.33,1564.29,1450,-0.07306190028703116,0.048195296856137056,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2150,2000,1733.33,-0.13333500000000004,-0.19380000000000003,,,, ,,,
32,තිලාපියා,Tilapia (M),,350,350,0,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Variety,,,2022,2023,2023,Compared to Average of 3rd week of  October,,,,,,
Sinhala Name,,Common Name,Average of 3rd week of October,Average of 2nd week of October,Average of 3rd week of October,Last week ,Last Year,,,,,
1,තෝරා,Seer,3415,3065,2795,-0.08809135399673736,-0.1815519765739385,,,,,
2,පරව් (ලොකු),Trevally (L),2320,2210,2187,-0.010407239819004524,-0.05732758620689655,,,,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),2180,2130,2010,-0.056338028169014086,-0.0779816513761468,,,,,
4,තලපත්,Sail fish,2900,2927,2597,-0.11274342330030748,-0.10448275862068966,,,,,
5,බලයා,Skipjack tuna,1290,1413,1183,-0.16277423920736023,-0.08294573643410853,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2328,2030,1896,-0.06600985221674877,-0.18556701030927836,,,,,
7,සාලයා (මට්ට),Sardinella,705,533,482,-0.09568480300187618,-0.31631205673758866,,,,,
8,මෝරා,Shark,1890,1690,1680,-0.005917159763313609,-0.1111111111111111,,,,,
9,හුරුල්ලා,Herrings,804,633,563,-0.11058451816745656,-0.2997512437810945,,,,,
10,කුම්බලා,Indian mackerel,1004,1025,880,-0.14146341463414633,-0.12350597609561753,,,,,
11,කාරල්ලා,Pony fish,660,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,,
13,හාල්මැස්සා,Anchovies,906.66,690,570,-0.17391304347826086,-0.3713189067566673,,,,,
14,ඉස්සා (M),Prawns (M),1788,1765,1686,-0.04475920679886686,-0.05704697986577181,,,,,
15, කොප්පරා,Marlins,3640,3693,3340,-0.09558624424587056,-0.08241758241758242,,,,,
16,අලගොඩුවා,Frigate tuna,1020,723,707,-0.022130013831258646,-0.30686274509803924,,,,,
17,ඇටවල්ලා,Kawakawa,1086.66,790,733,-0.07215189873417721,-0.32545598439254236,,,,,
18,ඇටිස්සා,Red Bream(L),,,1920,,,,,,,
19,බෝල්ලා,Big eye scade,1100,690,613,-0.11159420289855072,-0.44272727272727275,,,,,
20,ගින්නටි පරව්,Ginnati paraw,,,,,,,,,,
21,හබරලි,Needle fish,1040,1067,980,-0.08153701968134958,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1340,1330,1327,-0.002255639097744361,-0.009701492537313432,,,,,
23,ජීලාවා,Barracuda,2566.66,,1830,,-0.28701113509385734,,,,,
24,ලින්නා,Indian Scade,1073.33,690,651,-0.05652173913043478,-0.39347637725582996,,,,,
25,ලේන පරව්,Rainbow runner,1096,905,775,-0.143646408839779,-0.29288321167883213,,,,,
26,සුද්දා,Threadfin bream,1175,880,780,-0.11363636363636363,-0.33617021276595743,,,,,
27,සූඩයා,White Sardinella,490,340,295,-0.1323529411764706,-0.3979591836734694,,,,,
28,දැල්ලා,Cuttle fish,1693.33,1780,1720,-0.033707865168539325,0.015750031003998084,,,,,
29,කකුළුවා,Sea Crabs(L),2795,,2440,,-0.12701252236135957,,,,,
30,තිලාපියා,Thilapia (M),920,893,880,-0.014557670772676373,-0.043478260869565216,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,
,,,,,,, ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,, ,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
