Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 4th  week October 2019, compared to:",
Sinhala Name,,Common Name,4th week October,3rd week October,4th week October,Last week ,Last Year
1,තෝරා,Seer (Nl),1000,1157.14,1075,-0.07098536045768022,0.075
2,පරව් (ලොකු),Trevally (L),383.33,412.5,437.5,0.06060606060606061,0.14131427229802004
3,ගල්මාළු (ලොකු),Rock fish (L),350,475,450,-0.05263157894736842,0.2857142857142857
4,තලපත්,Sail fish,600,729.29,711.67,-0.024160484855133082,0.1861166666666666
5,බලයා,Skipjack tuna,276.67,320,302.5,-0.0546875,0.09336032095998838
6,කෙළවල්ලා,Yellowfin tuna,461.67,397.14,454,0.14317369189706405,-0.016613598457772903
7,සාලයා (මට්ට),Sardinella,117.5,176,162,-0.07954545454545454,0.37872340425531914
8,මෝරා,Sharks,500,576.67,576.25,-0.0007283194894826488,0.1525
9,හුරුල්ලා,Herrings,180,362.14,331.67,-0.08413873087756109,0.8426111111111112
10,කුම්බලා,Indian Mackerel,195,372.86,320,-0.14176902858981927,0.6410256410256411
11,කාරල්ලා,Pony fish,112.5,140,150,0.07142857142857142,0.3333333333333333
12,කටුවල්ලා,Katuwalla,115,150,200,0.3333333333333333,0.7391304347826086
13,හාල්මැස්සා,Anchovy,230,254.29,268,0.05391482166030913,0.16521739130434782
14,ඉස්සා (M),"Prawns (M) 3""",733.33,1087.5,1190,0.09425287356321839,0.6227346487938581
15, කොප්පරා,Marlins,786.67,860,832,-0.03255813953488372,0.057622637192215345
16,අලගොඩුවා,Frigate tuna,220,226,240,0.061946902654867256,0.09090909090909091
17,ඇටවල්ලා,Atawalla,265,300,315,0.05,0.18867924528301888
18,ඇටිස්සා,Red Bream,500,600,565,-0.058333333333333334,0.13
19,බෝල්ලා,Big eye scade,165,247.14,306.25,0.23917617544711506,0.8560606060606061
20,ගින්නටි පරව්,Ginnati Paraw,366.67,549,470,-0.14389799635701275,0.2818065290315542
21,හබරලි,Needle fish,247,360.71,366,0.014665520778464752,0.4817813765182186
22,හැඩැල්ලා,Indian Anchovies,538.33,720,850,0.18055555555555555,0.5789571452454813
23,ජීලාවා,Barracuda,350,481.25,500,0.03896103896103896,0.42857142857142855
24,ලින්නා,Indian Scad,116.25,236.43,252.5,0.06796937782853273,1.1720430107526882
25,ලේන පරව්,Rainbow Runner,190,306.67,305,-0.005445592982685023,0.6052631578947368
26,සුද්දා,Threadfin  Bream,301.67,365.71,350,-0.04295753465860923,0.16020817449530939
27,සූඩයා,White Sardinella,76.67,106.67,116,0.08746601668697851,0.512977696621886
28,දැල්ලා,Squids /Cuttle fish,737.5,806.25,787.5,-0.023255813953488372,0.06779661016949153
29,කකුළුවා,Sea Crabs,390,600,625,0.041666666666666664,0.6025641025641025
30,තිලාපියා,Tilapia (M),280,310,330,0.06451612903225806,0.17857142857142858
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
