Table 4: Inland Fish Production by District (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
Sn,District,2008.0,2009,2010,2011,2012,Change in 2012 compaired to 2011,2013 Target,2013,Achievement  in 2013 over targets,Change in 2013 compaired to 2012,Target 2014,2014  Jan,2014  Feb,2014 Mar,2014 Apr,2014 May,2014 Jun,2014 July,2014 Aug,2014 Sep,2014 Oct,2014 Nov,2014 Dec,2014.0,Achievement  over targets 2014,2015 Jan,2015 Feb,2015 Mar,2015 App,2015 May,2015 June,2015 July,2015 Aug,2015 Sep,2015 Oct,2015 Nov,2015 Dece
1,Colombo,120.0,110,120,120,270,1.25,340,624,1.8352941176470587,1.3111111111111111,900,50,50,55,49,50,50,50,50,50,50,50,50,604.0,0.6711111111111111,40,40,46,40,36,35,49,54,57,45,60,60
2,Gampaha,210.0,180,190,210,520,1.4761904761904763,680,325,0.47794117647058826,-0.375,500,29,29,30,30,30,20,20,20,30,20,30,30,318.0,0.636,30,20,26,24,22,22,26,24,25,20,20,50
3,Kalutara,60.0,80,100,100,410,3.1,510,420,0.8235294117647058,0.024390243902439025,700,40,30,34,30,30,30,30,30,30,30,30,20,364.0,0.52,60,40,40,36,50,31,31,34,34,30,16,30
4,Kandy,270.0,290,320,380,920,1.4210526315789473,1680,918,0.5464285714285714,-0.002173913043478261,1500,50,70,60,60,70,69,69,69,63,60,60,60,760.0,0.5066666666666667,60,60,54,56,55,57,54,65,62,60,54,60
5,Matale,520.0,640,720,820,2130,1.5975609756097562,3830,1700,0.44386422976501305,-0.20187793427230047,2400,80,80,80,80,60,70,60,200,60,60,50,55,935.0,0.38958333333333334,50,50,55,55,56,55,63,73,120,89,70,70
6,Nuwaraeliya,100.0,90,90,160,980,5.125,1270,425,0.3346456692913386,-0.5663265306122449,600,40,40,40,30,30,30,20,20,16,18,10,20,314.0,0.5233333333333333,20,20,14,14,15,15,15,16,17,13,15,10
7,Galle,50.0,50,60,60,240,3,360,555,1.5416666666666667,1.3125,800,80,60,50,50,30,30,20,30,20,30,20,30,450.0,0.5625,50,30,41,44,42,30,34,32,37,40,46,60
8,Matara,20.0,30,40,60,380,5.333333333333333,580,262,0.4517241379310345,-0.3105263157894737,400,10,10,20,10,10,20,20,20,20,20,20,20,200.0,0.5,30,20,20,18,17,18,18,19,21,19,16,20
9,Hambantota,3270.0,2720,3080,3480,4520,0.2988505747126437,4980,7320,1.4698795180722892,0.6194690265486725,11200,610,650,610,570,550,560,600,520,480,490,440,380,6460.0,0.5767857142857142,260,270,295,293,319,299,316,433,614,398,373,220
