Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2018/2019,,"% Change 01st week January 2019, compared to:",
Sinhala Name,,Common Name, 1st Week January, 4thWeek December, 1st Week January,Last week ,Last Year
1,තෝරා,Seer,1566,1650,1800,0.09090909090909091,0.14942528735632185
2,පරව් (ලොකු),Trevally (L),1124,925,1024,0.10702702702702703,-0.08896797153024912
3,ගල්මාළු (ලොකු),Rock Fish (L),560,680,980,0.4411764705882353,0.75
4,තලපත්,Sail fish,1082,1101.67,1105,0.0030226837437707546,0.021256931608133085
5,බලයා,Skipjack tuna,583,513.33,640,0.24676134260612073,0.09777015437392796
6,කෙළවල්ලා,Yellowfin tuna,932,940,963.33,0.024819148936170255,0.03361587982832622
7,සාලයා (මට්ට),Sardinella,250,250,260,0.04,0.04
8,මෝරා,Shark,780,720,890,0.2361111111111111,0.14102564102564102
9,හුරුල්ලා,Herrings,426,394,356,-0.09644670050761421,-0.1643192488262911
10,කුම්බලා,Indian mackerel,458,549.33,553.33,0.007281597582509602,0.20814410480349355
11,කාරල්ලා,Pony fish,160,180,240,0.3333333333333333,0.5
12,කටුවල්ලා,Katuwalla,240,­,­,­,­
13,හාල්මැස්සා,Anchovies,360,­,360,­,0
14,ඉස්සා (M),Prawns (M),1198,885,983.89,0.11174011299435027,-0.17872287145242072
15, කොප්පරා,Marlins,850,­,890,­,0.047058823529411764
16,අලගොඩුවා,Frigate tuna,375,420,400,-0.047619047619047616,0.06666666666666667
17,ඇටවල්ලා,Kawakawa,437,440,300,-0.3181818181818182,-0.3135011441647597
18,ඇටිස්සා,Red Bream,680,693.33,720,0.03846653108909171,0.058823529411764705
19,බෝල්ලා,Big eye scade,406,380,446.67,0.17544736842105269,0.10017241379310349
20,ගින්නටි පරව්,Ginnati paraw,605,960,800,-0.16666666666666666,0.32231404958677684
21,හබරලි,Needle fish,560,485,480,-0.010309278350515464,-0.14285714285714285
22,හැඩැල්ලා,Indian Anchovy,800,780,897.5,0.15064102564102563,0.121875
23,ජීලාවා,Barracuda,652,750,728,-0.029333333333333333,0.1165644171779141
24,ලින්නා,Indian Scade,387,355,372,0.04788732394366197,-0.03875968992248062
25,ලේන පරව්,Rainbow runner,410,506.67,470,-0.0723745238518168,0.14634146341463414
26,සුද්දා,Threadfin bream,510,550,760,0.38181818181818183,0.49019607843137253
27,සූඩයා,White Sardinella,180,­,­,­,­
28,දැල්ලා,Cuttle fish,764,833.33,820,-0.015996063984255987,0.07329842931937172
29,කකුළුවා,Sea Crabs,800,1050,800,-0.23809523809523808,0
30,තිලාපියා,Thilapia (M),­,­,450,­,­
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
