Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2019,2020,,"% Change 3rd week January 2020, compared to:",
Sinhala Name,,Common Name,3rd Week January ,2nd Week January ,3rd Week January ,Last week ,Last Year
1,තෝරා,Seer,1885,1705,1700,-0.002932551319648094,-0.09814323607427056
2,පරව් (ලොකු),Trevally (L),1068,1005,1144,0.1383084577114428,0.07116104868913857
3,ගල්මාළු (ලොකු),Rock Fish (L),960,720,712,-0.011111111111111112,-0.25833333333333336
4,තලපත්,Sail fish,1105,1127.5,1145,0.015521064301552107,0.03619909502262444
5,බලයා,Skipjack tuna,655,626.67,665,0.06116456827357308,0.015267175572519083
6,කෙළවල්ලා,Yellowfin tuna,941.67,958,1026.67,0.0716805845511483,0.09026516720294808
7,සාලයා (මට්ට),Sardinella,245,335,306.67,-0.08456716417910443,0.2517142857142858
8,මෝරා,Shark,840,920,960,0.043478260869565216,0.14285714285714285
9,හුරුල්ලා,Herrings,401.67,560,613.33,0.09523214285714293,0.5269499838175618
10,කුම්බලා,Indian mackerel,580,613.33,640,0.04348393197789111,0.10344827586206896
11,කාරල්ලා,Pony fish,160,240,320,0.3333333333333333,1
12,කටුවල්ලා,Katuwalla,­,­,­,­,­
13,හාල්මැස්සා,Anchovies,­,­,400,­,­
14,ඉස්සා (M),Prawns (M),1090,1258.33,1270.2,0.009433137571225448,0.16532110091743124
15, කොප්පරා,Marlins,890,895,895,0,0.0056179775280898875
16,අලගොඩුවා,Frigate tuna,370,460,­,­,­
17,ඇටවල්ලා,Kawakawa,360,540,510,-0.05555555555555555,0.4166666666666667
18,ඇටිස්සා,Red Bream,706.67,750,720,-0.04,0.018863118570195483
19,බෝල්ලා,Big eye scade,473.33,760,560,-0.2631578947368421,0.1831069232881922
20,ගින්නටි පරව්,Ginnati paraw,840,640,820,0.28125,-0.023809523809523808
21,හබරලි,Needle fish,575,390,606.67,0.5555641025641025,0.055078260869565146
22,හැඩැල්ලා,Indian Anchovy,960,1120,­,­,­
23,ජීලාවා,Barracuda,750,880,715,-0.1875,-0.04666666666666667
24,ලින්නා,Indian Scade,384,420,434,0.03333333333333333,0.13020833333333334
25,ලේන පරව්,Rainbow runner,433.33,660,576.67,-0.12625757575757582,0.33078715990123
26,සුද්දා,Threadfin bream,760,700,773.33,0.10475714285714291,0.01753947368421058
27,සූඩයා,White Sardinella,­,230,­,­,­
28,දැල්ලා,Cuttle fish,826.67,893.33,920,0.029854589009660436,0.11289873831153913
29,කකුළුවා,Sea Crabs,800,720,1000,0.3888888888888889,0.25
30,තිලාපියා,Thilapia (M),485,485,460,-0.05154639175257732,-0.05154639175257732
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,
