Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:2ndweek of May 2025,, ,,,,,,
Sinhala Name,,Common Name,2nd week of May,1ST week of May,2nd week of May,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3968,3476,3512.5,0.010500575373993095,-0.11479334677419355,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2560,2493.33,2510,0.006685837815291226,-0.01953125, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2280,2290,2350,0.026200873362445413,0.03070175438596491,, ,,, ,,
4,තලපත්,Sail fish,2840,2846.67,2925,0.027516361222059433,0.02992957746478873,,, ,, ,,
5,බලයා,Skipjack tuna,1393.33,1596,1733.33,0.08604636591478693,0.2440197225352214,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2313.33,2685,2645,-0.0148975791433892,0.14337340543718366,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,660,762.5,696.67,-0.08633442622950825,0.055560606060606,,, , ,, ,
8,මෝරා,Shark,2000,1990,1893.33,-0.04857788944723622,-0.053335000000000035,,,,,,,
9,හුරුල්ලා,Herrings,1020,1162.5,,,,, ,,,,,
10,කුම්බලා,Indian mackerel,1240,1273.33,1330,0.04450535210825165,0.07258064516129033,,,,,,,
11,කාරල්ලා,Pony fish,560,,465,,-0.16964285714285715,,, ,,,,
12,කටුවල්ලා,Katuwalla,,740,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,,,700,,,,,, ,,,
14,ඉස්සා (M),Prawns (M),2170,2492,2405,-0.034911717495987156,0.10829493087557604,, , ,,,,
15, කොප්පරා,Marlins,3430,3190,3250,0.018808777429467086,-0.052478134110787174,,,,,,,
16,අලගොඩුවා,Frigate tuna,1100,1210,1160,-0.04132231404958678,0.05454545454545454,,, ,,,,
17,ඇටවල්ලා,Kawakawa,1133.33,1260,1290,0.023809523809523808,0.13823864187835855,,, ,,,,
18,ඇටිස්සා,Red Bream(L),1760,1760,,,,,,,, ,,
19,බෝල්ලා,Big eye scade,1166.67,1230,,,,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1740,1706.67,1700,-0.003908195491805723,-0.022988505747126436,,, ,,, ,
21,හබරලි,Needle fish,,1260,1280,0.015873015873015872,,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1553.33,2133.33,2020,-0.05312352050550076,0.30043197517591247,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2060,2450,2470,0.00816326530612245,0.19902912621359223,,,,,,,
24,ලින්නා,Indian Scade,990,976,1076.67,0.10314549180327877,0.08754545454545462,,, ,,,,
25,ලේන පරව්,Rainbow runner,1160,1026.67,1095,0.06655497871760149,-0.05603448275862069,,,,,,,
26,සුද්දා,Threadfin bream,1480,1320,,,,,,,,,,
27,සූඩයා,White Sardinella,470,505,466.67,-0.07590099009900987,-0.007085106382978689,,,,, ,,
28,දැල්ලා,Cuttle fish,1940,2133.33,2180,0.02187659668218235,0.12371134020618557,,,,,,,
29,කකුළුවා,Sea Crabs(L),2760,2640,2660,0.007575757575757576,-0.036231884057971016,,,,,,,
30,තිලාපියා,Thilapia (M),,1080,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
