--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,"% Change 4th week of Sep. 2023, compared to:",, ,,,,,,
Sinhala Name,,Common Name,4th week of Sep.,3rd week of Sep.,4th week of Sep.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),2025,2121.13,2050,-0.03353401253105661,0.012345679012345678,, ,,,,, 
2,පරව් (ලොකු),Trevally (L),1362.5,1242.86,1271.43,0.022987303477463403,-0.06684036697247701,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1150,1357.14,1371.43,0.010529495851570186,0.19254782608695659, , , ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),833.33,1070,1064.29,-0.005336448598130875,0.27715310861243436,, ,, , , ,
5,තලපත්,Sail fish,2042.86,2142.86,2085.71,-0.026669964440047454,0.020975495139167705,,,,, ,,
6,බලයා,Skipjack tuna,596.43,830,770,-0.07228915662650602,0.29101487182066643,,,,,, ,
7,කෙළවල්ලා,Yellowfin tuna,1383.33,1441.67,1358.33,-0.057807958825528825,-0.018072332704416157, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,450,371.57,308.33,-0.17019673278251746,-0.3148222222222223,,,,,,,
9,මෝරා,Sharks,1125,1125,1125,0,0,,,,, , ,
10,හුරුල්ලා,Herrings,637.86,471.43,482,0.02242114417835096,-0.24434828959332772,,,,,,,
11,කුම්බලා,Indian Mackerel,728.57,900,707.14,-0.21428888888888892,-0.0294137831642808,,,,,,,
12,කාරල්ලා,Pony fish,375,420,270.85,-0.35511904761904756,-0.2777333333333333,,,,,,,
13,කටුවල්ලා,Katuwalla,,525,550,0.047619047619047616,,,, ,,,,
14,හාල්මැස්සා,Anchovy,475,465,400,-0.13978494623655913,-0.15789473684210525,,, ,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1433.33,1475,1528.57,0.036318644067796564,0.06644666615503758,,,,,,,
16, කොප්පරා,Marlins,2242.86,2371.43,2442.86,0.030121066192128926,0.0891718609275657,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),481.33,691.67,650,-0.06024549279280576,0.35042486443811943,,,,,,,
18,ඇටවල්ලා,Kawakawa,720.83,880,807.14,-0.08279545454545456,0.11973696988194157,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1116.67,1425,1442.86,0.012533333333333263,0.2921095757923109,,,,,,,
20,බෝල්ලා,Big eye scade,692.8,700,550,-0.21428571428571427,-0.20612009237875284,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,695,1033.33,1366.67,0.3225881373810885,0.9664316546762591,, ,,, ,,
22,හබරලි,Needle fish,975,1000,935.71,-0.06428999999999996,-0.04029743589743586,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1016.67,1166.67,1350,0.15713955102985414,0.327864498804922,, , ,,,,
24,ජීලාවා,Barracuda(L),1033.33,1416.67,1400,-0.011767031136397377,0.35484308013896826,,, ,,,,
25,ලින්නා,Indian Scad(L),655.71,528.57,510.71,-0.033789280511569084,-0.2211343429259887,,, ,,,,
26,ලින්නා,Indian Scad(S),562.5,475,420.83,-0.11404210526315793,-0.2518577777777778,,,,,,,
27,ලේන පරව්,Rainbow Runner,633.33,764.29,633.33,-0.17134857187716696,0,,,,,,,
28,සුද්දා,Threadfin  Bream,914.29,910,850,-0.06593406593406594,-0.0703168578897286,,, ,,,,
29,සූඩයා,White Sardinella,362.5,273.33,209.57,-0.23327113745289574,-0.42187586206896555,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1325,1516.67,1557.14,0.026683457838554216,0.17520000000000008,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1633.33,2225,2128.57,-0.043339325842696556,0.3032087820587391,,,, ,,,
32,තිලාපියා,Tilapia (M),,,350,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,2023,Average of 4th week of September,,,,,,,
Sinhala Name,,Common Name,Average of 4th week of September,Average of 3rd week of September,Average of 4th week of September,Last week ,Last Year,,,,,, 
1,තෝරා,Seer,3590,3656,3427,-0.06263676148796499,-0.04540389972144847,,,,,,
2,පරව් (ලොකු),Trevally (L),2560,2793,2595,-0.07089151450053706,0.013671875,,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2426.66,2230,2490,0.11659192825112108,0.026101720059670555,,,,,,
4,තලපත්,Sail fish,2960,3230,3130,-0.030959752321981424,0.057432432432432436,,,,,,
5,බලයා,Skipjack tuna,1270,1435,1445,0.006968641114982578,0.1377952755905512,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2575,2576,2418,-0.06133540372670807,-0.06097087378640777,,,,,,
7,සාලයා (මට්ට),Sardinella,710,793,716,-0.09709962168978563,0.008450704225352112,,,,,,
8,මෝරා,Shark,1986.66,1827,1740,-0.047619047619047616,-0.1241581347588415,,,,,,
9,හුරුල්ලා,Herrings,1015,878,874,-0.004555808656036446,-0.13891625615763548,,,,,,
10,කුම්බලා,Indian mackerel,1040,1215,1027,-0.15473251028806584,-0.0125,,,,,,
11,කාරල්ලා,Pony fish,,680,650,-0.04411764705882353,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,,,
13,හාල්මැස්සා,Anchovies,920,840,707,-0.15833333333333333,-0.23152173913043478,,,,,,
14,ඉස්සා (M),Prawns (M),1886.67,1820,1835,0.008241758241758242,-0.02738687740834384,,,,,,
15, කොප්පරා,Marlins,3600,3980,3980,0,0.10555555555555556,,,,,,
16,අලගොඩුවා,Frigate tuna,980,913,840,-0.07995618838992333,-0.14285714285714285,,,,,,
17,ඇටවල්ලා,Kawakawa,1000,995,920,-0.07537688442211055,-0.08,,,,,,
18,ඇටිස්සා,Red Bream(L),,2110,2193,0.03933649289099526,,,,,,,
19,බෝල්ලා,Big eye scade,953.33,960,807,-0.159375,-0.1534935436837192,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1133.33,1660,1770,0.06626506024096386,0.5617692993214687,,,,,,
21,හබරලි,Needle fish,1126.67,,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1380,1367,1515,0.10826627651792246,0.09782608695652174,,,,,,
23,ජීලාවා,Barracuda,1893.33,2760,2540,-0.07971014492753623,0.3415516576613692,,,,,,
24,ලින්නා,Indian Scade,896.33,844,785,-0.06990521327014218,-0.12420648645030294,,,,,,
25,ලේන පරව්,Rainbow runner,1066.66,1085,960,-0.1152073732718894,-0.0999943749648436,,,,,,
26,සුද්දා,Threadfin bream,1341.67,1255,1105,-0.11952191235059761,-0.1763995617402193,,,,,,
27,සූඩයා,White Sardinella,580,487,420,-0.1375770020533881,-0.27586206896551724,,,,,,
28,දැල්ලා,Cuttle fish,1860,1725,1790,0.03768115942028986,-0.03763440860215054,, ,,,,
29,කකුළුවා,Sea Crabs(L),3030,2687,2980,0.10904354298474135,-0.0165016501650165,,,,,,
30,තිලාපියා,Thilapia (M),920,1050,1020,-0.02857142857142857,0.10869565217391304,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,
,,,,,,, ,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,, ,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
