Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2018,2019,,"% Change 3rd week September 2019, compared to:",,,
Sinhala Name,,Common Name,3rd week September,2nd week September,3rd week September,Last week ,Last Year,,                                                                             
1,තෝරා,Seer (Nl),1235.71,1450,1442.86,-0.004924137931034552,0.16763641954827577,,
2,පරව් (ලොකු),Trevally (L),521.43,590,576.67,-0.02259322033898312,0.10593943578236775,,
3,ගල්මාළු (ලොකු),Rock fish (L),350,­,400,­,0.14285714285714285,,
4,තලපත්,Sail fish,610,700,700,0,0.14754098360655737,,
5,බලයා,Skipjack tuna,257.86,420,335.83,-0.20040476190476195,0.3023733809043666,,
6,කෙළවල්ලා,Yellowfin tuna,587.14,790,724.29,-0.08317721518987346,0.23358994447661544,,
7,සාලයා (මට්ට),Sardinella,187.86,252,216,-0.14285714285714285,0.1497923985946981,,
8,මෝරා,Sharks,542.86,625,591.67,-0.05332800000000006,0.08991268467008058,,
9,හුරුල්ලා,Herrings,255,397,398,0.0025188916876574307,0.5607843137254902,,
10,කුම්බලා,Indian Mackerel,424.29,582.5,395,-0.3218884120171674,-0.06903297273091522,,
11,කාරල්ලා,Pony fish,140,166.67,176.67,0.05999880002399952,0.26192857142857134,,
12,කටුවල්ලා,Katuwalla,150,180,­,­,­,,
13,හාල්මැස්සා,Anchovy,255,316,324.17,0.025854430379746884,0.2712549019607844,,
14,ඉස්සා (M),"Prawns (M) 3""",786.67,1120,1160,0.03571428571428571,0.47457002300837714,,
15, කොප්පරා,Marlins,792.5,860,880,0.023255813953488372,0.11041009463722397,,
16,අලගොඩුවා,Frigate tuna,235,377,348,-0.07692307692307693,0.4808510638297872,,
17,ඇටවල්ලා,Atawalla,288.33,402.5,350,-0.13043478260869565,0.21388686574411273,,
18,ඇටිස්සා,Red Bream,602,743.33,733.33,-0.013452975125448992,0.21815614617940207,,
19,බෝල්ලා,Big eye scade,290,380,326,-0.14210526315789473,0.12413793103448276,,
20,ගින්නටි පරව්,Ginnati Paraw,546.43,770,662.5,-0.1396103896103896,0.21241513094083425,,
21,හබරලි,Needle fish,410.71,541.67,520,-0.04000590765595281,0.2661001680017531,,
22,හැඩැල්ලා,Indian Anchovies,574.29,641.67,642.14,0.0007324637274611986,0.11814588448344918,,
23,ජීලාවා,Barracuda,540,800,­,­,­,,
24,ලින්නා,Indian Scad,254.29,343.33,284.29,-0.171962834590627,0.11797553973809442,,
25,ලේන පරව්,Rainbow Runner,274.29,401.67,412.5,0.026962431847038573,0.5038827518320025,,
26,සුද්දා,Threadfin  Bream,397.14,438.33,456.43,0.041293089681290404,0.14929244095281266,,
27,සූඩයා,White Sardinella,107,161,159,-0.012422360248447204,0.48598130841121495,,
28,දැල්ලා,Squids /Cuttle fish,620,943.75,850,-0.09933774834437085,0.3709677419354839,,
29,කකුළුවා,Sea Crabs,562.5,550,600,0.09090909090909091,0.06666666666666667,,
30,තිලාපියා,Tilapia (M),311.67,376.66,352,-0.06547018531301445,0.1293996855648602,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,
