Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 3rd  week September 2019, compared to:",
Sinhala Name,,Common Name,3rd week September,2nd week September,3rd week September,Last week ,Last Year
1,තෝරා,Seer,1560,1620,1480,-0.08641975308641975,-0.05128205128205128
2,පරව් (ලොකු),Trevally (L),946.11,1060,1185,0.1179245283018868,0.25249706693724827
3,ගල්මාළු (ලොකු),Rock Fish (L),675,830,704.33,-0.15140963855421682,0.043451851851851915
4,තලපත්,Sail fish,1128.33,1235.83,1327,0.07377228259550268,0.17607437540435872
5,බලයා,Skipjack tuna,465.83,787.5,760,-0.03492063492063492,0.6314964686688277
6,කෙළවල්ලා,Yellowfin tuna,981.67,1156,1140,-0.01384083044982699,0.1612863793331772
7,සාලයා (මට්ට),Sardinella,306.67,294,292,-0.006802721088435374,-0.04783643656047222
8,මෝරා,Shark,730,960,946.67,-0.013885416666666709,0.29680821917808214
9,හුරුල්ලා,Herrings,352,512.5,540,0.05365853658536585,0.5340909090909091
10,කුම්බලා,Indian mackerel,510,706.67,676.75,-0.042339422927250285,0.3269607843137255
11,කාරල්ලා,Pony fish,400,300,220,-0.26666666666666666,-0.45
12,කටුවල්ලා,Katuwalla,180,­,­,­,­
13,හාල්මැස්සා,Anchovies,460,530,510,-0.03773584905660377,0.10869565217391304
14,ඉස්සා (M),Prawns (M),938.33,1372.5,1203.25,-0.12331511839708562,0.28233137595515434
15, කොප්පරා,Marlins,850,960,­,­,­
16,අලගොඩුවා,Frigate tuna,400,436.67,462.5,0.05915222021205941,0.15625
17,ඇටවල්ලා,Kawakawa,440,450,480,0.06666666666666667,0.09090909090909091
18,ඇටිස්සා,Red Bream,680,910,910,0,0.3382352941176471
19,බෝල්ලා,Big eye scade,395,486.67,436.67,-0.10273902233546345,0.10549367088607599
20,ගින්නටි පරව්,Ginnati paraw,740,910,805,-0.11538461538461539,0.08783783783783784
21,හබරලි,Needle fish,475,660,648,-0.01818181818181818,0.3642105263157895
22,හැඩැල්ලා,Indian Anchovy,655,772.5,800,0.03559870550161812,0.22137404580152673
23,ජීලාවා,Barracuda,871.67,820,455,-0.4451219512195122,-0.4780134683997384
24,ලින්නා,Indian Scade,383,430,397.67,-0.07518604651162787,0.038302872062663224
25,ලේන පරව්,Rainbow runner,455,543.33,505,-0.07054644507021522,0.10989010989010989
26,සුද්දා,Threadfin bream,462,536.67,582,0.0844653138800381,0.2597402597402597
27,සූඩයා,White Sardinella,360,280,200,-0.2857142857142857,-0.4444444444444444
28,දැල්ලා,Cuttle fish,700,1015,1000,-0.014778325123152709,0.42857142857142855
29,කකුළුවා,Sea Crabs,800,1337.5,1325,-0.009345794392523364,0.65625
30,තිලාපියා,Thilapia (M),­,560,505,-0.09821428571428571,­
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,
