"","Table 4.12:  Shrimp Production (Aquaculture)","","","","","","","","","",""
"District","Area (Ha)","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","No. of Ponds","1,795","2,917","2,350","2,186","2,279","2,903","4,235","4,184","4,016","3,221"
"Puttalam","","","","","","","","","","",""
"","Area (Ha)","902","1,559","1,186","1,077","1,202","1,347","2,038","2,011","1,890","1,576"
"","Production (Mt)","2,230","3,550","3,319","3,940","3,022","4,180","4,850","6,702","5,825","4,307"
"","No. of Ponds","-","-","18","-","107","137","224","","186","195"
"Batticaloa","","","","","","","","","","",""
"","Area (Ha)","-","-","38","49","123","225","205","","109","128"
"","Production (Mt)","-","-","161","208","270","250","300","388","205","323"
"Nandikadal","","","","","","","","","","",""
