"Table 5.4.1:  Production of Fish Fingerlings (Mn)","","","","","","","","","",""
"Source of Production","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Aquaculture Centres","","","","","","","","","",""
"Iginiyagala","1.90","3.34","6.49","8.44","8.10","8.90","7.36","10.34","10.40","11.04"
"Dambulla","2.42","3.04","2.29","3.98","4.39","9.06","9.62","13.36","7.50","6.60"
"Udawalawe","2.24","3.01","4.50","7.13","6.60","14.32","11.95","12.28","13.41","10.89"
"Carp centre","1.19","2.10","3.36","2.50","2.28","6.17","3.77","4.08","5.96","4.70"
"Thilapia centre","1.05","0.91","1.14","4.63","4.32","8.15","8.18","8.20","7.45","6.19"
"Nuwara - Eliya","0.15","0.23","0.20","0.15","0.17","0.10","0.01","0.24","0.33","0.16"
"Kalawewa","-","-","0.26","0.55","0.71","0.87","1.39","1.84","3.93","5.22"
"Polonnaruwa","-","-","-","0.10","1.22","1.68","0.63","1.35","",""
"Iranamadu","-","-","-","-","-","-","-","0.38","0.64","0.94"
"Muruthawela","-","-","-","-","-","-","-","-","1.42","3.21"
"Sub-Total","6.71","9.62","13.74","20.35","21.19","34.93","30.96","39.79","37.63","38.06"
"Other","","","","","","","","","",""
"Community based Mini -","","","","","","","","","",""
"","6.60","8.14","8.03","8.47","5.63","5.76","4.27","7.24","10.34","13.39"
"Hatcheries","","","","","","","","","",""
"Private  Ponds","5.50","8.99","11.70","14.89","9.86","8.36","4.75","5.84","4.00","3.30"
"Pens & Cages","1.00","1.18","1.40","1.11","0.72","0.26","0.96","2.40","18.12","28.16"
"Sub-Total","13.10","18.31","21.13","24.47","16.21","14.38","9.98","15.48","32.46","44.85"
"Total","19.81","27.93","34.87","44.82","37.40","49.31","40.94","55.27","70.09","82.91"
