"","Villus","Hectares","","","","5,000"
"3.  Annual Fish Production","","","2014","2015","2016","2017"
"3.1","Marine Sector","Mt.","459,300","452,890","456,990","449,440"
"","Coastal Waters","Mt.","278,850","269,020","274,160","259,720"
"","Offshore/Deep Sea Waters","Mt.","180,450","183,870","182,830","189,720"
"3.2","Inland and Aquaculture Sector","Mt.","75,750","67,300","73,930","81,870"
"","Inland Capture Fisheries","Mt.","68,820","57,060","58,410","68,500"
"","Aquaculture Fisheries","Mt.","1,780","3,150","9,490","8,740"
"","Shrimp Farms","Mt.","5,150","7,090","6,030","4,630"
"3.3","Total Production","Mt.","535,050","520,190","530,920","531,310"
"4. Fishing Fleet (Operting Boats)","","","2014","2015","2016","2017"
"","","","4,447","4,218","3,996","4,196"
"4.1","Multy-day Boats (Offshore Vessels) -IMUL","Numbers","","","",""
"","Multy-day Boats  - High seas IMUL","Numbers","na","1,612","1,407","1,346"
"","Multy-day Boats  - Other IMUL","Numbers","na","2,606","2,589","2,850"
"4.2","Inboard Single Day Boats - IDAY","Numbers","876","719","786","868"
"4.3","Outboard Motor FRP Boats - OFRP","Numbers","23,982","24,028","24,282","22,394"
"4.4","Motorized Traditional Boats - MTRB","Numbers","2,720","1,872","1,839","2,185"
"4.5","Non-motorized Traditional Boats - NTRB","Numbers","20,584","17,813","17,853","16,035"
"4.6","Non-motorized Traditional Beach-seine Boats - NBSB","Numbers","1,379","1,688","1,913","1,212"
"","Total Marine Fishing Fleet","Numbers","53,988","50,338","50,669","46,890"
"4.7","Inland Fishing Fleet","Numbers","8,640","8,778","9,661","9,745"
"5. Infrastructure Facilities (Marine sector)**","","","2014","2015","2016","2017"
"5.1","Major Fishery Harbours(3)","Numbers","20","22*","22*","22*"
"5.2","Functioning Major Fishery Harbours(4)","Numbers","na","21","21","21"
"5.3","Proposed Fishery Harbours for upgrading (5)","Numbers","7","6","6","6"
"5.4","Proposed New Fishery Harbours (6)","Numbers","11","8","8","na"
"5.5","Anchorages","Numbers","58","58","58","na"
"5.6","Minor Fish Landing Centers","Numbers","890","890","890","na"
"5.7","Active Ice Plants","Numbers","90","104","na","94"
"5.8","Ice Production Capacity","Mt/day","2,788","3,781","na","3,309.5"
"5.9","Cool Rooms","Numbers","43","81","na","na"
"5.10. Cool Rooms Capacity","","Mt/day","2,112","4,264","na","na"
"5.11. Boat Manufacturing Yards (Registered)","","Numbers","42","39","na","61"
"5.12. Fishing Gear Factories (7)","","Numbers","8","11","na","10"
"","","iii","","","",""
