"","Table 5.3:  Stocking of Post Larvae (Penaeus monodon)","","","","","","","",""
"District","Area (Ha)","2010","2011","2012","2013","2014","2015","2016","2017"
"","No. of Farms","777","925","789","779","1,055","1217","1300","1272"
"","No. of Ponds","2,406","3,088","2,741","3,228","3,843","4404","4457","4427"
"Puttalam","","","","","","","","",""
"","Area (Ha)","1,202","1,590.69","1,431","1,574","1,936","2058","2298","2135"
"","Stocking (Mn)","209","264","218","269","280","319","423.3","408"
"","No. of Farms","-","-","36","70","32","44","71","71"
"","No. of Ponds","-","-","137","183","172","164","165","174"
"Batticaloa","","","","","","","","",""
"","Area (Ha)","37.94","51.53","101","147","133","106","106.43","110"
"","Stocking (Mn)","10.79","16.53","15","20","18","16","18.4","17.66"
"Nandikadal","","","","","","","","",""
