Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:3rd week of Jan.2024,, ,,,,,,,,
Sinhala Name,,Common Name,3rd week of Jan.,2nd week of Jan.,3rd week of Jan.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),2057.14,2071.43,1814.29,-0.12413646611278194,-0.11805224729478787,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1071.43,1157.14,1035.71,-0.10493976528337112,-0.0333386222151704,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1064.29,1214.29,1107.14,-0.08824086503224095,0.040261582839263864, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),832.14,916.67,750,-0.18182115701397447,-0.09870935179176579,, ,, , , ,,,
5,තලපත්,Sail fish,1528.57,1842.86,1585.71,-0.1395385433510955,0.03738134334704992,,,,, ,,,,
6,බලයා,Skipjack tuna,632.14,600,595,-0.008333333333333333,-0.058752807922295675,,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1033.33,1291.67,1064.29,-0.1760356747466459,0.029961386972216078, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,383.33,378.57,362.5,-0.0424492167894973,-0.05433960295306912,,,,,,,,,
9,මෝරා,Sharks,1007.14,914.29,980,0.07186997560948938,-0.026947594177572122,,, ,, , ,,,
10,හුරුල්ලා,Herrings,735.71,641.67,575,-0.10390075895709627,-0.21844204917698554,,,,,,,,,
11,කුම්බලා,Indian Mackerel,757.14,753.57,757.14,0.004737449739241127,0,,,,,,,,,
12,කාරල්ලා,Pony fish,380,292.86,266.67,-0.08942839582052857,-0.29823684210526313,,,,,,,,,
13,කටුවල්ලා,Katuwalla,412.5,537.5,600,0.11627906976744186,0.45454545454545453,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,480,450,350,-0.2222222222222222,-0.2708333333333333,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1471.43,1364.29,1407.14,0.03140827829860231,-0.0436921905901062,,,,,,,,,
16, කොප්පරා,Marlins,1771.43,2128.57,1892.86,-0.1107363159304135,0.06854913826682388,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),637.5,732.14,660,-0.09853306744611684,0.03529411764705882,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,778.57,807.14,791.67,-0.019166439527219598,0.016825718946273178,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1128.57,1285.71,1107.14,-0.1388882407385802,-0.018988631631179136,,,,,,,,,
20,බෝල්ලා,Big eye scade,735.71,650,633.33,-0.025646153846153784,-0.13915809218306124,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,910,957.14,935.71,-0.02238961907348972,0.028252747252747294,, ,,, ,,,,
22,හබරලි,Needle fish,835.71,950,989.29,0.041357894736842066,0.1837718825908508,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1320,1480,1266.67,-0.14414189189189183,-0.0404015151515151,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1050,1121.43,975,-0.1305743559562345,-0.07142857142857142,,, ,,,,,,
25,ලින්නා,Indian Scad(L),750,521.43,579.17,0.11073394319467621,-0.22777333333333338,,, ,,,,,,
26,ලින්නා,Indian Scad(S),640,389.29,391.67,0.0061136941611651865,-0.388015625,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,735.71,621.43,689.29,0.10919974896609436,-0.06309551317774677,,,,,,,,,
28,සුද්දා,Threadfin  Bream,983.33,1033.33,992.86,-0.039164642466588524,0.009691558276468705,,, ,,,,,, 
29,සූඩයා,White Sardinella,250,242.5,255,0.05154639175257732,0.02,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1414.29,1500,1542.86,0.028573333333333267,0.0909078053298828,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2150,2125,2200,0.03529411764705882,0.023255813953488372,,,, ,,,,,
32,තිලාපියා,Tilapia (M),400,,,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,
