Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2020,2021,2021,2022,"% Change 3rd week of Jan. 2022, compared to:",,, 
Sinhala Name,,Common Name,3rd  week of jan.,3rd  week of jan.,2nd  week of jan.,3rd  week of jan.,Last week ,Last Year,2020.0,
1,තෝරා,Seer (Nl),1585.71,1000,1121.67,1130,0.007426426667379823,0.13,-0.28738546140214793,
2,පරව් (ලොකු),Trevally (L),625,560,822.14,752.5,-0.0847057678740847,0.34375,0.204,
3,ගල්මාළු (ලොකු),Rock fish (L),450,0,819,750,-0.08424908424908426,,, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,596.67,,,,,
5,තලපත්,Sail fish,663.33,711.4285714285714,1266,1025,-0.19036334913112166,0.4407630522088353,0.5452338956477167,
6,බලයා,Skipjack tuna,438,282.5,569.29,525,-0.07779866149062861,,0.19863013698630136,
7,කෙළවල්ලා,Yellowfin tuna,610,562.5,766,840,0.09660574412532637,,0.3770491803278688,
8,සාලයා (මට්ට),Sardinella,195,210,227.5,206.67,-0.09156043956043962,-0.015857142857142917,0.059846153846153785,
9,මෝරා,Sharks,600,,600,700,0.16666666666666666,,0.16666666666666666,
10,හුරුල්ලා,Herrings,446.67,435,465,430.83,-0.07348387096774198,-0.009586206896551762,-0.035462421922224534,
11,කුම්බලා,Indian Mackerel,566,352,518.5,470.83,-0.0919382835101254,0.3375852272727272,-0.16814487632508837,
12,කාරල්ලා,Pony fish,215,160,238.75,,,,-1.0,
13,කටුවල්ලා,Katuwalla,400,300,400,,,,-1.0,
14,හාල්මැස්සා,Anchovy,308.33,245,282.5,290,0.02654867256637168,,-0.059449291343690154,
15,ඉස්සා (M),"Prawns (M) 3""",921.43,756,957.14,933.33,-0.024876193660279527,0.2345634920634921,0.012914708659366518,
16, කොප්පරා,Marlins,845,861.4285714285714,1480,1158,-0.21756756756756757,0.3442786069651741,0.37041420118343193,
17,අලගොඩුවා,Frigate tuna(L),390,322,495,425,-0.1414141414141414,0.3198757763975155,0.08974358974358974,
18,ඇටවල්ලා,Atawalla,405,290,563.33,476.67,-0.15383522979425918,0.6436896551724138,0.176962962962963,
19,ඇටිස්සා,Red Bream(L),675,626.6666666666666,859.17,770,-0.10378621227463711,0.22872340425531923,0.14074074074074075,
20,බෝල්ලා,Big eye scade,480,325,472.5,401,-0.15132275132275133,0.23384615384615384,-0.16458333333333333,
21,ගින්නටි පරව්,Ginnati Paraw,545,626,626,575.83,-0.08014376996805106,-0.08014376996805106,0.05656880733944961,
22,හබරලි,Needle fish,510,440,585,567.5,-0.029914529914529916,0.2897727272727273,0.11274509803921569,
23,හැඩැල්ලා,Indian Anchovies,1000,1050,1068.57,1037.5,-0.02907624208053748,-0.011904761904761904,0.0375,
24,ජීලාවා,Barracuda(L),650,480,666,691.67,0.03854354354354348,0.4409791666666666,,
25,ලින්නා,Indian Scad(L),332.5,319.2857142857143,455.71,346.67,-0.23927497750762539,0.08576733780760634,0.042616541353383504,
26,ලින්නා,Indian Scad(S),,,387.86,277.5,-0.28453565719589546,,,
27,ලේන පරව්,Rainbow Runner,414.17,310,488.75,400,-0.1815856777493606,0.2903225806451613,-0.03421300432189684,
28,සුද්දා,Threadfin  Bream,598,444.2857142857143,565,538.33,-0.047203539823008775,0.21167524115755637,-0.0997826086956521,
29,සූඩයා,White Sardinella,149,99,127.5,122.5,-0.0392156862745098,0.23737373737373738,-0.17785234899328858,
30,දැල්ලා,Squids /Cuttle fish,767.86,675,1075,1043.75,-0.029069767441860465,0.5462962962962963,0.35929726773109677,
31,කකුළුවා(L),Sea Crabs(L),475,600,1400,1900,0.35714285714285715,2.1666666666666665,3.0,
32,තිලාපියා,Tilapia (M),450,,,350,,,-0.2222222222222222,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
