Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 1st week of Dec . 2024,, ,,,,,,,
Sinhala Name,,Common Name,Average of 1st week of  Dce.,Average of 4th week of  Nov.,Average of 1st week of  Dce.,Last week ,Last Year,, , ,,,,, 
1,තෝරා,Seer,3608,3675,3860,0.050340136054421766,0.06984478935698447,, , ,, ,,,
2,පරව් (ලොකු),Trevally (L),2496,2645,2680,0.013232514177693762,0.07371794871794872, , ,, ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2180,2330,2350,0.008583690987124463,0.0779816513761468,, ,,,,,,
4,තලපත්,Sail fish,2728.33,2903.33,2930,0.009186003657868749,0.0739170115052065,,, ,,,,,
5,බලයා,Skipjack tuna,1255,1288,1313.33,0.019666149068322925,0.04647808764940233,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2146.67,2463.33,2463.33,0,0.14751219330404758,,, ,,,, ,
7,සාලයා (මට්ට),Sardinella,633.33,696,696.67,0.0009626436781608607,0.10001105268975086,,, ,,, ,,
8,මෝරා,Shark,1780,1870,1960,0.0481283422459893,0.10112359550561797,,,,,,,,
9,හුරුල්ලා,Herrings,773.8,1040,1135,0.09134615384615384,0.46678728353579746,,,,,,,,
10,කුම්බලා,Indian mackerel,1015,1090,1105,0.013761467889908258,0.08866995073891626,,,,,,,,
11,කාරල්ලා,Pony fish,,495,480,-0.030303030303030304,,,, ,,,,,
12,කටුවල්ලා,Katuwalla,620,700,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,,640,720,0.125,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1790,1990,2196.67,0.10385427135678396,0.22718994413407825,,,,,,,,
15, කොප්පරා,Marlins,3065,3580,3495,-0.023743016759776536,0.1402936378466558,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1120,1060,1160,0.09433962264150944,0.03571428571428571,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1222.5,1150,1185,0.030434782608695653,-0.03067484662576687,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1806.67,1960,1980,0.01020408163265306,0.09593893738203431,,,,,,,,
19,බෝල්ලා,Big eye scade,913.33,1150,1180,0.02608695652173913,0.29197551815882533,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1213.33,,1305,,0.07555240536375106,,, ,,, ,,
21,හබරලි,Needle fish,,1070,1350,0.2616822429906542,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1550,2006.67,2100,0.04650988951845591,0.3548387096774194,,,,,,,,
23,ජීලාවා,Barracuda,2005,2033.33,2240,0.10164115023139386,0.1172069825436409,,,,,,,,
24,ලින්නා,Indian Scade,921.67,990,1220,0.23232323232323232,0.3236841819740255,,,,,,,,
25,ලේන පරව්,Rainbow runner,1015,905,1126.67,0.24493922651933708,0.11001970443349761,,,,,,,,
26,සුද්දා,Threadfin bream,1150,952,1240,0.3025210084033613,0.0782608695652174,,,,,,,,
27,සූඩයා,White Sardinella,370,383.33,438,0.1426186314663606,0.1837837837837838,,,,,,,,
28,දැල්ලා,Cuttle fish,2043.33,2120,2280,0.07547169811320754,0.11582563756221466,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2665,2495,2470,-0.01002004008016032,-0.07317073170731707,,,,,,,,
30,තිලාපියා,Thilapia (M),,1040,926.67,-0.10897115384615388,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,, ,,,,,, ,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,, ,,,, ,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
