Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2024,2025,,% Change   compared to: 3rd week of March 2025,, ,,,,,,,
Sinhala Name,,Common Name,3rd week of March.,2nd week of March.,3rd week of March.,Last week ,Last Year,, , ,,,,, 
1,තෝරා,Seer,2980,3060,3130,0.02287581699346405,0.050335570469798654,, , ,, ,,,
2,පරව් (ලොකු),Trevally (L),2060,2046.67,2016,-0.014985317613489264,-0.021359223300970873, , , , ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1980,2090,2040,-0.023923444976076555,0.030303030303030304,, ,,,,,,
4,තලපත්,Sail fish,2296,2532.5,2596,0.025074037512339584,0.13066202090592335,,, ,, ,,,
5,බලයා,Skipjack tuna,1095,1235,1288,0.04291497975708502,0.17625570776255708,,,, ,,,,
6,කෙළවල්ලා,Yellowfin tuna,1716,2112,1976.67,-0.06407670454545451,0.15190559440559445,,, ,, ,, ,
7,සාලයා (මට්ට),Sardinella,560,604,576,-0.046357615894039736,0.02857142857142857,,, ,,, ,,
8,මෝරා,Shark,1893.33,1966.67,1945,-0.011018625392160388,0.027290541004473638,,,,,,,,
9,හුරුල්ලා,Herrings,972,1160,1206.67,0.040232758620689715,0.24143004115226344,, ,,,,,,
10,කුම්බලා,Indian mackerel,986.67,1040,966.67,-0.07050961538461542,-0.02027020178985882,,,,,,,,
11,කාරල්ලා,Pony fish,440,395,,,,,, ,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,,
13,හාල්මැස්සා,Anchovies,790,545,560,0.027522935779816515,-0.2911392405063291,,,, ,,,,
14,ඉස්සා (M),Prawns (M),2066.67,2320,2360,0.017241379310344827,0.1419336420425128,,,,,,,,
15, කොප්පරා,Marlins,2940,2720,2780,0.022058823529411766,-0.05442176870748299,,,,,,,,
16,අලගොඩුවා,Frigate tuna,920,1080,1090,0.009259259259259259,0.18478260869565216,,, ,,,,,
17,ඇටවල්ලා,Kawakawa,1046.67,1116,1180,0.05734767025089606,0.1273849446339342,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1706.67,1640,1690,0.03048780487804878,-0.009767559047736277,,,,,,,,
19,බෝල්ලා,Big eye scade,953.33,1060,993.33,-0.0628962264150943,0.04195818866499533,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1206.67,1110,1120,0.009009009009009009,-0.07182576843710382,,, ,,, ,,
21,හබරලි,Needle fish,1120,1060,1100,0.03773584905660377,-0.017857142857142856,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1640,2110,1960,-0.07109004739336493,0.1951219512195122,,                                                                                                                                                                                                                                                                                                                                     ,,,,,,
23,ජීලාවා,Barracuda(L),1746.67,2080,2040,-0.019230769230769232,0.16793670241087322,,,,,,,,
24,ලින්නා,Indian Scade,855,898.33,830,-0.07606336201618563,-0.029239766081871343,,, ,,,,,
25,ලේන පරව්,Rainbow runner,1130,936.67,933.33,-0.0035658236091685633,-0.17404424778761057,,,,,,,,
26,සුද්දා,Threadfin bream,1133.33,996,995,-0.001004016064257028,-0.12205624134188624,,,,,,,,
27,සූඩයා,White Sardinella,360,390,380,-0.02564102564102564,0.05555555555555555,,,,, ,,,
28,දැල්ලා,Cuttle fish,1766.66,2025,2150,0.06172839506172839,0.21698572447443193,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2640,2640,2690,0.01893939393939394,0.01893939393939394,,,,,,,,
30,තිලාපියා,Thilapia (M),880,,980,,0.11363636363636363,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,, ,,,, ,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
