Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 3rd week of May 2023, compared to:",
Sinhala Name,,Common Name,Average of 3rd week of May,Average of 2nd week of May,Average of 3rd week of May,Last week ,Last Year
1,තෝරා,Seer,2900,3340,3515,0.05239520958083832,0.2120689655172414
2,පරව් (ලොකු),Trevally (L),2153.33,2535,2548,0.005128205128205128,0.18328356545443572
3,ගල්මාළු (ලොකු),Rock Fish (L),1680,2173,2390,0.09986194201564658,0.4226190476190476
4,තලපත්,Sail fish,2390,2996,3260,0.08811748998664887,0.36401673640167365
5,බලයා,Skipjack tuna,1553.33,1702.5,1720,0.010279001468428781,0.10729851351612348
6,කෙළවල්ලා,Yellowfin tuna,2393.33,2832.5,2980,0.05207413945278023,0.2451270823496969
7,සාලයා (මට්ට),Sardinella,732,782,710,-0.09207161125319693,-0.030054644808743168
8,මෝරා,Shark,1670,1800,1880,0.044444444444444446,0.12574850299401197
9,හුරුල්ලා,Herrings,1006.67,1170,1218,0.041025641025641026,0.2099297684444754
10,කුම්බලා,Indian mackerel,1256,1338,1357,0.014200298953662182,0.0804140127388535
11,කාරල්ලා,Pony fish,533.33,,,, 
12,කටුවල්ලා,Katuwalla,,,,, 
13,හාල්මැස්සා,Anchovies,880,900,920,0.022222222222222223,0.045454545454545456
14,ඉස්සා (M),Prawns (M),1492,1797,1774,-0.012799109627156371,0.18900804289544235
15, කොප්පරා,Marlins,2480,3530,3580,0.014164305949008499,0.4435483870967742
16,අලගොඩුවා,Frigate tuna,1050,950,1053,0.10842105263157895,0.002857142857142857
17,ඇටවල්ලා,Kawakawa,1073.33,1147,1360,0.1857018308631212,0.26708468038720623
18,ඇටිස්සා,Red Bream(L),,1600,,,
19,බෝල්ලා,Big eye scade,1173.33,1220,1365,0.11885245901639344,0.1633555777147095
20,ගින්නටි පරව්,Ginnati paraw,1305,1733,1833,0.05770340450086555,0.4045977011494253
21,හබරලි,Needle fish,1000,,,,
22,හැඩැල්ලා,Indian Anchovy,1425,1825,1925,0.0547945205479452,0.3508771929824561
23,ජීලාවා,Barracuda,1750,2148,2340,0.0893854748603352,0.33714285714285713
24,ලින්නා,Indian Scade,1090,1190,1277,0.073109243697479,0.17155963302752295
25,ලේන පරව්,Rainbow runner,1160,1320,1380,0.045454545454545456,0.1896551724137931
26,සුද්දා,Threadfin bream,1210,1595,1645,0.03134796238244514,0.359504132231405
27,සූඩයා,White Sardinella,,480,440,-0.08333333333333333,
28,දැල්ලා,Cuttle fish,1566.66,2063,2083,0.009694619486185167,0.329580125872876
29,කකුළුවා,Sea Crabs(L),2735,2443,2487,0.018010642652476462,-0.0906764168190128
30,තිලාපියා,Thilapia (M),750,980,1100,0.12244897959183673,0.4666666666666667
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
,,,,,,, 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
