Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2022,2023,2023,Compared to Average of 1stweek of  December,,,
Sinhala Name,,Common Name,Average of 1st  week of  December,Average of 4th week of  November,Average of 1st  week of  December,Last week ,Last Year,,
1,තෝරා,Seer,2940,3593.33,3608,0.00408256408401123,0.2272108843537415,,
2,පරව් (ලොකු),Trevally (L),2084,2120,2496,0.17735849056603772,0.19769673704414586,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),1852.5,1890,2180,0.15343915343915343,0.1767881241565452,,
4,තලපත්,Sail fish,2733.33,2597,2728.33,0.05056988833269154,-0.0018292705235006385,,
5,බලයා,Skipjack tuna,1073.33,1207,1255,0.03976801988400994,0.16925828962201753,,
6,කෙළවල්ලා,Yellowfin tuna,2076.66,1996,2146.67,0.07548597194388781,0.033712788805100605,,
7,සාලයා (මට්ට),Sardinella,550,530,633.33,0.19496226415094348,0.15150909090909098,,
8,මෝරා,Shark,1590,1650,1780,0.07878787878787878,0.11949685534591195,,
9,හුරුල්ලා,Herrings,815,712,773.8,0.0867977528089887,-0.05055214723926386,,
10,කුම්බලා,Indian mackerel,860,810,1015,0.25308641975308643, ,,
11,කාරල්ලා,Pony fish,,400,,,,,
12,කටුවල්ලා,Katuwalla,,,620,,,,
13,හාල්මැස්සා,Anchovies,647.5,,,,,,
14,ඉස්සා (M),Prawns (M),1738.33,1795,1790,-0.002785515320334262,0.029723930438984587,,
15, කොප්පරා,Marlins,3253.33,2980,3065,0.028523489932885907,-0.05788837898399484,,
16,අලගොඩුවා,Frigate tuna,706.66,920,1120,0.21739130434782608,0.5849206124586082,,
17,ඇටවල්ලා,Kawakawa,720,960,1222.5,0.2734375,0.6979166666666666,,
18,ඇටිස්සා,Red Bream(L),,1610,1806.67,0.12215527950310563,,,
19,බෝල්ලා,Big eye scade,830,705,913.33,0.29550354609929086,0.10039759036144583,,
20,ගින්නටි පරව්,Ginnati paraw,1200,1010,1213.33,0.20131683168316825,0.011108333333333272,,
21,හබරලි,Needle fish,906.66,1030,,,,,
22,හැඩැල්ලා,Indian Anchovy,1353.33,1530,1550,0.013071895424836602,0.1453230180369903,,
23,ජීලාවා,Barracuda,1590,1813,2005,0.10590182018753447,0.2610062893081761,,
