Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,2021,,"% Change 1st week Oct. 2021, compared to:",,, 
Sinhala Name,,Common Name,1st week of Oct.,1st week of Oct.,4th week of Sep.,1st week of Oct.,Last week ,Last Year,2019.0,
1,තෝරා,Seer (Nl),1171.43,1216.67,1130,1155,0.022123893805309734,-0.05068753236292509,-0.014025592651716332,
2,පරව් (ලොකු),Trevally (L),460,650,716.67,656.25,-0.0843065846205366,0.009615384615384616,0.4266304347826087,
3,ගල්මාළු (ලොකු),Rock fish (L),466.67,,630,700,0.1111111111111111,,0.49998928579081575, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,556,700,0.2589928057553957,,,
5,තලපත්,Sail fish,718.33,750,1158.33,1135.71,-0.019528113749967532,0.5142800000000001,0.5810421394066794,
6,බලයා,Skipjack tuna,380,410,358.57,357.14,-0.0039880636974649495,-0.12892682926829271,-0.06015789473684214,
7,කෙළවල්ලා,Yellowfin tuna,611.43,637.5,705,700,-0.0070921985815602835,0.09803921568627451,0.14485713818425666,
8,සාලයා (මට්ට),Sardinella,148,242,148.33,126,-0.1505427088249175,-0.4793388429752066,-0.14864864864864866,
9,මෝරා,Sharks,550,590,587.5,618.75,0.05319148936170213,0.048728813559322036,0.125,
10,හුරුල්ලා,Herrings,322.14,387.5,400,310,-0.225,-0.2,-0.03768547836344442,
11,කුම්බලා,Indian Mackerel,394.29,384,451.43,343.57,-0.23892962364043155,-0.10528645833333335,-0.12863628293895363,
12,කාරල්ලා,Pony fish,150,180,164,150,-0.08536585365853659,-0.16666666666666666,0.0,
13,කටුවල්ලා,Katuwalla,200,,216.67,150,-0.30770295841602435,,-0.25,
14,හාල්මැස්සා,Anchovy,250,295,380,270,-0.2894736842105263,-0.0847457627118644,0.08,
15,ඉස්සා (M),"Prawns (M) 3""",939.29,1020,950,941.67,-0.008768421052631621,-0.07679411764705886,0.002533828742986719,
16, කොප්පරා,Marlins,883,886.67,1290,1271.43,-0.014395348837209254,0.43393821827737505,0.43989807474518694,
17,අලගොඩුවා,Frigate tuna(L),236.67,,438.33,310,-0.2927702872265188,,0.30984070646892303,
18,ඇටවල්ලා,Atawalla,325,375,425,375,-0.11764705882352941,0,0.15384615384615385,
19,ඇටිස්සා,Red Bream(L),612.5,725,762.5,771.67,0.012026229508196668,0.06437241379310339,0.259869387755102,
20,බෝල්ලා,Big eye scade,258.57,380,391.67,295,-0.24681492072407898,-0.2236842105263158,0.1408902811617744,
21,ගින්නටි පරව්,Ginnati Paraw,532.14,533.33,538.33,490,-0.08977764568201668,-0.08124425777661118,-0.07918968692449353,
22,හබරලි,Needle fish,370.71,516,620,546.67,-0.11827419354838717,0.059437984496123954,0.47465673976963124,
23,හැඩැල්ලා,Indian Anchovies,645.83,770,850,700,-0.17647058823529413,-0.09090909090909091,0.08387656194354545,
24,ජීලාවා,Barracuda(L),515.83,,750,637.5,-0.15,,0.23587228350425518,
25,ලින්නා,Indian Scad(L),193.57,311.67,403.57,387.83,-0.03900190797135567,0.24436102287676056,1.003564601952782,
26,ලින්නා,Indian Scad(S),,,,343.33,,,,
27,ලේන පරව්,Rainbow Runner,340,355,482.5,418,-0.13367875647668392,0.17746478873239438,0.22941176470588234,
28,සුද්දා,Threadfin  Bream,313.57,450,457.14,481.43,0.05313470709191937,0.06984444444444446,0.5353190675128361,
29,සූඩයා,White Sardinella,113.57,139,183,93.33,-0.49,-0.3285611510791367,-0.17821607818966273,
30,දැල්ලා,Squids /Cuttle fish,840,775,962.5,1000,0.03896103896103896,0.2903225806451613,0.19047619047619047,
31,කකුළුවා(L),Sea Crabs(L),600,650,,1200,,0.8461538461538461,1.0,
32,තිලාපියා,Tilapia (M),340,406.67,,416.67,,0.024589962377357562,0.22550000000000003,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
