Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variety,,,2025,2026,,% Change   compared to:3rd. week of Mar. 2026,, 
Sinhala Name,,Common Name,3rd week of Mar.,2nd week of Mar.,3rd week of Mar.,Last week ,Last Year,
1,තෝරා,Seer (Ni-L),1571.4285714285713,1900,1714.2857142857142,-0.09774436090225568,0.09090909090909094,
2,පරව් (ලොකු),Trevally (L),1000,837.5,1014.2857142857143,0.21108742004264397,0.014285714285714334,  
3,ගල්මාළු (ලොකු),Rock fish (L),1021.4285714285714,1033.3333333333333,1142.857142857143,0.10599078341013836,0.1188811188811189, 
4,ගල්මාළු (පොඩි),Rock fish (S),783.3333333333334,733.3333333333334,860,0.17272727272727267,0.09787234042553186,
5,තලපත්,Sail fish,1492.857142857143,1557.142857142857,1435.7142857142858,-0.07798165137614672,-0.038277511961722466,
6,බලයා,Skipjack tuna,853.5714285714286,821.4285714285714,735.7142857142857,-0.1043478260869566,-0.1380753138075314, 
7,කෙළවල්ලා,Yellowfin tuna,1004.1666666666666,1207.142857142857,1100,-0.08875739644970412,0.09543568464730294, 
8,සාලයා (මට්ට),Sardinella,404.1666666666667,343.3333333333333,300,-0.12621359223300965,-0.2577319587628866,
9,මෝරා,Sharks,900,1010,1133.3333333333333,0.12211221122112204,0.2592592592592592,
10,හුරුල්ලා,Herrings,858.3333333333334,850,907.1428571428571,0.06722689075630248,0.056865464632454836,
11,කුම්බලා,Indian Mackerel,714.2857142857143,887.5,1025,0.15492957746478872,0.4349999999999999,
12,කාරල්ලා,Pony fish,212.5,211.42857142857142,246.42857142857142,0.16554054054054054,0.15966386554621842,
13,කටුවල්ලා,Katuwalla,400,650,410.7142857142857,-0.3681318681318681,0.026785714285714305,
14,හාල්මැස්සා,Anchovy,300,360,430,0.19444444444444445,0.43333333333333335,
15,ඉස්සා (M),"Prawns (M) 3""",1871.4285714285713,2050,2307.1428571428573,0.12543554006968652,0.2328244274809162,
16, කොප්පරා,Marlins,1492.857142857143,1733.3333333333333,1557.142857142857,-0.10164835164835163,0.04306220095693775,
17,අලගොඩුවා,Frigate tuna(L),825,725,720.8333333333334,-0.005747126436781557,-0.12626262626262622,
18,ඇටවල්ලා,Kawakawa,1007.1428571428571,900,925,0.027777777777777776,-0.08156028368794323,
19,ඇටිස්සා,Red Bream(L),1107.142857142857,1150,1141.6666666666667,-0.007246376811594137,0.03118279569892483,
20,බෝල්ලා,Big eye scade,715,880,950,0.07954545454545454,0.32867132867132864,
21,ගින්නටි පරව්,Ginnati Paraw,800,1175,1060,-0.09787234042553192,0.325,
22,හබරලි,Needle fish,785.7142857142857,1007.1428571428571,950,-0.05673758865248224,0.20909090909090916, 
23,හැඩැල්ලා,Indian Anchovies,1620,1866.6666666666667,1466.6666666666667,-0.21428571428571427,-0.09465020576131683,
24,ජීලාවා,Barracuda(L),1014.2857142857143,1050,1042.857142857143,-0.0068027210884353435,0.028169014084507026,
25,ලින්නා,Indian Scad(L),623.5714285714286,760.7142857142857,753.5714285714286,-0.009389671361502306,0.20847651775486828,
26,ලින්නා,Indian Scad(S),571.4285714285714,668.75,620.8333333333334,-0.07165109034267907,0.08645833333333337,
27,ලේන පරව්,Rainbow Runner,558.3333333333334,657.1428571428571,778.5714285714286,0.18478260869565222,0.39445628997867793,
28,සුද්දා,Threadfin  Bream,728.5714285714286,964.2857142857143,950,-0.014814814814814864,0.303921568627451,
29,සූඩයා,White Sardinella,255,270,258.3333333333333,-0.043209876543209944,0.013071895424836527, 
30,දැල්ලා,Squids /Cuttle fish(Peeli),1685,1778.5714285714287,1607.142857142857,-0.09638554216867477,-0.046206019499788066,
31,කකුළුවා(L),Sea Crabs(L),1850,2180,2191.6666666666665,0.005351681957186475,0.1846846846846846,
32,තිලාපියා,Tilapia (M),,500,0,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,
