--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:3rd week of Aug. 2024,, , ,, ,,,,,
Sinhala Name,,Common Name,3rd  week of July,2nd  week of July,3rd  week of July,Last week ,Last Year,, , , , ,,,,
1,තෝරා,Seer (L),2225,1764.29,1966.67,0.11470903309546623,-0.11610337078651682,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1220,914.29,995.83,0.08918395695020188,-0.18374590163934423,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1450,1066.67,1133.33,0.0624935547076414,-0.21839310344827592, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1300,787.5,770,-0.022222222222222223,-0.4076923076923077,, , , , , ,,,
5,තලපත්,Sail fish,1990,1435.71,1550,0.07960521275187883,-0.22110552763819097,,,,, ,,,,
6,බලයා,Skipjack tuna,729.17,689.29,725,0.05180693177037247,-0.0057188309996296606, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1435.71,1175,1316.67,0.1205702127659575,-0.08291368033934426, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,529.17,271.43,350,0.2894668975426445,-0.3385868435474422,,,,,,,,,
9,මෝරා,Sharks,1090,950,1100,0.15789473684210525,0.009174311926605505,,, ,, , ,,,
10,හුරුල්ලා,Herrings,503.75,560.71,640,0.14140999803820148,0.2704714640198511,,,,,,,,,
11,කුම්බලා,Indian Mackerel,1014.29,767.66,800,0.04212802542792386,-0.21127093829181,,,,,,,,,
12,කාරල්ලා,Pony fish,450,270,305,0.12962962962962962,-0.32222222222222224,,,,,,,,,
13,කටුවල්ලා,Katuwalla,650,475,460,-0.031578947368421054,-0.2923076923076923,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,537.5,454.17,583.33,0.2843869035823591,0.08526511627906984,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1457.14,1557.14,1566.67,0.00612019471595359,0.07516779444665575,,,,,,,,,
16, කොප්පරා,Marlins,2228.57,1921.43,1933.33,0.006193303945498854,-0.13247957210228992,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),662.5,570,533.33,-0.06433333333333326,-0.1949735849056603,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,865,678.57,681.25,0.003949481998909397,-0.21242774566473988,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1450,1244.29,1283,0.031110110986988595,-0.11517241379310345,,,,,,,,,
20,බෝල්ලා,Big eye scade,790,662.5,700,0.05660377358490566,-0.11392405063291139,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1240,1010,1100,0.0891089108910891,-0.11290322580645161,, ,,, ,,,,
22,හබරලි,Needle fish,1075,785.71,950,0.2090975041682045,-0.11627906976744186,,, ,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1375,1150,1216.67,0.05797391304347833,-0.11514909090909085,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1400,1108.33,1056,-0.047215179594525036,-0.24571428571428572,,, ,,,,,,
25,ලින්නා,Indian Scad(L),565.71,475,533.33,0.12280000000000009,-0.057237807357126434,,, ,,,,,,
26,ලින්නා,Indian Scad(S),527,385,400,0.03896103896103896,-0.2409867172675522,,,,  ,,,,,
27,ලේන පරව්,Rainbow Runner,760.71,528.57,550,0.04054335281987239,-0.2769912318754848,,, ,,,,,,
28,සුද්දා,Threadfin  Bream,1050,764.29,666.67,-0.12772638658100985,-0.3650761904761905,,, ,,,,,, 
29,සූඩයා,White Sardinella,462.5,218.57,265,0.21242622500800662,-0.42702702702702705,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1775,1528.57,1733.33,0.13395526537875269,-0.02347605633802821,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2150.33,2210,2058.33,-0.06862895927601813,-0.042784130807829494,,,, ,,,,,
32,තිලාපියා,Tilapia (M),550,510,,, ,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 3rd week of  Aug. 2024,, ,,,,,,,
Sinhala Name,,Common Name,Average of 3rd week of  Aug.,Average of 2nd week of  Aug.,Average of 3rd week of  Aug.,Last week ,Last Year,, ,, ,,,,
1,තෝරා,Seer,3925,3626.67,3826.67,0.055147008136941046,-0.02505222929936304,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2673,2170,2495,0.1497695852534562,-0.06659184436962215, , , ,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2373,2006.67,2090,0.04152650909217755,-0.11925832279814581,, ,,,,,,
4,තලපත්,Sail fish,3120,2836,2846.67,0.0037623413258110272,-0.08760576923076921,,, ,,,,,
5,බලයා,Skipjack tuna,1380,1190,1213.33,0.01960504201680666,-0.12077536231884063,,, ,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2596,2116,2388.33,0.12870037807183363,-0.07999614791987676,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,737,628,655,0.042993630573248405,-0.1112618724559023,,,, ,,, ,
8,මෝරා,Shark,1950,1710,1840,0.07602339181286549,-0.05641025641025641,,,,,,,,
9,හුරුල්ලා,Herrings,985,828,910,0.09903381642512077,-0.07614213197969544,,,,,,,,
10,කුම්බලා,Indian mackerel,1304,1107.5,1093.33,-0.01279458239277659,-0.16155674846625773,,,,,,,,
11,කාරල්ලා,Pony fish,,473.33,,,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,920,,820,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1860,1920,2036,0.06041666666666667,0.09462365591397849,,,,,,,,
15, කොප්පරා,Marlins,3880,3293.33,3390,0.02935326857618279,-0.12628865979381443,,,,,,,,
16,අලගොඩුවා,Frigate tuna,907,820,820,0,-0.09592061742006615,,,,,,,,
17,ඇටවල්ලා,Kawakawa,955,940,980,0.0425531914893617,0.02617801047120419,,,,,,,,
18,ඇටිස්සා,Red Bream(L),,1820,1826.67,0.003664835164835205,,,, ,,,,,
19,බෝල්ලා,Big eye scade,1107,1100,1140,0.03636363636363636,0.02981029810298103,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1873,1460,1593.33,0.09132191780821913,-0.14931660437800323,,,, ,,, ,
21,හබරලි,Needle fish,1350,1140,1270,0.11403508771929824,-0.05925925925925926,,, ,,,,,
22,හැඩැල්ලා,Indian Anchovy,1420,1416,1552,0.096045197740113,0.09295774647887324,,,,,,,,
23,ජීලාවා,Barracuda,2384,2244,2290,0.020499108734402853,-0.03942953020134228,,,,,,,,
24,ලින්නා,Indian Scade,892,733,831.67,0.13461118690313773,-0.06763452914798211,,,,,,,,
25,ලේන පරව්,Rainbow runner,1087,893.33,1006.67,0.12687360773734221,-0.07390064397424106,,,,,,,,
26,සුද්දා,Threadfin bream,1433,1113.33,1186.67,0.06587444872589453,-0.17189811584089318,,,,,,,,
27,සූඩයා,White Sardinella,600,370,410,0.10810810810810811,-0.31666666666666665,,,,,,,,
28,දැල්ලා,Cuttle fish,1973,2000,2005,0.0025,0.016218955904713634,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2880,2740,2720,-0.0072992700729927005,-0.05555555555555555,,,,,,,,
30,තිලාපියා,Thilapia (M),1100,980,1000,0.02040816326530612,-0.09090909090909091,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
