"","2012","","2013","","2014","","2015","","","2017",""
"Addministrative 
Fisheries","","","","","","","","","","",""
"","","Production","","Production","","Production","","Production","","","Production"
"","Ice","","Ice","","Ice","","Ice","","Ice","",""
"District
District","","","","","","","","","","",""
"","","Capacity","","Capacity","","Capacity","","Capacity","","","Capacity"
"","plants","","plants","","plants","","plants","","plants","",""
"","","(Mt/day)","","(Mt/day)","","(Mt/day)","","(Mt/day)","","","(Mt/day)"
"Colombo 
Colombo
1","3","40","3","40","3","40","2","15","-","","-"
"Gampaha                 Negombo
2","12","623","12","657","12","657","13","709","12","","689"
"Kalutara                Kalutara
3","6","220","5","230","5","230","8","368","6","","278"
"Matale             
Matale
5","1","27","-","-","-","-","-","-","1","","15"
"Galle
Galle
7","4","145","4","145","2","80","6","155","5","","120"
"Matara             
Matara
8","9","280","10","415","11","425","11","449","11","","452"
"Hambantota                Tangalle
9","11","188","11","193","12","190","15","245","14","","480"
"Jaffna
Jaffna
10","11","67","11","73","8","64","8","91","6","","130"
"Mannar
11 Mannar","6","62","7","65","7","67","4","50","4","","164"
"Mullaitivu
13 Mullaitivu","1","6","1","6","2","41","4","64","2","","47"
"Kilinochchi                 Kilinochchi
14","-","-","-","-","-","-","2","6","2","","11"
"Batticaloa               Batticaloa
15","5","84","4","74","3","104","6","204","4","","113"
"16
Ampara                        Kalmunai","2","20","2","20","4","111","4","121","3","","32"
"Trincomalee          Trincomalee
17","4","313","4","326","4","313","6","963","6","","316"
"Kurunegala                
18","-","-","1","23","1","20","-","-","1","","1"
"Puttalam","6","170","6","150","6","150","5","50","8","","230"
"19
Puttalam","","","","","","","","","","",""
"Chilaw","6","140","7","249","8","281","8","281","5","","215"
"Anuradhapura                
20","1","10","1","10","1","10","1","10","2","","13"
"Polonnaruwa            
21","-","-","1","5","1","5","1","2","1","","2"
"22 Monaragala","-","-","-","-","-","-","-","-","1","","2"
"Total
Total","88","2,395","90","2,681","90","2,788","104","3,781","94","","3,310"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","",""
