"Source of Production","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Freshwater prawns (Macrobrachium","","","","","","","","","",""
"rosenbergii)","","","","","","","","","",""
"Aquaculture Centres","","","","","","","","","",""
"Pambala","0.37","1.12","1.77","2.51","2.43","2.36","1.53","1.78","2.40","2.73"
"Kahandamodara","3.83","7.64","11.27","9.69","14.32","17.94","9.08","19.94","24.84","38.63"
"Sub-Total","4.20","8.76","13.04","12.20","16.75","20.30","10.61","21.72","27.24","41.36"
"Other","","","","","","","","","",""
"Private hatcheries","","","","","","","","2.00","12.60","19.04"
"Total","4.20","8.76","13.04","12.20","16.75","20.30","10.61","23.72","39.84","60.40"
"Shrimps (Penaeus monodon)","","","","","","","","","",""
"Puttalam (Private)","355.00","202.00","296.00","282.65","270.90","354.00","330.00","463.00","532.91","461.31"
"Pudukudirippu, Batticaloa","","","","","","","","","",""
"","-","-","-","9.00","30.40","35.00","20.45","20.98","21.37","17.13"
"(Public Private Partnership)","","","","","","","","","",""
"Total","355.00","202.00","296.00","291.65","301.30","389.00","350.45","483.98","554.28","478.44"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","",""
