Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 1st  week of Feb. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,1st week of Feb.,4th week of  Jan.,1st week of Feb.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1200,1720,1900,0.10465116279069768,0.5833333333333334,,,,,,
2,පරව් (ලොකු),Trevally (L),750,1183.33,1250,0.056341003777475494,0.6666666666666666,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),737.5,1314.29,1800,0.3695607514323323,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),550,960,1116.67,0.16319791666666675,,, ,,, , 
5,තලපත්,Sail fish,1075,1492.86,1466.67,-0.017543507093766213,0.3643441860465117,,,,,,
6,බලයා,Skipjack tuna,466.43,621.43,637.5,0.025859710667331882,0.3667645734622558,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,762.5,1214.29,1216.67,0.001959993082377446,0.595632786885246, ,,,,,
8,සාලයා (මට්ට),Sardinella,237.5,392.86,422.5,0.07544672402382524,0.7789473684210526,,,,,,
9,මෝරා,Sharks,700,1040,1020,-0.019230769230769232,0.45714285714285713,,,,,,
10,හුරුල්ලා,Herrings,511,804.17,729.12,-0.09332603802678532,0.42684931506849316,,,,,,
11,කුම්බලා,Indian Mackerel,458.33,878.57,925,0.052847240402016854,1.0181964959745162,,,,,,
12,කාරල්ලා,Pony fish,200,342.86,308.33,-0.10071166073616061,,,,,,,
13,කටුවල්ලා,Katuwalla,357.5,475,533.33,0.12280000000000009,,,, ,,,
14,හාල්මැස්සා,Anchovy,341.67,464.29,525,0.1307587929957569,0.5365703749231714,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",939.29,1435.71,1545.83,0.07670072646983019,0.6457430612483898,,,,,,
16, කොප්පරා,Marlins,1185,1721.43,1700,-0.012448952324520928,0.4345991561181435,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),408.33,745,887.5,0.1912751677852349,1.173487130507188,,,,,,
18,ඇටවල්ලා,Kawakawa,561,945,1020,0.07936507936507936,0.8181818181818182,,, ,,,
19,ඇටිස්සා,Red Bream(L),825,1314.29,1375,0.04619224067747608,0.6666666666666666,,,,,,
20,බෝල්ලා,Big eye scade,447.58,960,937.5,-0.0234375,1.0945976138343985,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,608.33,1066.62,1333.33,0.25005156475595813,1.1917873522594642,, ,,, ,
22,හබරලි,Needle fish,730,964.29,1020,0.0577730765641042,0.3972602739726027,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1016.67,1442.86,1466.67,0.01650194752089612,0.44262149960164077,, , ,,,
24,ජීලාවා,Barracuda(L),655,1283.33,1266.5,-0.013114319777453911,0.933587786259542,,, ,,,
25,ලින්නා,Indian Scad(L),475.83,747.14,856.25,0.1460368873303531,0.7994872118193473,,,,,,
26,ලින්නා,Indian Scad(S),406,650,806.25,0.2403846153846154,0.9858374384236454,,,,,,
27,ලේන පරව්,Rainbow Runner,487.5,715,783.33,0.09556643356643363,0.6068307692307693,,,,,,
28,සුද්දා,Threadfin  Bream,558.33,1116.62,1260,0.12840536619440823,1.2567298909247218,,,,,,
29,සූඩයා,White Sardinella,130.71,305,325.83,0.06829508196721307,1.4927702547624508,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1083.33,1454.14,1750,0.20346046460450842,0.6153895858141103,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1116.67,2060,2175,0.055825242718446605,0.9477553798346869,,,, ,,
32,තිලාපියා,Tilapia (M),,450,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
