Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2020,2021,2022,,"% Change 2nd week of Mar. 2022, compared to:",,, ,
Sinhala Name,,Common Name,2nd  week of Mar.,2nd  week of Mar.,1st  week of Mar.,2nd  week of Mar.,Last week ,Last Year,2020.0,,
1,තෝරා,Seer (Nl),1204.17,850,1400,1466.67,0.04762142857142862,,0.21799247614539474,,
2,පරව් (ලොකු),Trevally (L),510,473.33,995,960,-0.035175879396984924,1.0281832970654723,0.8823529411764706,, 
3,ගල්මාළු (ලොකු),Rock fish (L),450,,1200,891.67,-0.2569416666666667,,, ,
4,ගල්මාළු (පොඩි),Rock fish (S),,,737.5,675,-0.0847457627118644,,,,
5,තලපත්,Sail fish,664,733.33,1191.67,1370.83,0.15034363540241832,0.8693221332824238,1.0645030120481926,,
6,බලයා,Skipjack tuna,309.17,378.33,593.57,585,-0.014438061222770776,0.5462691301244945,0.8921628877316685,,
7,කෙළවල්ලා,Yellowfin tuna,556,592.5,837.5,983.33,0.1741253731343284,0.6596286919831225,0.7685791366906476,,
8,සාලයා (මට්ට),Sardinella,195,150.83,260,247.14,-0.049461538461538515,0.6385334482529998,0.26738461538461533,,
9,මෝරා,Sharks,700,650,900,687.5,-0.2361111111111111,0.057692307692307696,-0.017857142857142856,,
10,හුරුල්ලා,Herrings,434,445.83,670.83,640,-0.04595799233785018,0.4355247515869278,0.47465437788018433,,
11,කුම්බලා,Indian Mackerel,566.67,391.67,690,635,-0.07971014492753623,0.6212627977634232,0.12058164363739045,,
12,කාරල්ලා,Pony fish,140,100,200,253.33,0.26665000000000005,1.5333,0.8095000000000001,,
13,කටුවල්ලා,Katuwalla,307,293.33,480,400,-0.16666666666666666,0.36365185968022373,0.30293159609120524,,
14,හාල්මැස්සා,Anchovy,350,180,362.5,325,-0.10344827586206896,0.8055555555555556,-0.07142857142857142,,
15,ඉස්සා (M),"Prawns (M) 3""",1040,816.25,1075,1054.17,-0.019376744186046443,0.2914793261868301,0.01362500000000007,,
16, කොප්පරා,Marlins,862.5,849.17,1385,1466,0.05848375451263538,0.7263916530258959,0.6997101449275362,,
17,අලගොඩුවා,Frigate tuna(L),395,350,533.33,461.67,-0.1343633397708736,0.31905714285714293,0.1687848101265823,,
18,ඇටවල්ලා,Atawalla,470,411.67,680,587.5,-0.13602941176470587,0.42711395049432793,0.25,,
19,ඇටිස්සා,Red Bream(L),680,568.75,980,861,-0.12142857142857143,0.5138461538461538,0.2661764705882353,,
20,බෝල්ලා,Big eye scade,532,386.67,635,617.86,-0.026992125984251946,0.5979000181032922,0.16139097744360906,,
21,ගින්නටි පරව්,Ginnati Paraw,625,458.33,750,780,0.04,0.7018305587677002,0.248,,
22,හබරලි,Needle fish,523,430,735,662.5,-0.09863945578231292,0.5406976744186046,0.26673040152963673,,
23,හැඩැල්ලා,Indian Anchovies,1000,830,1200,1200,0,0.4457831325301205,0.2,,
24,ජීලාවා,Barracuda(L),593.75,516.67,893.75,850,-0.04895104895104895,0.6451506764472489,,,
25,ලින්නා,Indian Scad(L),351.67,260,592.86,551.43,-0.069881590932092,1.1208846153846153,0.568032530497341,,
26,ලින්නා,Indian Scad(S),,,500,447.5,-0.105,,,, 
27,ලේන පරව්,Rainbow Runner,407.5,350,560,450,-0.19642857142857142,0.2857142857142857,0.10429447852760736,,
28,සුද්දා,Threadfin  Bream,525,430,925,762.5,-0.17567567567567569,0.7732558139534884,,,
29,සූඩයා,White Sardinella,145,78,172.14,168.57,-0.020738933426280897,1.161153846153846,0.16255172413793098,,
30,දැල්ලා,Squids /Cuttle fish,655,633.33,1237.5,1207.14,-0.02453333333333325,0.9060205580029369,0.8429618320610689,,
31,කකුළුවා(L),Sea Crabs(L),485,616.67,1550,1650,0.06451612903225806,1.6756612126420938,2.402061855670103,,
32,තිලාපියා,Tilapia (M),366,380,,537.5,,0.4144736842105263,0.4685792349726776,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
