Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 3rd week October 2019, compared to:",
Sinhala Name,,Common Name,3rd week October,2nd week October,3rd week October,Last week ,Last Year
1,තෝරා,Seer,1306.67,1473.33,1302.5,-0.11594822612720838,-0.00319131838949396
2,පරව් (ලොකු),Trevally (L),940,986.67,885,-0.10304357079874726,-0.05851063829787234
3,ගල්මාළු (ලොකු),Rock Fish (L),620,660,618.33,-0.06313636363636357,-0.002693548387096708
4,තලපත්,Sail fish,1135,1150,1208.33,0.05072173913043472,0.06460792951541844
5,බලයා,Skipjack tuna,650,713.33,640,-0.1027995457922701,-0.015384615384615385
6,කෙළවල්ලා,Yellowfin tuna,912,1088,866.67,-0.20342830882352944,-0.0497039473684211
7,සාලයා (මට්ට),Sardinella,173.33,210,233.33,0.11109523809523815,0.3461605030865978
8,මෝරා,Shark,625,826.67,745,-0.09879395647598191,0.192
9,හුරුල්ලා,Herrings,243.33,462.5,510,0.10270270270270271,1.0959191221797557
10,කුම්බලා,Indian mackerel,376,433.33,500,0.1538550296540743,0.32978723404255317
11,කාරල්ලා,Pony fish,150,360,­,­,­
12,කටුවල්ලා,Katuwalla,­,­,180,­,­
13,හාල්මැස්සා,Anchovies,540,390,360,-0.07692307692307693,-0.3333333333333333
14,ඉස්සා (M),Prawns (M),953.33,1310.8,1293.33,-0.01332773878547454,0.3566446036524602
15, කොප්පරා,Marlins,850,960,960,0,0.12941176470588237
16,අලගොඩුවා,Frigate tuna,­,360,490,0.3611111111111111,
17,ඇටවල්ලා,Kawakawa,340,386.67,460,0.189644916854165,0.35294117647058826
18,ඇටිස්සා,Red Bream,600,­,­,­,­
19,බෝල්ලා,Big eye scade,293.33,386.67,356,-0.07931828173895056,0.21365015511539912
20,ගින්නටි පරව්,Ginnati paraw,680,800,600,-0.25,-0.11764705882352941
21,හබරලි,Needle fish,395,475,466,-0.018947368421052633,0.17974683544303796
22,හැඩැල්ලා,Indian Anchovy,783.33,720,1200,0.6666666666666666,0.5319214124315422
23,ජීලාවා,Barracuda,740,587.5,640,0.08936170212765958,-0.13513513513513514
24,ලින්නා,Indian Scade,310,352,359.4,0.021022727272727207,0.15935483870967734
25,ලේන පරව්,Rainbow runner,400,480,410,-0.14583333333333334,0.025
26,සුද්දා,Threadfin bream,452,546.67,500,-0.08537143066200809,0.10619469026548672
27,සූඩයා,White Sardinella,130,150,130,-0.13333333333333333,0
28,දැල්ලා,Cuttle fish,780,870,960,0.10344827586206896,0.23076923076923078
29,කකුළුවා,Sea Crabs,1200,1256.67,1216.67,-0.03183015429667295,0.013891666666666727
30,තිලාපියා,Thilapia (M),­,420,450,0.07142857142857142,­
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,
