Table 10: Summary of Monthly Import and Export of Fish and Fishery Products,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Year/ Month,Exports,,,Imports,,,Exchange Rate
,Quantity (MT),Value (Rs.Mn.),Value (USD Mn.),Quantity (MT),Value (Rs.Mn.),Value   (USD Mn.),Rs./ 1 USD
2015,17461.13598,24716.07136344,181.8189893385331,120045.58436999998,30728.64099174,226.04929265292333,135.93778874999992
2016,17593.035884,26801.6475606,184.0751807616303,115692.89916000002,35172.2698263,241.56507212603867,145.60163651452294
2017,24826.783906,39229.67282682,257.31539917775194,106020.06460999999,33969.45690936,222.8125736115642,152.45754024896263
2018,27998.030129399995,47948.85406532,294.9972564619171,84463.0947,32726.384586309996,201.34357442051186,162.54
2019,28770.772865,53482.916579,299.1589359013657,95636.93507099993,38952.404584,217.88190793477483,178.7776
Jan,2879.7360300000005,5664.550847,31.102076817614176,8248.68825,3388.8589,18.607044526341678,182.12773636363636
Feb,2898.938835,5067.879858,28.354462383708096,6462.61417,2682.577594,15.008849383116367,178.7330611111111
Mar,3256.6841900000004,5559.379522,31.157244103193314,7372.38561,3066.729642,17.187321656341606,178.42975789473684
Apr,2657.32816,4458.595468,25.50666614760077,7043.207370000001,2823.714047,16.15386101072484,174.80118500000003
May,2071.81056,3795.1456,21.508982175555136,12074.87325,4580.030481,25.9573160985782,176.44468571428573
Jun,2136.92864,4260.716004,24.127886254017806,6973.090190000002,2692.571877,15.247687928046007,176.58886315789474
Jul,2157.28027,4089.926586,23.239516858353507,9251.37744,3691.808459,20.97735573406759,175.99017272727272
Aug,1997.1032500000003,4092.596601,22.995928150784998,7462.341020999999,3235.689467,18.181044885587493,177.97049
Sep,1595.24917,3328.990927,18.415088437472445,6136.45627,2681.403425,14.832807385394391,180.77517999999998
Oct,2248.6022599999997,4183.014116,23.053117974182914,8209.40414,3504.557721,19.314059276185958,181.45112173913046
Nov,2139.57571,3945.237942,21.8726712059558,9090.596849999902,3712.074308,20.57999594057435,180.37293684210528
Dec,2731.5357899999995,5036.883108,27.78910042823352,7311.90051,2892.388663,15.957662171260196,181.25391
