Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2022,2023,2023,"% Change 2nd week of March. 2023, compared to:",,,
Sinhala Name,,Common Name,Average of 2nd  week of March,Average of 1st  week of March,Average of 2nd  week of March,Last week ,Last Year,,
1,තෝරා,Seer,2240,3325,3313.33,-0.0035097744360902475,0.47916517857142854,,
2,පරව් (ලොකු),Trevally (L),1720,2350,2348,-0.000851063829787234,0.36511627906976746,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1360,2125,2165,0.018823529411764704,0.5919117647058824,,
4,තලපත්,Sail fish,1903.33,2320,2397,0.03318965517241379,0.2593717327000573,,
5,බලයා,Skipjack tuna,1033.33,1420,1428,0.005633802816901409,0.38193994174174767,,
6,කෙළවල්ලා,Yellowfin tuna,1596.67,1975,2104.45,0.06554430379746826,0.3180243882580619,,
7,සාලයා (මට්ට),Sardinella,384,685,715,0.043795620437956206,0.8619791666666666,,
8,මෝරා,Shark,1290,1997,2020,0.011517275913870806,,,
9,හුරුල්ලා,Herrings,800,1062.5,1126,0.05976470588235294,0.4075,,
10,කුම්බලා,Indian mackerel,840,1127,1134,0.006211180124223602,0.35,,
11,කාරල්ලා,Pony fish,,520,530,0.019230769230769232,,,
12,කටුවල්ලා,Katuwalla,560,887.5,910,0.02535211267605634,,,
13,හාල්මැස්සා,Anchovies,573.33,720,710,-0.013888888888888888,,,
14,ඉස්සා (M),Prawns (M),1366.67,1908,2024,0.06079664570230608,0.480971997629274,,
15, කොප්පරා,Marlins,2180,,2780,, ,, 
16,අලගොඩුවා,Frigate tuna,586.66,890,970,0.0898876404494382,0.6534278798622712,,
17,ඇටවල්ලා,Kawakawa,760,1080,1120,0.037037037037037035,0.47368421052631576,,
18,ඇටිස්සා,Red Bream(L),1100,1830,1900,0.03825136612021858,,,
19,බෝල්ලා,Big eye scade,706.67,1035,1083.33,0.04669565217391297,0.5330069197786803,,
20,ගින්නටි පරව්,Ginnati paraw,,1360,1393.33,0.024507352941176418,,,
21,හබරලි,Needle fish,,1120,,,,,
22,හැඩැල්ලා,Indian Anchovy,1370,1660,1690,0.018072289156626505,0.23357664233576642,,
23,ජීලාවා,Barracuda,,1875,2033,0.08426666666666667,,,
24,ලින්නා,Indian Scade,665,905,1024,0.13149171270718232,0.5398496240601504,,
25,ලේන පරව්,Rainbow runner,760,1080,1150,0.06481481481481481,0.5131578947368421,,
26,සුද්දා,Threadfin bream,995,1290,1365,0.05813953488372093,0.37185929648241206,,
27,සූඩයා,White Sardinella,,460,520,0.13043478260869565,,,
28,දැල්ලා,Cuttle fish,1380,2067,2040,-0.013062409288824383,0.4782608695652174,,
29,කකුළුවා,Sea Crabs(L),2226.67,,2210,,,,
30,තිලාපියා,Thilapia (M),700,1100,1120,0.01818181818181818,0.6,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,, ,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
