Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 1st week of Apr. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,1st week of Apr.,4th week of Mar.,1st week of Apr.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1091.67,1514.29,1333.33,-0.1195015485805229,0.2213672630007235,,,,,,
2,පරව් (ලොකු),Trevally (L),729.17,966.67,975,0.008617211664787405,0.3371367445177394,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),793.75,864.29,1150,0.3305719145194322,0.44881889763779526, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),575,700,900,0.2857142857142857,0.5652173913043478,, ,,, , 
5,තලපත්,Sail fish,1216.67,1328.57,1266.67,-0.046591447947793393,0.041095777819786794,,,,,,
6,බලයා,Skipjack tuna,481,636.43,704.17,0.10643747152082714,0.46397089397089386,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,856.25,957.14,915,-0.044026997095513706,0.06861313868613139, ,,,,,
8,සාලයා (මට්ට),Sardinella,201.67,307.14,437,0.4228039330598425,1.1669063321267419,,,,,,
9,මෝරා,Sharks,625,766.67,900,0.17390793953069775,0.44,,,,,,
10,හුරුල්ලා,Herrings,451.67,571.43,685,0.19874700313249227,0.5165939734762105,,,,,,
11,කුම්බලා,Indian Mackerel,581.25,614.29,725,0.18022432401634414,0.24731182795698925,,,,,,
12,කාරල්ලා,Pony fish,191.27,275,341.67,0.2424363636363637,0.7863229989020756,,,,,,
13,කටුවල්ලා,Katuwalla,325,350,437.5,0.25,0.34615384615384615,,, ,,,
14,හාල්මැස්සා,Anchovy,316.67,395.83,543.75,0.3736957784907663,0.7170871885559098,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",983.33,1371.43,1325,-0.033855173067528097,0.34746219478710094,,,,,,
16, කොප්පරා,Marlins,1380,1585.21,1458.33,-0.08003986853476833,0.05676086956521734,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),338.75,550,616.67,0.12121818181818174,0.8204280442804427,,,,,,
18,ඇටවල්ලා,Kawakawa,460.83,595.83,770.83,0.2937079368276186,0.6726992600308142,,, ,,,
19,ඇටිස්සා,Red Bream(L),868.75,953.57,1190,0.24794194448231377,0.3697841726618705,,,,,,
20,බෝල්ලා,Big eye scade,462.5,607.14,690,0.1364759363573476,0.4918918918918919,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,640,850,950,0.11764705882352941,0.484375,, ,,, ,
22,හබරලි,Needle fish,590,764.29,885,0.15793743212654887,0.5,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1100,1057.14,1020,-0.03513252738520924,-0.07272727272727272,, , ,,,
24,ජීලාවා,Barracuda(L),658.33,950,941.67,-0.008768421052631621,0.4303920526179878,,, ,,,
25,ලින්නා,Indian Scad(L),402.5,678.57,770.83,0.13596239149977155,0.9151055900621119,,,,,,
26,ලින්නා,Indian Scad(S),325,510.71,533.33,0.04429128076599256,0.6410153846153848,,,,,,
27,ලේන පරව්,Rainbow Runner,401,660.71,670,0.014060631744638287,0.6708229426433915,,,,,,
28,සුද්දා,Threadfin  Bream,543.75,735.71,940,0.27767734569327585,0.728735632183908,,, ,,,
29,සූඩයා,White Sardinella,118,208.33,310,0.488023808380934,1.6271186440677967,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1081.25,1471.43,1471.43,0,0.3608601156069365,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1712.5,1771.43,1730,-0.02338788436460942,0.010218978102189781,,,, ,,
32,තිලාපියා,Tilapia (M),300,,350,,0.16666666666666666,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
