Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:1st week of June 2025,, ,,,,,,
Sinhala Name,,Common Name,1st week of June,4th week of May,1st week of June,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,4160,4245,4200,-0.01060070671378092,0.009615384615384616,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),3193.33,2995,2993.33,-0.000557595993322228,-0.06263054554336696, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2280,2395,2340,-0.022964509394572025,0.02631578947368421,, ,, , ,,
4,තලපත්,Sail fish,3296.67,3068,3163.33,0.03107235984354626,-0.04044687518010603,,, ,, ,,
5,බලයා,Skipjack tuna,1970,2050,2100,0.024390243902439025,0.06598984771573604,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2880,2895,2896.67,0.0005768566493955347,0.00578819444444447,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,848,815,980,0.20245398773006135,0.15566037735849056,,, , ,, ,
8,මෝරා,Shark,1970,2060,2040,-0.009708737864077669,0.03553299492385787,,,,,,,
9,හුරුල්ලා,Herrings,1290,1660,1720,0.03614457831325301,0.3333333333333333,, ,,,,,
10,කුම්බලා,Indian mackerel,1540,1620,1610,-0.006172839506172839,0.045454545454545456,,,,,,,
11,කාරල්ලා,Pony fish,,,660,,,,, ,,,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,,,700,,,,,, ,,,
14,ඉස්සා (M),Prawns (M),1980,2216.67,2180,-0.016542832266417676,0.10101010101010101,, , ,,,,
15, කොප්පරා,Marlins,3980,3493.33,3540,0.01335974557227633,-0.11055276381909548,,,,,,,
16,අලගොඩුවා,Frigate tuna,1280,1350,1410,0.044444444444444446,0.1015625,,, ,,,,
17,ඇටවල්ලා,Kawakawa,1440,1422.5,1520,0.06854130052724078,0.05555555555555555,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1850,1890,1900,0.005291005291005291,0.02702702702702703,,,,, ,,
19,බෝල්ලා,Big eye scade,1460,1430,,,,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1840,1740,1830,0.05172413793103448,-0.005434782608695652,,, ,,, ,
21,හබරලි,Needle fish,1520,1402.5,1420,0.012477718360071301,-0.06578947368421052,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1700,2000,2105,0.0525,0.23823529411764705,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2890,2633.33,2790,0.059495012019002584,-0.03460207612456748,,,,,,,
24,ලින්නා,Indian Scade,1324,1272,1350,0.06132075471698113,0.019637462235649546,,, ,,,,
25,ලේන පරව්,Rainbow runner,1580,,,,,,,,,,,
26,සුද්දා,Threadfin bream,1690,,,,,,,,,,,
27,සූඩයා,White Sardinella,590,505,690,0.36633663366336633,0.1694915254237288,,,,, ,,
28,දැල්ලා,Cuttle fish,2150,2200,2206.67,0.003031818181818215,0.026358139534883755,,,,,,,
29,කකුළුවා,Sea Crabs(L),2715,2720,3060,0.125,,,,,,,,
30,තිලාපියා,Thilapia (M),1070,1060,1100,0.03773584905660377,0.028037383177570093,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
