"Table 4.5: Marine Sector Fish Catch by Major Commercial Groups (Mt)","","","","","","","","","","","","",""
"","Commercial Groups","","1983","1990","1995","2000","2005","2010","2015","2018","2019","2020","2021"
"1","Thora","Seer","3,510","3,210","2,990","3,130","2,970","10,200","8,940","7,670","7,740","7,360","4,880"
"2","Paraw","Travelly","11,590","8,040","8,910","10,450","5,950","16,740","34,050","22,290","21,070","13,610","12,910"
"3","Balaya","Skipjack tuna","13,570","12,230","33,550","49,110","28,040","66,910","54,040","55,000","47,230","46,520","48,770"
"4","Kelawalla","Yellowfin tuna","9,280","8,410","26,050","29,320","17,030","45,450","46,430","41,690","44,760","37,930","31,190"
"","Tuna like fishes","","","","","","","48,930","46,930","51,900","44,710","39,680","38,790"
"5","","Other blood fish","16,320","9,190","17,640","27,890","16,560","","","","","",""
"6","Thalapath","All Bill fishes","***","***","***","***","***","***","26,040","32,680","32,200","14,950","12,150"
"7","Mora / Maduwa","Shrks/Sketes","19,160","14,830","22,120","28,790","6,430","13,290","5,860","13,500","14,240","10,290","8,730"
"8","Gal Ma'lu","Rock fish","7,920","6,780","10,450","14,910","10,570","20,150","34,960","29,060","27,950","18,060","16,320"
"9","Shore seine varieties Small fishes","","81,780","67,920","60,610","76,250","24,870","77,210","136,790","132,160","119,500","96,470","115,040"
"10","Issa","Shrimps","4,460","4,470","8,000","7,540","4,680","17,640","20,090","16,970","16,930","12,770","11,340"
"11","Pokirissa","Lobsters","610","630","950","1,150","240","890","630","570","470","155","250"
"12","Kakuluwa","Crabs","**","**","**","**","**","6,260","9,670","12,830","13,600","8,100","8,330"
"","","Other marine","","","","","","","","","","",""
"13 Others","","","16,540","10,080","26,230","15,140","13,060","8,590","28,460","23,050","25,090","21,035","22,975"
"","","varieties","","","","","","","","","","",""
"","Total","","184,740","145,790","217,500","263,680","130,400","332,260","452,890","439,370","415,490","326,930","331,675"
