"","Table 2.4.1 :  Production of Fishing Boats  - Cey-Nor 2010- 2021","","","","","","",""
"Boat Type","2010","2015","2016","2017","2018","2019","2020","2021"
"Production of Boats","","","","","","","",""
"Multiday boats","1","-","-","3","2","1","1","1"
"Single day boats","9","-","7","22","20","1","-","11"
"OFRP boats","8","2","-","","","","",""
"Oru / Outtriggers / Oars","382","711","2,384","1,443","812","750","144","641"
"Wallam/ Theppam","32","-","-","32","1","","1","15"
"Leisure Boats / Ferries","4","1","-","1","","1","-","-"
"Paddle Boats","-","-","12","12","1","6","7","-"
"Passenger boats","1","1","2","-","4","1","1","-"
"Ferries/ Theppam/ Piers","-","12","106","59","1","3","2","1"
"Total Boats","437","727","2,511","1,572","841","763","156","669"
"Other Products","","","","","","","",""
"Floating  Restaurent / House","-","-","-","-","","","",""
