"Fisheries District","Thora (Seer)","Paraw 
(Trevally)","Balaya 
(Skipjack tuna)","Kelawalla 
(Yellowfin tuna)","Tuna like fishes 
(other blood 
fishes)","Thalapath 
(Billfish)","Mora/Maduwa 
(Sharks/Skates)","Gal Ma'lu       
(Rock fish)","Shore Seine 
(Small fish)","Issa (Shrimps)","Pokirissa 
(Lobster)","Kakuluwa 
(Crabs)","Other fish","Total"
"1 Negombo","240","340","2,310","9,980","260","3,540","630","390","4,520","380","5","30","1,405","24,030"
"2 Colombo","60","140","20","10","300","10","20","250","550","30","5","10","55","1,460"
"3 Kalutara","150","580","14,630","4,030","9,090","2,430","1,390","150","9,690","10","10","10","130","42,300"
"4 Galle","560","970","7,020","6,500","6,550","390","160","210","17,660","40","5","40","355","40,460"
"5 Matàra","150","180","7,710","4,780","4,310","1,850","190","170","3,810","10","5","10","1,085","24,260"
"6 Tangalla","350","580","10,450","6,460","9,070","460","940","2,600","14,270","20","60","20","820","46,100"
"7 Kalmunai","1,950","510","680","360","610","200","310","600","3,020","130","15","10","515","8,910"
"8 Batticaloa","740","920","1,350","920","890","1,500","140","930","1,960","1,460","-","240","1,550","12,600"
"9 Trincomalee","540","980","970","2,780","4,520","960","110","2,330","5,580","290","5","220","1,525","20,810"
"10 Mullaithivu","700","980","360","70","1,080","770","420","630","1,860","210","-","100","650","7,830"
"11 Kilinochchi","10","370","10","10","20","-","710","550","2,560","520","-","1,160","990","6,910"
"12 Jaffna","760","2,720","90","410","690","1,990","2,230","4,540","6,890","5,170","-","2,260","4,700","32,450"
"13 Mannar","470","1,900","10","10","140","260","1,940","1,390","6,830","1,400","5","2,030","2,935","19,320"
"14 Puttalam","640","1,930","570","1,160","1,650","330","990","1,690","9,230","1,990","35","1,910","3,995","26,120"
"15 Chilaw","40","510","340","450","500","260","110","1,630","8,040","1,110","5","50","325","13,370"
"Total","7,360","13,610","46,520","37,930","39,680","14,950","10,290","18,060","96,470","12,770","155","8,100","21,035","326,930"
