"","National Indicators -Sri lanka","","",""
"","Indicator","Unit","Year","Value"
"1.  Demographic","","","",""
"","","'000","",""
"1.1 Population","","","2021","22,156"
"","","Persons","",""
"1.2 Population Growth Rate","","%","2021","1.08"
"","","Persons","",""
"1.3 Population Density","","","2021","353"
"","","/Sq.km","",""
"","","No.of","",""
"1.4 Average Household Size","","","2019","3.7"
"","","persons","",""
"2.  Labour force","","","",""
"","","'000","",""
"2.1 Labour Force(1)","","","2021","17,134"
"","","Persons","",""
