--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,,2024,% Change   compared to:1st week of Jan.2024,, ,,,,,,,,
Sinhala Name,,Common Name,1st week of Jan.,4th  week of Dec,1st week of Jan.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),1887.5,2391.67,2528.57,0.057240338340991896,0.3396397350993378,, ,,,,, , ,
2,පරව් (ලොකු),Trevally (L),1250,1340,1328.57,-0.008529850746268703,0.06285599999999995,  , , ,, ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1300,1225,1225,0,-0.057692307692307696, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),825,950,1091.67,0.14912631578947377,0.3232363636363637,, ,, , , ,,,
5,තලපත්,Sail fish,1533.33,1725,1933.33,0.12077101449275358,0.2608701323263746,,,,, ,,,,
6,බලයා,Skipjack tuna,712.5,883.33,950,0.07547575651228867,0.3333333333333333,,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1100,1320,1405,0.06439393939393939,0.2772727272727273, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,403,383.33,460.71,0.20186262489239037,0.1432009925558312,,,,,,,,,
9,මෝරා,Sharks,875,1000,1000,0,0.14285714285714285,,, ,, , ,,,
10,හුරුල්ලා,Herrings,643.33,720.83,716.67,-0.005771124953179088,0.1140005906766355,,,,,,,,,
11,කුම්බලා,Indian Mackerel,650,770.83,891.67,0.1567660833127926,0.37179999999999996,,,,,,,,,
12,කාරල්ලා,Pony fish,300,329.17,365,0.10884953063766438,0.21666666666666667,,,,,,,,,
13,කටුවල්ලා,Katuwalla,562.5,525,625,0.19047619047619047,0.1111111111111111,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,353.75,450,475,0.05555555555555555,0.34275618374558303,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1590,1391.67,1500,0.0778417297204078,-0.05660377358490566,,,,,,,,,
16, කොප්පරා,Marlins,2033.33,2033.33,2383.33,0.17213142972365528,0.17213142972365528,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),762.5,743.75,850,0.14285714285714285,0.11475409836065574,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,725,912.5,1033.33,0.13241643835616432,0.42528275862068954,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1090,1333.33,1400,0.05000262500656257,0.28440366972477066,,,,,,,,,
20,බෝල්ලා,Big eye scade,605,775,767.86,-0.009212903225806434,0.2691900826446281,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,775,1120,1140,0.017857142857142856,0.47096774193548385,, ,,, ,,,,
22,හබරලි,Needle fish,804.17,1066.67,1020,-0.043752988271911715,0.268388524814405,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1250,1400,1316.67,-0.05952142857142852,0.05333600000000006,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1025,1320,1371.43,0.03896212121212126,0.3379804878048781,,, ,,,,,,
25,ලින්නා,Indian Scad(L),715,733.33,821.43,0.12013690971322584,0.1488531468531468,,, ,,,,,,
26,ලින්නා,Indian Scad(S),620,637.5,712.5,0.11764705882352941,0.14919354838709678,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,690,731.67,808.33,0.10477401014118398,0.17149275362318847,,,,,,,,,
28,සුද්දා,Threadfin  Bream,700,1100,1180,0.07272727272727272,0.6857142857142857,,, ,,,,,, 
29,සූඩයා,White Sardinella,235,290,312.5,0.07758620689655173,0.32978723404255317,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1450,1558.33,1478.57,-0.05118299718288167,0.019703448275862026,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1975,2091.67,2166.67,0.035856516563320215,0.09704810126582282,,,, ,,,,,
32,තිලාපියා,Tilapia (M),,,400,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Variety,,,2023,,2024,Compared to Average of 1st  week of  January ,,,,,,
Sinhala Name,,Common Name,Average of 1st  week of  January,Average of 4th  week of  December,Average of 1st  week of  January,Last week ,Last Year,,,, ,
1,තෝරා,Seer,3520,4330,4565,0.054272517321016164,0.296875,,,,,
2,පරව් (ලොකු),Trevally (L),2245,2537,2453,-0.03310997240835633,0.09265033407572383,, ,,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),2190,2227,2153,-0.03322855859901212,-0.016894977168949773,,,,,
4,තලපත්,Sail fish,2826.67,2640,2727,0.03295454545454545,-0.035260571626684424,,,,,
5,බලයා,Skipjack tuna,1455,1420,1520,0.07042253521126761,0.044673539518900345,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2526.67,2330,2367,0.01587982832618026,-0.06319384802922426,,,,,
7,සාලයා (මට්ට),Sardinella,590,593,630,0.06239460370994941,0.06779661016949153,,,,,
8,මෝරා,Shark,1766.66,1660,1887,0.13674698795180723,0.06811723817825723,,,,,
9,හුරුල්ලා,Herrings,960,1028,1010,-0.017509727626459144,0.052083333333333336,,,,,
10,කුම්බලා,Indian mackerel,965,1103,1120,0.015412511332728921, ,,,,,
11,කාරල්ලා,Pony fish,490,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,,
13,හාල්මැස්සා,Anchovies,660,760,,,,,,,,
14,ඉස්සා (M),Prawns (M),2015,1976,1983,0.00354251012145749,-0.01588089330024814,,,,,
15, කොප්පරා,Marlins,3405,3165,3590,0.13428120063191154,0.05433186490455213,,,,,
16,අලගොඩුවා,Frigate tuna,1080,1123,1160,0.03294746215494212,0.07407407407407407,,,,,
17,ඇටවල්ලා,Kawakawa,1073.33,1193,1230,0.03101424979044426,0.14596629182078213,,,,,
18,ඇටිස්සා,Red Bream(L),,1860,1880,0.010752688172043012,,,,,,
19,බෝල්ලා,Big eye scade,990,1090,1043,-0.043119266055045874,0.05353535353535353,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1110,1240,1230,-0.008064516129032258,0.10810810810810811,,,,,
21,හබරලි,Needle fish,973.33,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1806.67,1798,1760,-0.021134593993325918,-0.02583205566041395,,,,,
23,ජීලාවා,Barracuda,2126.67,2360,2427,0.028389830508474576,0.14122078178560846,,,,,
24,ලින්නා,Indian Scade,920,1017,1050,0.032448377581120944,0.14130434782608695,,,,,
25,ලේන පරව්,Rainbow runner,1080,1130,1150,0.017699115044247787,0.06481481481481481,,,,,
26,සුද්දා,Threadfin bream,1206.67,1340,1353,0.009701492537313432,0.12126762080767726,,,,,
27,සූඩයා,White Sardinella,366.67,420,427,0.016666666666666666,0.16453486786483754,,,,,
28,දැල්ලා,Cuttle fish,2073.33,2108,1990,-0.055977229601518026,-0.04019138294434554,,,,,
29,කකුළුවා,Sea Crabs(L),2496,2630,2540,-0.034220532319391636,0.017628205128205128,,,,,
30,තිලාපියා,Thilapia (M),,890,980,0.10112359550561797,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,
,,,,,,, ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,, ,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
