Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:2nd week of July 2024,, , ,, ,,,,,
Sinhala Name,,Common Name,2nd  week of July,1st  week of July,2nd  week of July,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),2666.67,2460,2700,0.0975609756097561,0.012498734376582001,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1380,1260,1175,-0.06746031746031746,-0.14855072463768115,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1458.33,1425,1225,-0.14035087719298245,-0.1599980799956114, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1120,987.5,933.33,-0.054855696202531605,-0.1666696428571428,, , , , , ,,,
5,තලපත්,Sail fish,2285.71,1842.86,1782.14,-0.03294878612591288,-0.22031228808554013,,,,, ,,,,
6,බලයා,Skipjack tuna,1032.14,560.71,707.14,0.2611510406448965,-0.31487976437305026, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1533.33,1012.5,1216.67,0.20164938271604946,-0.2065178402561744, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,550,267.5,277.5,0.037383177570093455,-0.4954545454545455,,,,,,,,,
9,මෝරා,Sharks,1200,1100,1010,-0.08181818181818182,-0.15833333333333333,,, ,, , ,,,
10,හුරුල්ලා,Herrings,917.86,641.67,791.67,0.23376501940249664,-0.13748284052034085,,,,,,,,,
11,කුම්බලා,Indian Mackerel,1271.43,907.14,1017.86,0.12205392772890626,-0.19943685456533197,,,,,,,,,
12,කාරල්ලා,Pony fish,380,230,300,0.30434782608695654,-0.21052631578947367,,,,,,,,,
13,කටුවල්ලා,Katuwalla,512.5,600,533.33,-0.1111166666666666,0.04064390243902447,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,783.33,462.5,470,0.016216216216216217,-0.399997446797646,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1408.33,1478.57,1539.29,0.04106670634464383,0.092989569206081,,,,,,,,,
16, කොප්පරා,Marlins,2585.71,2321.43,2135.71,-0.08000241230620773,-0.17403343762448226,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),980,450,739.29,0.6428666666666666,-0.24562244897959187,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,1007.14,566.67,865,0.5264616090493587,-0.14113231526897949,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1541.67,1450,1400,-0.034482758620689655,-0.0918938553646371,,,,,,,,,
20,බෝල්ලා,Big eye scade,1175,840,975,0.16071428571428573,-0.1702127659574468,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1300,1150,1300,0.13043478260869565,0,, ,,, ,,,,
22,හබරලි,Needle fish,1273.33,807.14,953.57,0.1814183413038631,-0.25112107623318375,,, ,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1592.86,1230,1478.57,0.2020894308943089,-0.07175144080459046,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1500,1440,1260,-0.125,-0.16,,, ,,,,,,
25,ලින්නා,Indian Scad(L),957.14,564.29,809.29,0.43417391766644814,-0.15447061036003096,,, ,,,,,,
26,ලින්නා,Indian Scad(S),650,390,620.83,0.591871794871795,-0.044876923076923016,,,,  ,,,,,
27,ලේන පරව්,Rainbow Runner,975,500,682.14,0.36428,-0.3003692307692308,,,,,,,,,
28,සුද්දා,Threadfin  Bream,1160,1150,1090,-0.05217391304347826,-0.0603448275862069,,, ,,,,,, 
29,සූඩයා,White Sardinella,410,196.25,234,0.19235668789808918,-0.4292682926829268,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1375,1650,1658.33,0.005048484848484805,0.20605818181818175,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1716.67,2007.14,2250,0.12099803700788181,0.3106770666464725,,,, ,,,,,
32,තිලාපියා,Tilapia (M),,,550, , ,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,
