--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2021,2022,,"% Change 3rd  week of Dec. 2022, compared to:",, ,,,,,
Sinhala Name,,Common Name,3rd week of  Dec.,2nd week of  Dec.,3rd week of  Dec.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1266.67,1700,2200,0.29411764705882354,0.7368375346380667,,,,,,
2,පරව් (ලොකු),Trevally (L),875,1166.67,1250,0.07142551021282789,0.42857142857142855,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),816.67,1075,1185.71,0.10298604651162795,0.45188386986175577, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),700,795,840,0.05660377358490566,0.2,,,,,, 
5,තලපත්,Sail fish,1380,1420,1608.33,0.13262676056338024,0.1654565217391304,,,,,,
6,බලයා,Skipjack tuna,451,671.43,783.33,0.16665921987400042,0.7368736141906874,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,750,1058.33,1092.86,0.03262687441535247,0.45714666666666653, ,,,,,
8,සාලයා (මට්ට),Sardinella,265,414.29,416.43,0.005165463805546806,0.571433962264151,,,,,,
9,මෝරා,Sharks,725,895,1316.67,0.47113966480446934,0.8160965517241381,,,,,,
10,හුරුල්ලා,Herrings,428,653.57,685.77,0.04926786725216875,0.6022663551401869,,,,,,
11,කුම්බලා,Indian Mackerel,443,653.57,750,0.14754349189834287,0.6930022573363431,,,,,,
12,කාරල්ලා,Pony fish,133.33,416.67,362.5,-0.1300069599443205,1.718817970449261,,,,,,
13,කටුවල්ලා,Katuwalla,383.33,433.33,554.17,0.27886368356679664,0.4456734406386142,,, ,,,
14,හාල්මැස්සා,Anchovy,310,400,500,0.25,,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",900,1442.86,1441.67,-0.0008247508420774208,0.6018555555555556,,,,,,
16, කොප්පරා,Marlins,1560,1778.57,2057.14,0.15662582861512336,0.3186794871794871,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),450,758.33,825,0.08791686996426352,0.8333333333333334,,,,,,
18,ඇටවල්ලා,Kawakawa,515,870.83,878.57,0.008888072298841346,0.7059611650485438,,,,,,
19,ඇටිස්සා,Red Bream(L),800,1130,1160,0.02654867256637168,0.45,,,,,,
20,බෝල්ලා,Big eye scade,431.67,670,750,0.11940298507462686,0.7374383209396066,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,616.67,900,1125,0.25,0.8243144631650641,, ,,,,
22,හබරලි,Needle fish,595,821.43,895.86,0.090610277199518,0.5056470588235294,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1067.67,1233.33,1260,0.021624382768602138,0.18013993087751826,, ,,,,
24,ජීලාවා,Barracuda(L),766.67,992.86,1116.67,0.124700360574502,0.45651975426193814,,, ,,,
25,ලින්නා,Indian Scad(L),464.17,775,950,0.22580645161290322,1.0466639377814162,,,,,,
26,ලින්නා,Indian Scad(S),369,583.33,783.33,0.3428591020520117,1.1228455284552847,,,,,,
27,ලේන පරව්,Rainbow Runner,462.5,664.27,735.77,0.10763695485269545,0.590854054054054,,,,,,
28,සුද්දා,Threadfin  Bream,650,795.83,890,0.11832929143158709,0.36923076923076925,,,,,,
29,සූඩයා,White Sardinella,129.17,254.09,269.29,0.05982132315321349,1.0847720058837196,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1081.25,1552.14,1658.3,0.06839589212313313,0.5336878612716762,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1516.67,1854.14,1766.67,-0.04717550993991825,0.1648348025608735,,,, ,,
32,තිලාපියා,Tilapia (M),280,600,550,,0.9642857142857143,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2021,2022,,"% Change 3rd week of December 2022, compared to:",
Sinhala Name,,Common Name,Average of December 3rd week,Average of December 2nd week,Average of December 3rd week,Last week ,Last Year
1,තෝරා,Seer,2342.5,3166.67,3600,0.13684090858851725,0.5368196371398078
2,පරව් (ලොකු),Trevally (L),1690,2350,2370,0.00851063829787234,0.40236686390532544
3,ගල්මාළු (ලොකු),Rock Fish (L),1390,2193.33,2240,0.021278147839130488,0.6115107913669064
4,තලපත්,Sail fish,2100,2695,2756,0.022634508348794064,0.31238095238095237
5,බලයා,Skipjack tuna,980,1293.33,1335,0.032219155204008317,0.3622448979591837
6,කෙළවල්ලා,Yellowfin tuna,1463.33,2090,2216,0.06028708133971292,0.5143542468206078
7,සාලයා (මට්ට),Sardinella,350,590,626.6666666666666,0.062146892655367166,0.7904761904761903
8,මෝරා,Shark,1210,1740,1940,0.11494252873563218,0.6033057851239669
9,හුරුල්ලා,Herrings,606.67,868,902,0.03917050691244239,0.4868050175548487
10,කුම්බලා,Indian mackerel,,970,988,0.018556701030927835,
11,කාරල්ලා,Pony fish,,620,,,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,530,653.33,700,0.07143403792876488,0.32075471698113206
14,ඉස්සා (M),Prawns (M),1273.75,1755,1820,0.037037037037037035,0.42885181550539747
15, කොප්පරා,Marlins,2180,3140,3390,0.07961783439490445,0.555045871559633
16,අලගොඩුවා,Frigate tuna,,1040,1080,0.038461538461538464,
17,ඇටවල්ලා,Kawakawa,,1080,1090,0.009259259259259259,
18,ඇටිස්සා,Red Bream,990,,,,
19,බෝල්ලා,Big eye scade,660,990,1013.33,0.023565656565656606,0.535348484848485
20,ගින්නටි පරව්,Ginnati paraw,865,1370,1410,0.029197080291970802,0.630057803468208
21,හබරලි,Needle fish,700,,970,,0.38571428571428573
22,හැඩැල්ලා,Indian Anchovy,1295,1493.33,1540,0.03125230190245965,0.1891891891891892
23,ජීලාවා,Barracuda,1290,2027.5,2260,0.11467324290998766,0.751937984496124
24,ලින්නා,Indian Scade,610,1030,1067.5,0.03640776699029126,0.75
25,ලේන පරව්,Rainbow runner,650,1160,1180,0.017241379310344827,0.8153846153846154
26,සුද්දා,Threadfin bream,740,1080,1170,0.08333333333333333,0.581081081081081
27,සූඩයා,White Sardinella,220,393.33,400,0.016957770828566386,0.8181818181818182
28,දැල්ලා,Cuttle fish,1315,2073.33,2393.33,0.15434108414965297,0.8200228136882128
29,කකුළුවා,Sea Crabs(L),,2486.66,2506.66,0.008042917005139424,
30,තිලාපියා,Thilapia (M),600,1120,1080,-0.03571428571428571,0.8
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
**Retail Price collection done by over the phone,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
