Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2021,2022,,"% Change 3rd week of June 2022, compared to:",
Sinhala Name,,Common Name,June 3rd week average,June 2nd week average,June 3rd week average,Last week ,Last Year
1,තෝරා,Seer,1945,3326.67,3393.33,0.020038056074092064,0.7446426735218509
2,පරව් (ලොකු),Trevally (L),1260,2548,2604,0.02197802197802198,1.0666666666666667
3,ගල්මාළු (ලොකු),Rock Fish (L),1120,1913.33,2190,0.14460129721480355,0.9553571428571429
4,තලපත්,Sail fish,1445,2600,2695,0.03653846153846154,0.8650519031141869
5,බලයා,Skipjack tuna,740,1526.66,1692.5,0.10862929532443368,1.287162162162162
6,කෙළවල්ලා,Yellowfin tuna,1226.67,2548,2570,0.008634222919937205,1.0951030024374933
7,සාලයා (මට්ට),Sardinella,350,850,875,0.029411764705882353,1.5
8,මෝරා,Shark,,,,,
9,හුරුල්ලා,Herrings,700,1200,1210,0.008333333333333333,0.7285714285714285
10,කුම්බලා,Indian mackerel,735,1400,1433.33,0.023807142857142805,0.9501088435374149
11,කාරල්ලා,Pony fish,,,,,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,,820,840,0.024390243902439025,
14,ඉස්සා (M),Prawns (M),1260,1452,1410,-0.028925619834710745,0.11904761904761904
15, කොප්පරා,Marlins,1480,2993.33,3060,0.022272853310527096,1.0675675675675675
16,අලගොඩුවා,Frigate tuna,490,1093.33,1020,-0.067070326433922,
17,ඇටවල්ලා,Kawakawa,580,1160,1110,-0.04310344827586207,0.9137931034482759
18,ඇටිස්සා,Red Bream,800,,,,
19,බෝල්ලා,Big eye scade,660,1240,,,
20,ගින්නටි පරව්,Ginnati paraw,740,,1566.66,,
21,හබරලි,Needle fish,,,1240,,
22,හැඩැල්ලා,Indian Anchovy,1100,1660,1650,-0.006024096385542169,0.5
23,ජීලාවා,Barracuda,,2493.33,2893.33,0.1604280219625962,
24,ලින්නා,Indian Scade,560,1060,1032,-0.026415094339622643,0.8428571428571429
25,ලේන පරව්,Rainbow runner,600,1380,1313.33,-0.0483115942028986,1.1888833333333333
26,සුද්දා,Threadfin bream,750,1495,1510,0.010033444816053512,1.0133333333333334
27,සූඩයා,White Sardinella,,,,,
28,දැල්ලා,Cuttle fish,1060,1630,1520,-0.06748466257668712,0.4339622641509434
29,කකුළුවා,Sea Crabs(L),1450,2933.33,,,
30,තිලාපියා,Thilapia (M),600,,853.33,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
**Retail Price collection done by Telephone,,,,,,,
