Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,Compared to Average of 4th week of  Oct. 2024,, ,,,,,,,,
Sinhala Name,,Common Name,Average of 4th week of  Oct.,Average of 3rd week of  Oct.,Average of 4th week of  Oct.,Last week ,Last Year,, ,, ,,,,, 
1,තෝරා,Seer,2850,3926.67,3913.33,-0.003397280647469776,0.37309824561403504,, ,, ,, ,,,
2,පරව් (ලොකු),Trevally (L),2190,2320,2340,0.008620689655172414,0.0684931506849315, , , ,, ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2040,2280,2190,-0.039473684210526314,0.07352941176470588,, ,,,,,,,
4,තලපත්,Sail fish,2385,2796,2963.33,0.059846208869814,0.2424863731656184,,, , ,,,,,
5,බලයා,Skipjack tuna,1185,1240,1120,-0.0967741935483871,-0.05485232067510549,,, ,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,1847,2196,2283.33,0.039767759562841495,0.23623714131023277,,, , ,,,, ,
7,සාලයා (මට්ට),Sardinella,485,645,590,-0.08527131782945736,0.21649484536082475,,,, ,,, ,,
8,මෝරා,Shark,1665,1760,1645,-0.06534090909090909,-0.012012012012012012,,,,,,,,,
9,හුරුල්ලා,Herrings,595,960,975,0.015625,0.6386554621848739,,,,,,,,,
10,කුම්බලා,Indian mackerel,885,970,972.5,0.002577319587628866,0.09887005649717515,,,,,,,,,
11,කාරල්ලා,Pony fish,,520,520,0,,,,, ,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,,
13,හාල්මැස්සා,Anchovies,550,,605,,0.1,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1708,1990,1940,-0.02512562814070352,0.1358313817330211,,,,,,,,,
15, කොප්පරා,Marlins,2947,3240,3260,0.006172839506172839,0.10620970478452664,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,685,980,960,-0.02040816326530612,0.40145985401459855,,,,,,,,,
17,ඇටවල්ලා,Kawakawa,720,1020,1004,-0.01568627450980392,0.39444444444444443,,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1810,1890,1810,-0.042328042328042326,0,,, ,,,,,,
19,බෝල්ලා,Big eye scade,617,910,973.33,0.06959340659340664,0.577520259319287,,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1107,1080,1053.33,-0.024694444444444512,-0.048482384823848305,,,, ,,, ,,
21,හබරලි,Needle fish,915,1233.33,1088,-0.11783545360933402,0.18907103825136612,,, ,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1420,1740,1766.67,0.015327586206896594,0.24413380281690145,,,,,,,,,
23,ජීලාවා,Barracuda,1730,2186.67,2120,-0.030489282790727486,0.2254335260115607,,,,,,,,,
24,ලින්නා,Indian Scade,607,833.33,755,-0.09399637598550399,0.24382207578253706,,,,,,,,,
25,ලේන පරව්,Rainbow runner,780,933.33,893.33,-0.042857295918914,0.14529487179487185,,,,,,,,,
26,සුද්දා,Threadfin bream,820,890,803.33,-0.09738202247191007,-0.020329268292682875,,,,,,,,,
27,සූඩයා,White Sardinella,273.33,360,335,-0.06944444444444445,0.2256247027402774,,,,,,,,,
28,දැල්ලා,Cuttle fish,1703,2050,2050,0,0.20375807398708162,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2493,2680,2530,-0.055970149253731345,0.014841556357801846,,,,,,,,,
30,තිලාපියා,Thilapia (M),860,970,920,-0.05154639175257732,0.06976744186046512,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
