--- 01-T1+1.1.csv ---

Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Monthly Fish Production Statistics   ,,,,,,,,,,,
October 2025,,,,,,,,,,,
,,,,,,,,,,,
Table 1: Fish Production (Metric tons),,,,,,,,,,,
,,,,,,,,,,,
Fishing Sub-sector,,2019,2020,2023,2024,       2024      Jan - Oct,       2025      Jan - Oct,Change in 2025 compared to 2024 (%),Percentage share (%),,
1,Off shore/Deep Sea,172910,144370,128950,143390,117910,123040,4.350776015605122,39.18596133634829,,
2,Coastal,242580,182560,164995,165040,139080,141980,2.085130859936727,45.218000573266664,,
,Total Marine,415490,326930,293945,308430,256990,265020,3.1246351998132225,84.40396190961495,,
3,Inland Capture,73230,84310,93440,87210,76085,37530,-50.67358874942498,11.952609955731074,,
4,Aquaculture,10710,10140,8085,7800,7130,5250,-26.367461430575034,1.6720277715850822,,
5,Shrimp Farms,6400,7360,11600,7320,6285,6190,-1.511535401750199,1.9714003630688877,,
,Total Inland,90340,101810,113125,102330,89500,48970,-45.28491620111732,15.596038090385045,,
,Sri Lanka ,505830,428740,407070,410760,346490,313990,-9.379780080233195,100,,
,Targets,361320,404800,482600,575200,,,,,,0.0
,Achievement,,,,,,,,,,0.0
Source: Statistics Unit of MoF,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 1.1: Fish Production by Sectors (Metric tons),,,,,,,,,,,
,Marine Fish Production,,,Inland Fish Production,,,,,,,
, Off shore, Coastal and Lagoon,Total Marine,Capture,Aquaculture ,Shrimp Farms,Total Inland,Total Catch,,,
2005,66710,63690,130400,28230,2730,1870,32830,163230,,,
2006,94620,121360,215980,29640,3170,2480,35290,251270,,,
2006,94620,121360,215980,31470,1340,2480,35290,251270,,,
2007,102560,150110,252670,30200,4600,3580,38380,291050,,,
2008,109310,165320,274630,37170,5100,2220,44490,319120,,,
Jan,7460,15680,23140,2900,40,180,3120,26260,,,
Feb,9230,14740,23970,2500,20,210,2730,26700,,,
Mar,10420,14990,25410,1980,0,140,2120,27530,,,
Apr,9460,14170,23630,2380,0,70,2450,26080,,,
May,8070,12190,20260,2510,0,80,2590,22850,,,
Jun,7320,10860,18180,2380,80,50,2510,20690,,,
Jul,7480,10930,18410,2830,360,490,3680,22090,,,
Aug,7810,13120,20930,3370,1070,680,5120,26050,,,
Sep,8720,13240,21960,3780,1560,270,5610,27570,,,
Oct,10370,14820,25190,4170,1370,20,5560,30750,,,
Nov,11460,15270,26730,4460,480,20,4960,31690,,,
Dec,11510,15310,26820,3910,120,10,4040,30860,,,
2009,112760,180410,293170,39030,3980,3550,46560,339730,,,
Jan,8120,15860,23980,3230,0,30,3260,27240,,,
Feb,8480,16250,24730,3350,0,30,3380,28110,,,
Mar,8930,17420,26350,3390,0,240,3630,29980,,,
Apr,9870,15110,24980,2630,0,510,3140,28120,,,
May,8640,13280,21920,2380,0,580,2960,24880,,,
Jun,7490,11640,19130,2350,0,430,2780,21910,,,
Jul,8430,13620,22050,3110,690,580,4380,26430,,,
Aug,9510,15730,25240,4040,1080,170,5290,30530,,,
Sep,8770,14540,23310,3530,1360,80,4970,28280,,,
Oct,10890,15840,26730,3350,300,250,3900,30630,,,
Nov,12720,15340,28060,4210,440,340,4990,33050,,,
Dec,10910,15780,26690,3460,110,310,3880,30570,,,
2010,129840,202420,332260,44380,4550,3480,52410,384670,,,
Jan,8180,16110,24290,3210,0,40,3250,27540,,,
Feb,9110,17230,26340,3270,10,40,3320,29660,,,
Mar,9940,17620,27560,3720,10,30,3760,31320,,,
Apr,9420,16560,25980,3660,10,20,3690,29670,,,
May,11380,13850,25230,2940,10,320,3270,28500,,,
Jun,10740,16380,27120,2850,20,440,3310,30430,,,
Jul,10210,15970,26180,2960,620,910,4490,30670,,,
Aug,10980,16340,27320,4010,1770,390,6170,33490,,,
Sep,11320,16710,28030,3680,1620,120,5420,33450,,,
Oct,11980,17550,29530,4290,370,100,4760,34290,,,
Nov,13370,18330,31700,5130,30,450,5610,37310,,,
Dec,13210,19770,32980,4660,80,620,5360,38340,,,
2011,162920,222350,385270,50050,5360,4150,59560,444830,,,
Jan,10190,17370,27560,3220,0,90,3310,30870,,,
Feb,11930,18780,30710,2880,0,170,3050,33760,,,
Mar,13840,19780,33620,3140,0,450,3590,37210,,,
Apr,13520,20370,33890,2950,10,180,3140,37030,,,
May,11970,18190,30160,2910,20,240,3170,33330,,,
Jun,13930,14680,28610,3480,230,810,4520,33130,,,
Jul ,11750,15270,27020,4380,1180,380,5940,32960,,,
Aug,13940,18590,32530,6070,1870,320,8260,40790,,,
Sep ,16130,19740,35870,5010,1580,540,7130,43000,,,
Oct ,15270,19960,35230,4970,210,210,5390,40620,,,
Nov,15630,19580,35210,5830,240,100,6170,41380,,,
Dec ,14820,20040,34860,5210,20,660,5890,40750,,,
2012,159680,257540,417220,58680,6960,3310,68950,486170,,,
Jan,13920,19640,33560,3810,10,120,3940,37500,,,
Feb,9630,17750,27380,3390,20,140,3550,30930,,,
Mar,14240,21150,35390,3730,30,410,4170,39560,,,
Apr,15620,21890,37510,4090,30,390,4510,42020,,,
May,12940,21380,34320,3900,20,320,4240,38560,,,
Jun,11640,19730,31370,4340,890,620,5850,37220,,,
Jul,11430,20990,32420,8150,3140,330,11620,44040,,,
Aug,10520,22940,33460,9980,2570,190,12740,46200,,,
Sep,12890,22790,35680,6530,230,410,7170,42850,,,
Oct,16670,21760,38430,4060,10,60,4130,42560,,,
Nov,14840,25880,40720,3580,0,180,3760,44480,,,
Dec,15340,21640,36980,3120,10,140,3270,40250,,,
2013,177950,267980,445930,55020,7460,4430,66910,512840,,,
Jan,16460,21980,38440,3230,30,470,3730,42170,,,
Feb,12850,19970,32820,2820,40,110,2970,35790,,,
Mar,15120,24530,39650,2790,40,230,3060,42710,,,
Apr,14760,24210,38970,2910,40,810,3760,42730,,,
May,10820,19890,30710,2840,60,280,3180,33890,,,
Jun,11660,18380,30040,3090,190,360,3640,33680,,,
Jul,14210,22620,36830,3680,1080,230,4990,41820,,,
Aug,15920,23960,39880,8140,3360,340,11840,51720,,,
Sep,16410,24230,40640,7880,1760,210,9850,50490,,,
Oct,15460,23850,39310,6060,750,180,6990,46300,,,
Nov,16790,21620,38410,5350,60,400,5810,44220,,,
Dec,17490,22740,40230,6230,50,810,7090,47320,,,
2014,180450,278850,459300,68820,1780,5150,75750,535050,,,
Jan,14250,21990,36240,5470,60,60,5590,41830,,,
Feb,14690,24700,39390,5690,50,390,6130,45520,,,
Mar,16550,25590,42140,6440,50,670,7160,49300,,,
Apr,16080,25540,41620,6480,40,450,6970,48590,,,
May,12730,20240,32970,5210,40,190,5440,38410,,,
June,11350,18040,29390,5180,30,500,5710,35100,,,
July,14460,21820,36280,4760,390,610,5760,42040,,,
Aug,14830,25240,40070,6070,140,350,6560,46630,,,
Sep,15470,26340,41810,6310,670,720,7700,49510,,,
Oct,15360,24020,39380,5860,230,160,6250,45630,,,
Nov,17020,23220,40240,5840,40,230,6110,46350,,,
Dec,17660,22110,39770,5510,40,820,6370,46140,,,
2015,183870,269020,452890,57060,3150,7090,67300,520190,,,
Jan,13930,21310,35240,3880,70,230,4180,39420,,,
Feb,15450,24410,39860,4870,50,100,5020,44880,,,
Mar,16630,26250,42880,4060,60,200,4320,47200,,,
Apr,16800,25730,42530,4130,90,60,4280,46810,,,
May,14340,22390,36730,4530,70,240,4840,41570,,,
Jun,12460,18620,31080,4380,50,610,5040,36120,,,
Jul,14280,18360,32640,4630,70,2020,6720,39360,,,
Aug,14940,20870,35810,5600,540,1170,7310,43120,,,
Sep,15390,22230,37620,6580,1680,250,8510,46130,,,
Oct,17260,22680,39940,5890,260,330,6480,46420,,,
Nov,16370,23350,39720,4990,120,340,5450,45170,,,
Dec,16020,22820,38840,3520,90,1540,5150,43990,,,
2016,182830,274160,456990,58410,9490,6030,73930,530920,,,
Jan,12910,22950,35860,3180,70,1120,4370,40230,,,
Feb,14950,24780,39730,3030,70,50,3150,42880,,,
Mar,15290,24130,39420,3000,70,20,3090,42510,,,
Apr,13630,22380,36010,3090,60,140,3290,39300,,,
May,12610,19680,32290,2870,130,390,3390,35680,,,
Jun,13700,20470,34170,3390,260,840,4490,38660,,,
Jul,15710,20180,35890,3630,710,780,5120,41010,,,
Aug,15950,22100,38050,6040,1810,300,8150,46200,,,
Sep,16340,24010,40350,10930,2880,150,13960,54310,,,
Oct,16520,24940,41460,8510,1290,230,10030,51490,,,
Nov,17950,24830,42780,6080,1260,610,7950,50730,,,
Dec ,17270,23710,40980,4660,880,1400,6940,47920,,,
2017,189720,259720,449440,68500,8740,4630,81870,531310,,,
Jan,16250,22180,38430,3110,930,590,4630,43060,,,
Feb,19450,22780,42230,3080,620,580,4280,46510,,,
Mar,18340,23030,41370,3130,700,130,3960,45330,,,
Apr,16590,22860,39450,3010,620,460,4090,43540,,,
May,13890,18130,32020,2950,790,140,3880,35900,,,
Jun,14890,19500,34390,3010,620,580,4210,38600,,,
Jul,15560,20370,35930,5430,680,500,6610,42540,,,
Aug,13020,21050,34070,7940,1020,350,9310,43380,,,
