Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 2nd week October 2019, compared to:",
Sinhala Name,,Common Name,2nd week October,1st week October,2nd week October,Last week ,Last Year
1,තෝරා,Seer,1347,1517.5,1473.33,-0.029107084019769407,0.09378619153674828
2,පරව් (ලොකු),Trevally (L),953.3,1075,986.67,-0.08216744186046515,0.0350047204447708
3,ගල්මාළු (ලොකු),Rock Fish (L),620,540,660,0.2222222222222222,0.06451612903225806
4,තලපත්,Sail fish,1058,1232.5,1150,-0.06693711967545639,0.08695652173913043
5,බලයා,Skipjack tuna,516.7,800,713.33,-0.10833749999999995,0.38054964195858326
6,කෙළවල්ලා,Yellowfin tuna,928,1041.67,1088,0.044476657674695365,0.1724137931034483
7,සාලයා (මට්ට),Sardinella,260,193.33,210,0.08622562457973407,-0.19230769230769232
8,මෝරා,Shark,660,960,826.67,-0.1388854166666667,0.252530303030303
9,හුරුල්ලා,Herrings,290,435,462.5,0.06321839080459771,0.5948275862068966
10,කුම්බලා,Indian mackerel,417.5,430,433.33,0.007744186046511591,0.03791616766467062
11,කාරල්ලා,Pony fish,­,­,360,­,­
12,කටුවල්ලා,Katuwalla,­,­,­,­,­
13,හාල්මැස්සා,Anchovies,415,486.67,390,-0.19863562578338506,-0.060240963855421686
14,ඉස්සා (M),Prawns (M),980,1293.33,1310.8,0.013507766772594796,0.3375510204081632
15, කොප්පරා,Marlins,850,960,960,0,0.12941176470588237
16,අලගොඩුවා,Frigate tuna,­,300,360,0.2,­
17,ඇටවල්ලා,Kawakawa,310,420,386.67,-0.07935714285714282,0.24732258064516136
18,ඇටිස්සා,Red Bream,600,­,­,­,­
19,බෝල්ලා,Big eye scade,390,366.67,386.67,0.0545449586821938,-0.008538461538461498
20,ගින්නටි පරව්,Ginnati paraw,603.3,760,800,0.05263157894736842,0.32604011271340966
21,හබරලි,Needle fish,520,507.5,475,-0.06403940886699508,-0.08653846153846154
22,හැඩැල්ලා,Indian Anchovy,826.7,873.33,720,-0.1755693724021848,-0.1290673763154712
23,ජීලාවා,Barracuda,842.5,730,587.5,-0.1952054794520548,-0.3026706231454006
24,ලින්නා,Indian Scade,330,346,352,0.017341040462427744,0.06666666666666667
25,ලේන පරව්,Rainbow runner,560,480,480,0,-0.14285714285714285
26,සුද්දා,Threadfin bream,445,420,546.67,0.30159523809523797,0.22847191011235946
27,සූඩයා,White Sardinella,130,160,150,-0.0625,0.15384615384615385
28,දැල්ලා,Cuttle fish,960,993.33,870,-0.1241581347588415,-0.09375
29,කකුළුවා,Sea Crabs,1067,1250,1256.67,0.005336000000000059,0.1777600749765699
30,තිලාපියා,Thilapia (M),­,515,420,-0.18446601941747573,­
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,
