--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 2nd  week of Feb. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,2nd week of Feb.,1st week of Feb.,2nd week of Feb.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1100,1900,2250,0.18421052631578946,1.0454545454545454,,,,,,
2,පරව් (ලොකු),Trevally (L),770.83,1250,1200,-0.04,0.5567634887069781,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),700,1300,1183.33,-0.0897461538461539,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),400,1116.67,960,-0.1403010737281382,,, ,,, , 
5,තලපත්,Sail fish,1091.64,1466.67,1557.14,0.061683950718293835,0.42642263017111864,,,,,,
6,බලයා,Skipjack tuna,445,637.5,721.43,0.13165490196078425,0.621191011235955,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,750,1216.67,1178.57,-0.03131498269867765,0.5714266666666665, ,,,,,
8,සාලයා (මට්ට),Sardinella,230,422.5,416.43,-0.014366863905325428,0.8105652173913044,,,,,,
9,මෝරා,Sharks,,1020,957.14,-0.06162745098039217,,,,,,,
10,හුරුල්ලා,Herrings,480.83,729.12,729.17,6.857581742368131e-05,0.5164819166857308,,,,,,
11,කුම්බලා,Indian Mackerel,503.53,925,807.14,-0.12741621621621624,0.6029630806506068,,,,,,
12,කාරල්ලා,Pony fish,160,308.33,371.43,0.20465086109039024,,,,,,,
13,කටුවල්ලා,Katuwalla,400,533.33,530,-0.006243789023681474,,,, ,,,
14,හාල්මැස්සා,Anchovy,275,525,485.71,-0.07483809523809527,0.7662181818181818,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",957.14,1545.83,1557.14,0.0073164578252460965,0.6268675428881878,,,,,,
16, කොප්පරා,Marlins,1135,1700,1871.43,0.10084117647058827,0.6488370044052864,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),381.25,887.5,755,-0.14929577464788732,0.980327868852459,,,,,,
18,ඇටවල්ලා,Kawakawa,600,1020,835.71,-0.18067647058823527,0.3928500000000001,,, ,,,
19,ඇටිස්සා,Red Bream(L),650,1375,1233.33,-0.10303272727272733,0.8974307692307691,,,,,,
20,බෝල්ලා,Big eye scade,475.71,937.5,850,-0.09333333333333334,0.7868028841100672,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,550,1333.33,1116.67,-0.1624954062385155,1.030309090909091,, ,,, ,
22,හබරලි,Needle fish,571,1020,971.43,-0.04761764705882358,0.701278458844133,,,,,,
23,හැඩැල්ලා,Indian Anchovies,937.5,1466.67,1185.71,-0.19156320099272503,0.26475733333333334,, , ,,,
24,ජීලාවා,Barracuda(L),400,1266.5,1216.67,-0.03934465061192256,2.041675,,, ,,,
25,ලින්නා,Indian Scad(L),457,856.25,700,-0.18248175182481752,0.5317286652078774,,,,,,
26,ලින්නා,Indian Scad(S),364.29,806.25,592.86,-0.26466976744186044,0.6274396771802684,,,,,,
27,ලේන පරව්,Rainbow Runner,405,783.33,721.43,-0.07902161285792716,0.7813086419753085,,,,,,
28,සුද්දා,Threadfin  Bream,,1260,1000,-0.20634920634920634,,,,,,,
29,සූඩයා,White Sardinella,147.5,325.83,329,0.009728999785164092,1.230508474576271,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1075,1750,1600,-0.08571428571428572,0.4883720930232558,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1100,2175,2214.29,0.01806436781609194,1.012990909090909,,,, ,,
32,තිලාපියා,Tilapia (M),250,,400,,0.6,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 2nd week of Feb. 2023, compared to:",
Sinhala Name,,Common Name,Average of 2nd week of Feb.,Average of 1st week of Feb.,Average of 2nd week of Feb.,Last week ,Last Year
1,තෝරා,Seer,2106,3600,3625,0.006944444444444444,0.7212725546058879
2,පරව් (ලොකු),Trevally (L),1440,2440,2395,-0.018442622950819672,0.6631944444444444
3,ගල්මාළු (ලොකු),Rock Fish (L),1220,2393,2390,-0.0012536564981195152,0.9590163934426229
4,තලපත්,Sail fish,1726,2629.4,2646.67,0.006568038335741987,0.5334125144843569
5,බලයා,Skipjack tuna,904,1352,1405,0.03920118343195266,0.5542035398230089
6,කෙළවල්ලා,Yellowfin tuna,1402.5,2313.33,2297,-0.007059087981394755,0.6377896613190731
7,සාලයා (මට්ට),Sardinella,352,692,713,0.030346820809248554,1.0255681818181819
8,මෝරා,Shark,1160,1713,1773,0.03502626970227671,0.528448275862069
9,හුරුල්ලා,Herrings,612,1103,1080,-0.02085222121486854,0.7647058823529411
10,කුම්බලා,Indian mackerel,627.5,1288,1065,-0.17313664596273293,0.6972111553784861
11,කාරල්ලා,Pony fish,,,410,,
12,කටුවල්ලා,Katuwalla,360,,1020,,
13,හාල්මැස්සා,Anchovies,520,790,760,-0.0379746835443038,
14,ඉස්සා (M),Prawns (M),1280,1992,1993,0.000502008032128514,0.55703125
15, කොප්පරා,Marlins,1705,2980,3080,0.03355704697986577,0.8064516129032258
16,අලගොඩුවා,Frigate tuna,506.67,1100,820,-0.2545454545454545,0.6184104051947026
17,ඇටවල්ලා,Kawakawa,593.33,1247,1053.33,-0.1553087409783481,0.7752852544115414
18,ඇටිස්සා,Red Bream(L),942,,2010,,
19,බෝල්ලා,Big eye scade,660,1100,1045,-0.05,0.5833333333333334
20,ගින්නටි පරව්,Ginnati paraw,720,,1413,,
21,හබරලි,Needle fish,610,,,,
22,හැඩැල්ලා,Indian Anchovy,1220.67,1960,1840,-0.061224489795918366,0.5073689039625778
23,ජීලාවා,Barracuda,1050,2227,1993,-0.10507409070498429,0.8980952380952381
24,ලින්නා,Indian Scade,543.33,1041.16,1011.67,-0.02832417687963437,0.8619807483481492
25,ලේන පරව්,Rainbow runner,635,1173,1080,-0.0792838874680307,
26,සුද්දා,Threadfin bream,766.67,1480,1307,-0.11689189189189189,0.70477519662958
27,සූඩයා,White Sardinella,180,453,460,0.01545253863134658,1.5555555555555556
28,දැල්ලා,Cuttle fish,1260,2100,,,-1
29,කකුළුවා,Sea Crabs(L),,2790,2733,-0.02043010752688172,
30,තිලාපියා,Thilapia (M),550,,1050,,0.9090909090909091
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
**Retail Price collection done by over the phone,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
