--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 3rd week of June 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,3rd week of June,2nd week of June,3rd week of June,Last week ,Last Year,,,, ,,
1,තෝරා,Seer (L),2260,2266.67,2414.29,0.06512637481415463,0.06826991150442477,, ,,,,
2,පරව් (ලොකු),Trevally (L),1362.5,1520,1417.86,-0.0671973684210527,0.04063119266055039,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1600,1570,1620,0.03184713375796178,0.0125, ,, , ,,
4,ගල්මාළු (පොඩි),Rock fish (S),1187.5,1262.5,1392.86,0.10325544554455438,0.17293473684210517,, ,, , , 
5,තලපත්,Sail fish,1721.43,2440,2164.29,-0.11299590163934428,0.2572628570432721,,,,,,
6,බලයා,Skipjack tuna,864.29,1333.33,1157.14,-0.13214283035707577,0.33883303058001385,,,,,, 
7,කෙළවල්ලා,Yellowfin tuna,1600,1742.86,1475,-0.1536899119837508,-0.078125, ,,,,, 
8,සාලයා (මට්ට),Sardinella,683.33,641.67,500,-0.22078326865834458,-0.2682891136054323,,,,,,
9,මෝරා,Sharks,,1400,1350,-0.03571428571428571,,,,,,,
10,හුරුල්ලා,Herrings,1014.29,1157.14,966.67,-0.16460411013360537,-0.04694909739818001,,,,,,
11,කුම්බලා,Indian Mackerel,1225,1391.67,1307.14,-0.06073997427551069,0.06705306122448988,,,,,,
12,කාරල්ලා,Pony fish,533.33,350,416.67,0.19048571428571434,-0.2187388671179195,,,,,,
13,කටුවල්ලා,Katuwalla,500,900,850,-0.05555555555555555,0.7,,, ,,,
14,හාල්මැස්සා,Anchovy,600,675,578.57,-0.14285925925925919,-0.035716666666666584,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1092.86,1375,1396.43,0.015585454545454592,0.27777574437713903,,,,,,
16, කොප්පරා,Marlins,1978.57,2785.71,2435.71,-0.1256412189352086,0.23104565418458792,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),780,1025,1166.67,0.13821463414634153,0.4957307692307693,,,,,,
18,ඇටවල්ලා,Kawakawa,916.67,1285.71,1278.57,-0.005553351844506226,0.39479856436885685,,, ,,,
19,ඇටිස්සා,Red Bream(L),1590,1460,1621.43,0.11056849315068497,0.019767295597484316,,,,,,
20,බෝල්ලා,Big eye scade,1020,1325,1228.57,-0.07277735849056609,0.20448039215686267,,,, ,,
21,ගින්නටි පරව්,Ginnati Paraw,1350,1550,1471.43,-0.05069032258064512,0.0899481481481482,, ,,, ,
22,හබරලි,Needle fish,1058,1300,1285.71,-0.010992307692307664,0.21522684310018908,,,,,,
23,හැඩැල්ලා,Indian Anchovies,,1725,1514.29,-0.12215072463768117,,, , ,,,
24,ජීලාවා,Barracuda(L),1350,1660,1566.67,-0.05622289156626502,0.16049629629629636,,, ,,,
25,ලින්නා,Indian Scad(L),785.71,1107.14,1128.57,0.01935617898368755,0.43636965292537944,,,,,,
26,ලින්නා,Indian Scad(S),712.5,1000,942.86,-0.05713999999999999,0.3233122807017544,,,,,,
27,ලේන පරව්,Rainbow Runner,857.14,1225,1042.86,-0.14868571428571437,0.21667405558018518,,,,,,
28,සුද්දා,Threadfin  Bream,1175,1380,1530,0.10869565217391304,0.3021276595744681,,, ,,,
29,සූඩයා,White Sardinella,485,466.67,420,-0.10000642852551056,-0.13402061855670103,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1340,1750,1696.43,-0.030611428571428536,0.26599253731343286,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1900,2071.43,2325,0.12241301902550421,0.2236842105263158,,,, ,,
32,තිලාපියා,Tilapia (M),,716.67,600,-0.16279459165306204,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,

--- 02-Retail..csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 3rd week of June 2023, compared to:",
Sinhala Name,,Common Name,Average of 3rd week of June,Average of 2nd week of June,Average of 3rd week of June,Last week ,Last Year
1,තෝරා,Seer,3393.33,3973,4258,0.07173420588975585,0.254814592155788
2,පරව් (ලොකු),Trevally (L),2604,2916,2852,-0.02194787379972565,0.09523809523809523
3,ගල්මාළු (ලොකු),Rock Fish (L),2190,2878,2760,-0.04100069492703266,0.2602739726027397
4,තලපත්,Sail fish,2695,3557.5,3386.67,-0.04801967673928319,0.2566493506493507
5,බලයා,Skipjack tuna,1692.5,1997,1920,-0.0385578367551327,0.1344165435745938
6,කෙළවල්ලා,Yellowfin tuna,2570,3090,3022,-0.022006472491909384,0.17587548638132297
7,සාලයා (මට්ට),Sardinella,875,893,740,-0.1713325867861142,-0.15428571428571428
8,මෝරා,Shark,,,,,
9,හුරුල්ලා,Herrings,1210,1498,1256.67,-0.16110146862483307,0.03857024793388436
10,කුම්බලා,Indian mackerel,1433.33,1560,1555,-0.003205128205128205,0.08488624392149755
11,කාරල්ලා,Pony fish,,700,720,0.02857142857142857,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,840,940,880,-0.06382978723404255,0.047619047619047616
14,ඉස්සා (M),Prawns (M),1410,1930,1890,-0.02072538860103627,0.3404255319148936
15, කොප්පරා,Marlins,3060,4000,3880,-0.03,0.2679738562091503
16,අලගොඩුවා,Frigate tuna,1020,1373,1420,0.03423160961398398,0.39215686274509803
17,ඇටවල්ලා,Kawakawa,1110,1493,1446.67,-0.031031480241125203,0.3033063063063064
18,ඇටිස්සා,Red Bream(L),,,,,
19,බෝල්ලා,Big eye scade,,1525,1540,0.009836065573770493,
20,ගින්නටි පරව්,Ginnati paraw,1566.66,1980,1830,-0.07575757575757576,0.1680900769790509
21,හබරලි,Needle fish,1240,1600,1526.67,-0.045831249999999955,0.2311854838709678
22,හැඩැල්ලා,Indian Anchovy,1650,2105,2216.67,0.05304988123515443,0.3434363636363637
23,ජීලාවා,Barracuda,2893.33,2847,2920,0.02564102564102564,0.00921775255501449
24,ලින්නා,Indian Scade,1032,1460,1374,-0.0589041095890411,0.3313953488372093
25,ලේන පරව්,Rainbow runner,1313.33,1573,1340,-0.14812460267005723,0.020307158139995337
26,සුද්දා,Threadfin bream,1510,1743,1770,0.01549053356282272,0.17218543046357615
27,සූඩයා,White Sardinella,,620,540,-0.12903225806451613,
28,දැල්ලා,Cuttle fish,1520,2133,1975,-0.07407407407407407,0.2993421052631579
29,කකුළුවා,Sea Crabs(L),,2743,2765,0.008020415603353991,
30,තිලාපියා,Thilapia (M),853.33,1160,1120,-0.034482758620689655,0.3125051269731522
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
,,,,,,, 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
