"of NAQDA, 2008-2020(Mn)","","","","","","","","","",""
"Variety","2010","2013","2014","2015","2016","2017","2018","","2019","2020"
"Fish Fingerlings","","","","","","","","","",""
"Tilapia","7.9","17.8","18.5","24.4","30.1","21.2","24.3","","16.6","16.6"
"Carp","6.7","7.2","5.9","5.9","8.1","1.9","3.5","","2.6","4.4"
"Catla/Rohu","18.9","18.6","10.1","16.2","18.7","10.5","11.0","","5.6","11.8"
"Hirikanaya","1.3","-","-","0.3","0.2","0.4","0.1","-","","0.3"
"Milk Fish","-","-","-","-","-","-","","","-","-"
"Mirigal","-","-","-","-","12.6","4.1","9.3","","4.4","3.2"
"Other","-","5.7","6.5","8.5","-","-","","","","-"
"Total","34.9","49.3","40.9","55.3","69.7","38.1","48.2","","29.2","36.3"
"Post Larvae","","","","","","","","","",""
"Freshwater Prawns","13.0","20.3","10.6","23.7","39.8","41.4","51.1","","65.9","77.7"
"Shrimps*(1)","","389.0","350.5","484.0","554.3","478.4","519.9","","428.0","398.0"
"Shrimps*(2)","","","","","","","","","42.1","289.0"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","",""
