"","","","Active","","","Inactive","","Permanently Closed","","Total",""
"Administrative","","","Daily production","","","Daily production","","Daily production","","Daily production",""
"","Fisheries District","","","","","","","","","",""
"District","","Number","","capacity","Number","","capacity","Number
capacity","Number","","capacity"
"","","","(Mt/ day)","","","(Mt/ day)","","(Mt/ day)","","(Mt/ day)",""
"Colombo","Colombo","","","","2","","5.00","","2","","5.00"
"Gampaha","Negombo","14","","606.50","","","","1
                 
25.00","15","","631.50"
"Kalutara","Kaluthara","6","","253.00","","","","1
                 
10.00","7","","263.00"
"Matale","Matale","1","","15.00","","","","","1","","15.00"
"Galle","Galle","9","","289.00","","","","","9","","289.00"
"Matara","Matara","11","","397.00","","","","","11","","397.00"
"Hambanthota","Tangalle","14","","548.70","4","","52.00","","18","","600.70"
"Jaffna","Jaffna","5","","135.00","","","","1
                   
5.00","6","","140.00"
"Mannar","Mannar","4","","141.00","","","","","4","","141.00"
"Mullaitivu","Mullaitivu","2","","47.40","","","","1
                   
3.50","3","","50.90"
"Kilinochchi","Kilinochchi","2","","85.00","","","","","2","","85.00"
"Batticaloa","Batticaloa","5","","165.00","","","","1
                 
10.00","6","","175.00"
"Ampara","Kalmunai","3","","32.00","","","","1
                 
40.00","4","","72.00"
"Trincomalee","Trincomalee","8","","284.65","","","","","8","","284.65"
"Kurunegala","Kurunegala","1","","1.00","","","","","1","","1.00"
"","Puttalam","6","","167.40","2","","-","","8","","167.40"
"Puttalam","","","","","","","","","","",""
"","Chilaw","9","","378.00","","","","","9","","378.00"
"Anuradhapura","Anuradhapura","2","","18.00","","","","","2","","18.00"
"Polonnaruwa","Polonnaruwa","1","","15.00","","","","","1","","15.00"
"Monaragala","Monaragala","1","","2.00","","","","","1","","2.00"
"Total","","104","","3,580.65","8","","57.00","6
                 
93.50","118","","3,731.15"
