"Table 3.3 :  Operating Fishing Boats by District - 2016","","","","","","",""
"Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"Negombo","568","35","2,776","5","1,231","28",""
"","","","","","","","4,643"
"Colombo","30","39","663","1","274","102",""
"","","","","","","","1,109"
"Kalutara","221","1","546","0","244","135",""
"","","","","","","","1,147"
"Galle","347","14","581","250","253","50",""
"","","","","","","","1,495"
"Matara","1351","105","908","241","969","17",""
"","","","","","","","3,591"
"Tangalle","512","29","983","141","698","107",""
"","","","","","","","2,470"
"Kalmunai","116","156","710","191","1,097","200",""
"","","","","","","","2,470"
"Batticaloa","356","72","1,348","14","4,390","272",""
"","","","","","","","6,452"
"Trincomalee","175","26","2,808","27","1,640","288",""
"","","","","","","","4,964"
"Mullaitivu","0","0","676","4","653","78",""
"","","","","","","","1,411"
"Kilinochchi","2","0","517","51","257","0",""
"","","","","","","","827"
"Jaffna","73","210","3,712","352","2,186","143",""
"","","","","","","","6,676"
"Mannar","26","99","2,386","390","1118","19",""
"","","","","","","","4,038"
"Puttalam","86","0","3,128","169","1,510","202",""
"","","","","","","","5,095"
"Chilaw","133","0","2,540","3","1,333","272",""
"","","","","","","","4,281"
"Total","3,996","786","24,282","1,839","17,853","1,913","50,669"
