"Variety","2007","2008","2009","2010","2011","2012","2013","2014","","2015","","2016",""
"Fish Fingerlings","","","","","","","","","","","","",""
"Tilapia","1.8","3.3","7.8","7.9","15.3","10.6","17.8","18.5","","24.4","","30.1",""
"Carp","0.6","3.0","7.4","6.7","8.1","8.5","7.2","5.9","","5.9","","8.1",""
"Catla/Rohu","2.6","6.6","12.2","18.9","19.0","14.5","18.6","10.1","","16.2","","18.7",""
"Hirikanaya","-","-","0.5","1.3","1.0","0.2","-","","-","0.3","","0.2",""
"Milk Fish","-","-","-","-","1.5","3.6","-","","-","","-","","-"
