"Harbour","","","","","Break Water Length","","Sub Break water (m)","Dredging Depth (m)","","","","","(No of Vessels  3.5 - 5","(Auction Hall) (sq.m)","","","","","Kerosene"
"","District","Year of      
Commissioned","Land Area (Ha)","Basin Area (Ha)","","","","","Quay Wall Length","","Jetty Length (m)","Berthing Capacity","tonnage)","Market Area","Net Mending Area","","Fuel Storage 
Capacity - Diesel 
('000 Liters)","('000 Liters)","('000 Liters)"
"1.Negombo","Negombo","2009","0.42","Lagoon","","(m)
-","-","3.0","","(m)
88.0","-","","162","421","","(sq.m)
212","36.0","50.0","-"
"2.Dikkowita","Negombo","2013","6.12","13.40","","758","378.5","3.0-6.0","","610.5","349.0","","455","437","","420","115.2","250.0","-"
"3.Mutwal","Colombo","1965","0.80","1.40","","218","68.0","4.0-6.0","","192.7","-","","100","340","","434","bunkering","55.0","-"
"4.Panadura","Colombo","1998","1.67","Lagoon","","670","150.0","2.5-3.0","","75.5","-","","75","171","","160","36.0","25.0","18.0"
"5.Beruwala","Kalutara","1965","5.10","13.30","","385","188.0","3.0","","212.0","41.0","","530","652","","544","72.0","200.0","7.4"
"6.Ambalangoda","Galle","2008","3.10","5.30","","372","188.0","3.5","","117.0","-","","150","440","","256","36.0","26.0","-"
"7.Hikkaduwa","Galle","2001","1.35","4.50","","485","330.0","3.0","","136.0","-","","250","214","","211","36.0","30.0","18.0"
"8.Dodanduwa","Galle","2009","1.10","1.40","","273","-","3.0","","-","-","","50","186","","95","-","14.0","36.0"
"9.Galle","Galle","1965","1.50","3.00","","235","-","3.0-6.0","","292.0","-","","250","750","","475","74.0","50.0","-"
"10.Mirissa","Matara","1966","2.00","6.20","","456","-","3.0","","429.0","-","","300","223","","111","72.0","18.0","14.0"
"11.Nilwella","Matara","2012","0.64","9.30","","426","-","3.0","","100.0","-","","200","153","","177","36.0","12.0","18.0"
"12.Puranawella","Matara","1980","3.87","12.20","","407","276.0","3.0-5.0","","284.5","-","","350","360","","278","72.0","60.0","-"
"","","1st Stage","","","","","","","","","","","","","","","","",""
"13.Suduwella","Matara","","1.59","3.91","","319","193.0","3.0-6.0","","100.0","-","","-","297","","213","18.0","11.4","30.0"
"","","complete","","","","","","","","","","","","","","","","",""
"14.Kudawella","Tangalle","1998","3.30","10.30","","680","-","2.5-3.0","","288.0","-","","400","284","","256","72.0","60.0","-"
"15.Tangalle","Tangalle","1965","1.30","2.10","","208","-","2.5-3.0","","263.3","-","","100","-","","178","54.0","32.0","-"
"16.Hambantota","Tangalle","2010","3.30","3.90","","278","175.0","3.5","","150.0","-","","125","290","","530","36.0","12.0","13.2"
"17.Kirinda","Tangalle","1985","4.70","1.90","","542","185.0","2.5-3.0","","176.0","-","","150","365","","230","36.0","75.0","9.0"
"18.Oluvil","Kalmunai","2013","45.00","21.00","","775","550.0","3.0","","205.0","-","","750","320","","240","22.5","40.0","-"
"19.Valaichchanai","Batticaloa","2011","1.60","Lagoon","","-","-","3.0","","279.0","-","","400","712","","360","-","80.0","13.5"
"20.Cod-bay","Trincomalee","1965","11.10","Lagoon","","-","-","3.0-6.0","","289.0","50.0","","700","381","","136","54.0","150.0","-"
"21.Kalpitiya","Puttalam","1968","0.49","Lagoon","","-","-","2.5-5.0","","126.2","57.2","","180","300","","306","36.0","50.0","36.5"
"22.Chilaw","Puttalam","2010","0.87","Lagoon","","-","-","2.5","","162.7","35.8","","250","na","","444","36.0","34.0","-"
"Source:  Ceylon Fishery Harbours Corporation (CFHC)","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","","","","","","","","","","",""
