"Table 3.1: Operating Fishing Boats by Type","","","","","","","","",""
"","","","","Marine Fishing Fleet","","","","",""
"","","","","","","","","Inland Fishing","Total Fishing"
"Year","","Inboard Engine","Out Board Engine","","Traditional(1)","Beach Seine Craft -","","",""
"","","","","","","","Total","Craft","fleet"
"","","","","","","NBSB","","",""
"","IMUL","IDAY","OFRP","MTRB","NTRB","","","",""
"1990","2,364","**","9,758","973","14,580","na","27,675","3,200","30,875"
"1995","1,639","1,357","8,564","1,060","14,649","na","27,269","3,900","31,169"
"2000","1,430","1,170","8,690","1,205","15,100","na","27,595","4,700","32,295"
"2001","1,572","993","8,744","640","15,200","na","27,149","5,200","32,349"
"2002","1,614","1,112","9,033","776","15,600","na","28,135","5,600","33,735"
"2003","1,530","1,486","11,020","618","15,040","na","29,694","5,800","35,494"
"2004","1,581","1,493","11,559","674","14,208","1,052","29,515","6,000","35,515"
"2005","1,328","1,164","11,010","1,660","14,150","589","29,312","6,200","35,512"
"2006","2,394","907","13,860","1,842","15,714","633","34,717","7,046","41,763"
"2007","2,460","1,060","15,200","1,680","15,632","1,008","36,032","6,600","42,632"
"2010","2,809","1,940","14,747","3,179","15,906","1,136","38,581","7,170","45,751"
"2009","2,934","958","17,193","2,126","17,268","975","40,479","7,560","48,039"
"2010","3,346","1,177","18,770","2,680","19,190","975","45,163","7,990","53,153"
"2011","3,872","1,120","22,890","2,960","21,646","984","52,488","8,020","60,508"
"2012","4,080","890","23,160","2,340","21,904","896","52,374","8,360","60,734"
"2013","4,111","802","23,134","2,514","20,866","873","51,427","7,988","59,415"
"2014","4,447","876","23,982","2,720","20,584","1,379","52,609","8,536","61,145"
"2015","4,218","719","24,028","1,872","17,813","1,688","50,338","8,778","59,116"
"2016","3,996","786","24,282","1,839","17,853","1,913","50,669","9,661","60,330"
